case_id,docket_no,title,state,date,type,opinion_link,description,plaintiff_argument,defendant_argument,decision_outcome,decision_winner,environment,consumers,reproductive_rights,democratic_norms,free_press,public_health,separation_church_state,voting_access,public_education,free_speech,privacy,worker_rights
CV-26-116_Arkansas_2026/04/30,CV-26-116,Norris v. Independence County,Arkansas,2026-04-30,Judicial Selection and Administration,https://statecourtreport.org/sites/default/files/2026-05/supreme_court_of_arkansas-opinion.pdf,Whether the Arkansas General Assembly has the authority to strip circuit courts of their constitutionally assigned original jurisdiction over facial constitutional challenges to state laws and confer that jurisdiction solely on the Arkansas Court of Appeals.,"The plaintiff, Bryan Norris, argued that Act 975 is unconstitutional because Amendment 80 of the Arkansas Constitution preserves the original jurisdiction of the circuit courts and confines the Court of Appeals to appellate jurisdiction only.","The defendants, Independence County and the State of Arkansas, argued that Amendment 80, Section 10 grants the General Assembly the authority to establish court jurisdiction, and Section 9 allows them to amend the Supreme Court's rules to assign original jurisdiction for facial constitutional challenges to the Court of Appeals.","The court reversed the circuit court's dismissal, ruling that Act 975 of 2025 is unconstitutional because it attempts to alter the constitutionally fixed jurisdiction of the courts.",plaintiff,NA,NA,NA,protected,NA,NA,NA,protected,NA,protected,NA,NA
CR-24-690_Arkansas_2026/03/05,CR-24-690,Gamble v. State,Arkansas,2026-03-05,Criminal Law,https://statecourtreport.org/sites/default/files/2026-03/gamble_v-state.pdf,"Whether Christopher Coy Gamble's custodial statement should be suppressed as the product of a pretextual arrest, and whether the precedent set by State v. Sullivan regarding pretextual arrests should be overruled.","Gamble argued his custodial statement was obtained through an unlawful pretextual arrest and should be suppressed, and that the precedent of State v. Sullivan should not be overruled.","The State argued Gamble's arrest was not pretextual, or if it was, the exclusionary rule did not apply, and in supplemental briefing, argued that State v. Sullivan should be overruled.","The court affirmed the circuit court's denial of Gamble's motion to suppress and his motion to strike the venire, and overruled State v. Sullivan.",defendant,NA,NA,NA,infringed,NA,NA,NA,NA,NA,NA,infringed,NA
CV-24-704_Arkansas_2025/12/11,CV-24-704,State v. Good Day Farm Arkansas,Arkansas,2025-12-11,Voting Rights and Elections,https://statecourtreport.org/sites/default/files/2026-01/supreme_court_of_arkansas-opinion.pdf,Whether the General Assembly has the authority to amend voter-initiated constitutional amendments and whether the germaneness requirement in Amendment 98 refers to 'section' or 'amendment'.,"The General Assembly lacks authority to amend voter-initiated constitutional amendments without popular approval, citing *Arkansas Game & Fish Commission v. Edgmon*, and that legislative amendments must be germane specifically to section 23 of Amendment 98, not the entire amendment.","The General Assembly has constitutional authority under article 5, section 1, to amend voter-initiated laws with a two-thirds vote, and the word 'section' in Amendment 98's germaneness requirement was a drafting error and should be read as 'amendment'.","The court reversed the circuit court's ruling, holding that the General Assembly has the authority to amend voter-initiated laws and that the germaneness requirement refers to the entire amendment, not just a specific section.",defendant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CV-24-645_Arkansas_2025/06/05,CV-24-645,"Land v. BAS, LLC",Arkansas,2025-06-05,Economic and Labor Rights,https://statecourtreport.org/sites/default/files/fastcase/converted/Land%20v.%20BAS%2C%20LLC%2C%20Ark.%20CV-24-645.pdf,"Whether the Commissioner of State Lands provided constitutionally adequate notice to BAS before selling its Arkansas property to recover delinquent property taxes, with BAS arguing the notice was inadequate and the Commissioner arguing it was sufficient.","BAS argued that the Commissioner violated its due process rights under federal and state constitutions by failing to provide proper notice of the tax sale, and that the sale constituted an unlawful taking, thus sovereign immunity should not apply.","The Commissioner argued that the notice provided to BAS was constitutionally sufficient, and therefore, BAS's claims fail and are barred by sovereign immunity.","The court reversed the circuit court's denial of the Commissioner's motion for summary judgment, ruling that the Commissioner provided constitutionally sufficient notice and is entitled to sovereign immunity.",defendant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-CR-25-66_Arkansas_2025/05/29, CR-25-66,Spencer v. State,Arkansas,2025-05-29,Speech and Religion,https://statecourtreport.org/sites/default/files/2025-12/supreme_court_of_arkansas-opinion.pdf,"Whether a circuit court's gag order, restricting speech by trial participants and the public, violates constitutional rights to free speech and due process, or if it is a necessary measure to ensure a fair trial and protect the integrity of the case.","The plaintiff, Aaron Spencer, argued that the gag order violated his due-process rights to a fair and public trial under the Sixth and Fourteenth Amendments, as well as his First Amendment right to speak, constituting an unjustified prior restriction on content-based speech.","The defendant, State of Arkansas, argued that the circuit court's gag order was within constitutional limits, protected the integrity of the case, and ensured a fair trial for both Spencer and the State amidst extensive pretrial publicity.","The court granted the petition for writ of certiorari, issued the writ, and vacated the circuit court's gag order, finding it to be a plain, manifest, clear, and gross abuse of discretion.",plaintiff,NA,NA,NA,protected,protected,NA,NA,NA,NA,protected,NA,NA
CV-24-492_Arkansas_2024/10/17,CV-24-492,McGill v. Thurston,Arkansas,2024-10-17,Election 2024,https://statecourtreport.org/sites/default/files/2024-11/supreme_court_of_arkansas-opinion.pdf,"Whether the popular name and ballot title for a proposed constitutional amendment concerning casino licenses in Pope County provide sufficient, non-misleading information to voters.","The petitioners argued that the popular name and ballot title are insufficient and misleading because they fail to disclose crucial information, imply prospective application when it is retroactive, incorrectly restrict future amendments, use inconsistent language regarding voter majority, and fail to disclose conflicts with federal law.","The respondent and intervenors argued that the popular name and ballot title are sufficient, intelligible, honest, and impartial, as they adequately inform voters about the proposed amendment's scope, including the potential revocation of an existing license, and do not need to detail every possible future scenario or potential legal conflict.","The court denied the petitioners' request to remove the measure from the ballot, finding the popular name and ballot title to be intelligible, honest, and impartial.",defendant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CV-24-652_Arkansas_2024/10/21,CV-24-652,Paschall v. Thurston,Arkansas,2024-10-21,Election 2024,https://statecourtreport.org/sites/default/files/2024-10/supreme_court_of_arkansas-opinion.pdf,"Whether the popular name and ballot title for the proposed ""Medical Marijuana Amendment of 2024"" are sufficient and not misleading to voters.","The petitioners, Bill Paschall and Arkansans for Patient Access (APA), argued that the ballot title of the proposed constitutional amendment was sufficient and requested that votes for it be counted.","The respondent, John Thurston (Secretary of State), initially argued that APA failed to meet the minimum-signature requirement, while the intervenors, Jim Bell and Protect Arkansas Kids (PAK), argued that the popular name and ballot title were misleading.","The court denied the petitioners' request, denied the respondent's request, and granted the intervenors' request, enjoining the Secretary of State from canvassing or certifying ballots for the proposed amendment.",defendant,NA,NA,NA,protected,NA,NA,NA,protected,NA,NA,NA,NA
CV-22-190_Arkansas_2024/05/16,CV-22-190,Thurston v. The League of Women Voters of Arkansas,Arkansas,2024-05-16,Civil Rights,https://statecourtreport.org/sites/default/files/fastcase/converted/Thurston%20v.%20The%20League%20of%20Women%20Voters%20of%20Ark.%2C%20Ark.%20CV-22-190.pdf,Whether four Acts passed by the Arkansas General Assembly concerning election processes are constitutional under various provisions of the Arkansas Constitution.,"The plaintiffs argued that the four Acts (736, 973, 249, and 728 of 2021) violated the Arkansas Constitution by burdening lawful, eligible voters' right to vote, making absentee voting harder, disenfranchising voters without photo ID, and impeding nonpartisan voter-support activities.","The defendants argued that the Acts were constitutional, enacted to protect the integrity of Arkansas elections and promote public confidence in election security, and that the circuit court erred by applying strict scrutiny as the right to vote in a particular manner is not a fundamental right.","The Supreme Court reversed the circuit court's decision, holding that the four Acts are not clearly incompatible with the Arkansas Constitution and are therefore constitutional, dismissing the case.",defendant,NA,NA,NA,infringed,NA,NA,NA,infringed,NA,infringed,NA,NA
CV-23-468_Arkansas_2023/10/12,CV-23-468,Arkansas Department of Education v. Jackson,Arkansas,2023-10-12,Government Structure,https://statecourtreport.org/sites/default/files/fastcase/converted/Ark.%20Dep%27t%20of%20Educ.%20v.%20Jackson%2C%20Ark.%20CV-23-468.pdf,"Whether the emergency clause of the LEARNS Act was procedurally valid, with the plaintiff arguing it was invalid due to a lack of a separate roll-call vote, and the defendant arguing it was valid as reflected in legislative journals.",The LEARNS Act's emergency clause was invalid and ineffective because the General Assembly failed to pass it by a separate roll-call vote as required by the Arkansas Constitution.,"The LEARNS Act emergency clause received a separate roll-call vote, and the legislative journals, which are the official record, confirm its proper adoption.","The Supreme Court reversed the circuit court's ruling, finding that the emergency clause of the LEARNS Act was validly enacted, and dismissed the case.",defendant,NA,NA,NA,protected,NA,NA,NA,NA,NA,NA,NA,NA
CV-22-482_Arkansas_2022/09/22,CV-22-482,Eddie Armstrong & Lance Huey v. Thurston,Arkansas,2022-09-22,Voting Rights and Elections,https://statecourtreport.org/sites/default/files/fastcase/converted/Eddie%20Armstrong%20%26%20Lance%20Huey%20v.%20Thurston%2C%20Ark.%20CV-22-482.pdf,"Whether Arkansas Code Annotated section 7-9-111(i) unconstitutionally grants the State Board of Election Commissioners discretion to certify ballot titles, and whether the proposed ballot title for an amendment authorizing adult-use cannabis is legally sufficient.","The plaintiffs argued that the ballot title was sufficient and that Arkansas Code Annotated section 7-9-111(i) was unconstitutional because Article 5, Section 1 of the Arkansas Constitution mandates the Board to certify titles without discretion.","The defendants and intervenors argued that section 7-9-111(i) was constitutional and that the ballot title was insufficient and misleading due to omissions regarding THC dosage limits, child protection, industrial hemp effects, facility details, and the definition of 'adult'.","The court granted the petition, ruling that Arkansas Code Annotated section 7-9-111(i) is unconstitutional and that the proposed ballot title is sufficient, ordering the Secretary of State to certify it for the ballot.",plaintiff,NA,NA,NA,protected,NA,NA,NA,protected,NA,NA,NA,NA
