case_id,docket_no,title,state,date,type,opinion_link,description,plaintiff_argument,defendant_argument,decision_outcome,decision_winner,environment,consumers,reproductive_rights,democratic_norms,free_press,public_health,separation_church_state,voting_access,public_education,free_speech,privacy,worker_rights
SC-20781_Connecticut_2025/08/26,SC 20781,State v. Jacques,Connecticut,2025-08-26,Criminal Law,https://statecourtreport.org/sites/default/files/fastcase/converted/State%20v.%20Jacques%2C%20Conn.%20SC%2020781.pdf,"Whether the trial court violated the defendant's constitutional right to a second probable cause hearing, abused its discretion by admitting a prior inconsistent statement from a witness with memory loss, and abused its discretion by admitting unreliable jailhouse informant testimony.","The state argued that the trial court correctly denied a second probable cause hearing, properly admitted Jenkins' statement as a prior inconsistent statement, and reasonably found Vazquez's testimony reliable, asserting no constitutional violations or abuse of discretion.","The defendant argued that the trial court violated his constitutional right to a second probable cause hearing, infringed his confrontation clause rights by admitting Jenkins' statement, and abused its discretion by admitting unreliable jailhouse informant testimony.","The Supreme Court affirmed the judgment of conviction, upholding the trial court's decisions on all three issues raised by the defendant.",plaintiff,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SC20815_Connecticut_2025/10/07,SC20815,State v. Michael Sharpe,Connecticut,2025-10-07,Criminal Law,https://statecourtreport.org/sites/default/files/2025-10/supreme_court_of_connecticut-concurrence_dissent.pdf,"Whether the warrantless collection, testing, and storage of the defendant's involuntarily shed DNA, obtained from discarded clothing by police without a warrant, constitutes an unreasonable invasion of privacy under the state and federal constitutions.","The State argued that the warrantless collection, testing, and storage of the defendant's shed DNA for identification purposes was constitutional and did not violate privacy rights, as society has no reasonable expectation of privacy in discarded DNA.","The defendant argued that the warrantless extraction and testing of his DNA from an object lawfully collected by the police constituted an unreasonable invasion of his privacy under article first, § 7, of the Connecticut constitution and the fourth amendment to the United States constitution.","The court affirmed the defendant's conviction, ruling that the warrantless collection, testing, and storage of his DNA was constitutional and did not violate his privacy rights.",plaintiff,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,infringed,NA
SC20802_Connecticut_2025/09/02,SC20802,State v. McFarland,Connecticut,2025-09-02,Criminal Law,https://statecourtreport.org/sites/default/files/2025-09/supreme_court_of_connecticut-concurring_opinion_iii.pdf,Whether the thirty-two year interval between the murders and the defendant's arrest violated his due process rights under the Connecticut constitution.,The state argued that the prearrest delay was justified by legitimate investigative reasons and did not violate the defendant's due process rights.,"The defendant argued that the thirty-two year prearrest delay caused actual and substantial prejudice, violating his due process rights.","The court affirmed the conviction of the defendant, ruling that the prearrest delay did not violate his due process rights.",plaintiff,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SC-20794_Connecticut_2025/07/01,SC 20794,State v. Haynes,Connecticut,2025-07-01,Criminal Law,https://statecourtreport.org/sites/default/files/2025-08/supreme_court_of_connecticut-concurrence_dissent_0.pdf,"Whether illegally obtained statements can be used to impeach a defendant's trial testimony if they are merely inconsistent with the testimony, or only if they are directly contradictory.","The state (majority) argues that illegally obtained statements, even if only inconsistent, can be used to impeach a defendant's trial testimony, following federal precedent.","The defendant argues that illegally obtained statements should only be used for impeachment if they are directly contradictory to trial testimony, not merely inconsistent, to uphold state constitutional rights.","The court affirmed the trial court's decision, allowing the state to use the defendant's illegally obtained, inconsistent statements for impeachment purposes during trial.",plaintiff,NA,NA,NA,infringed,NA,NA,NA,NA,NA,infringed,infringed,NA
SC-20632_Connecticut_2024/08/08,SC 20632,State v. King,Connecticut,2024-08-08,Criminal Law,https://statecourtreport.org/sites/default/files/fastcase/converted/State%20v.%20King%2C%20Conn.%20SC%2020632.pdf,"Whether a defendant's waiver of a jury trial is knowing, intelligent, and voluntary when the trial court fails to inform them that a three-judge panel can render a guilty verdict by a majority vote, unlike the unanimous requirement for a jury.","The state implicitly argued that the defendant's jury trial waiver was valid and the trial court's canvass was sufficient, and that the evidence presented was sufficient to support the conviction.","The defendant argued her jury trial waiver was involuntary and unconstitutional because the trial court failed to explain that a three-judge panel could reach a guilty verdict by a majority vote, unlike a unanimous jury, and that there was insufficient evidence to support her conviction.","The court reversed the defendant's conviction and remanded the case for a new trial, ruling that the trial court's canvass for waiving a jury trial was insufficient due to its failure to inform the defendant about the non-unanimous verdict of a three-judge panel.",defendant,NA,NA,NA,protected,NA,NA,NA,NA,NA,NA,NA,NA
SC-20776_Connecticut_2024/07/30,SC 20776,Spillane v. Lamont,Connecticut,2024-07-30,Speech and Religion,https://statecourtreport.org/sites/default/files/fastcase/converted/Spillane%20v.%20Lamont%2C%20Conn.%20SC%2020776.pdf,"Whether the doctrine of sovereign immunity bars a declaratory judgment action challenging the constitutionality of P.A. 21-6, which eliminated religious exemptions for school vaccination requirements, and whether a statutory waiver of immunity applies to such challenges.","The plaintiffs argued that P.A. 21-6 violates their constitutional rights to free exercise of religion, equal protection, and free public education, and that sovereign immunity should not bar their challenge.","The defendants argued that sovereign immunity bars the suit, that the plaintiffs' constitutional claims are not substantial enough to overcome immunity, and that the statutory waiver of immunity does not apply to challenges to legislation like P.A. 21-6.","The court reversed the trial court's denial of the defendants' motion to dismiss for the plaintiffs' constitutional claims (counts two through six), concluding these claims are barred by sovereign immunity. The court affirmed the trial court's denial of dismissal for the plaintiffs' statutory free exercise claim (count one), allowing it to proceed.",other,NA,NA,NA,NA,NA,protected,NA,NA,infringed,NA,NA,NA
C-20727_Connecticut_2024/07/16,C 20727,Tatum v. Commissioner of Corrections,Connecticut,2024-07-16,Criminal Law,https://statecourtreport.org/sites/default/files/fastcase/converted/Tatum%20v.%20Comm%27r%20of%20Corr.%2C%20Conn.%20SC%2020727.pdf,Whether the principles set forth in Guilbert and Dickson regarding eyewitness identification apply retroactively to the petitioner's case on collateral review.,"The petitioner argued that both Guilbert and Dickson announced watershed rules of criminal procedure that should apply retroactively, or alternatively, that justice requires their retroactive application to his case because they overruled specific holdings in his direct appeal.","The respondent contended that neither Guilbert nor Dickson applies retroactively, citing a footnote in Dickson that stated the new constitutional rule did not apply retroactively on collateral review.","The court reversed the Appellate Court's judgment, ruling that the principles of Dickson (regarding unduly suggestive in-court identifications) apply retroactively to the petitioner's case, but Guilbert (regarding expert testimony on eyewitness identification) does not. The case is remanded for a new trial on the relevant counts.",plaintiff,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20723_Connecticut_2023/08/22,20723,State v. Avoletta,Connecticut,2023-08-22,Government Structure,https://statecourtreport.org/sites/default/files/fastcase/converted/State%20v.%20Avoletta%2C%20Conn.%20SC%2020723.pdf,"Whether a special act of the legislature (S.A. 17-4) that permitted the refiling of a previously dismissed claim is an unconstitutional public emolument, with the plaintiff arguing it is unconstitutional as it lacks a legitimate public purpose and the defendant arguing it is constitutional as it serves multiple public policy purposes.","The State of Connecticut argued that S.A. 17-4 is an unconstitutional public emolument because it provides an exclusive, private benefit to the defendants without serving a legitimate public purpose, as the state was not responsible for the defendants' procedural default in filing their claim.","The defendants argued that S.A. 17-4 is not an unconstitutional public emolument because it serves legitimate public policy purposes, including providing compensation for injuries, ensuring safe schools, holding government officials accountable, and allowing full adjudication of similar claims.","The Supreme Court affirmed the Appellate Court's judgment, concluding that S.A. 17-4 is an unconstitutional public emolument because it does not serve a legitimate public purpose.",plaintiff,NA,NA,NA,protected,NA,NA,NA,NA,NA,NA,NA,NA
SC20734_Connecticut_2023/06/06,SC20734,State v. Langston,Connecticut,2023-06-06,Criminal Law,https://statecourtreport.org/sites/default/files/fastcase/converted/State%20v.%20Langston%2C%20Conn.%20SC%2020734.pdf,"Whether a trial court can properly consider conduct related to a charge of which a criminal defendant was acquitted, when sentencing the defendant on other charges of which the defendant was convicted.",The sentencing court's consideration of conduct related to a charge of which he was acquitted violated his rights to due process and a trial by jury under both federal and state constitutions.,"The practice of considering acquitted conduct during sentencing is permissible under established federal and state precedent, and the sentence imposed was within the statutorily prescribed range for the counts of conviction.",The court affirmed the trial court's denial of the defendant's motion to correct an illegal sentence.,defendant,NA,NA,NA,infringed,NA,NA,NA,NA,NA,NA,NA,NA
SC-210039_Connecticut_2022/11/23,SC 210039,State v. Qinxuan Pan,Connecticut,2022-11-23,Criminal Law,https://statecourtreport.org/sites/default/files/fastcase/converted/State%20v.%20Qinxuan%20Pan%2C%20Conn.%20SC%20210039.pdf,Whether the trial court abused its discretion in setting a $20 million bond and incorrectly denying the defendant's request for a 10 percent cash bail option.,"The defendant argued that the $20 million bond was unreasonably high and a functional denial of bail, and that the trial court incorrectly concluded it lacked the authority to grant a 10 percent cash option.","The state contended that the $20 million bond was reasonable given the defendant's extreme flight risk and public safety concerns, and did not challenge the trial court's conclusion regarding the 10 percent cash option.","The court upheld the $20 million bond amount as a reasonable exercise of discretion but found that the trial court incorrectly determined it lacked discretion to consider a 10 percent cash bail option, remanding the case for that consideration.",plaintiff,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
