,case_id,name,description,ruling
0,S-18210-_Alaska_2022/10/21,Winfree,Concurred with majority opinion.,concur
1,S-18210-_Alaska_2022/10/21,Maassen,Concurred with majority opinion.,concur
2,S-18210-_Alaska_2022/10/21,Carney,Concurred with majority opinion.,concur
3,S-18210-_Alaska_2022/10/21,Borghesan,Concurred with majority opinion.,concur
4,S-18210-_Alaska_2022/10/21,Henderson,Concurred with majority opinion.,concur
5,"S-19083,-S-19113_Alaska_2025/03/28",Borghesan,"Concurred, argued that the superior court erred in striking down the correspondence study and allotment statutes entirely because they have many constitutional applications, and the question of using funds for private school tuition requires further proceedings with proper parties.",concur
6,"S-19083,-S-19113_Alaska_2025/03/28",Maassen,Concurred with majority opinion.,concur
7,"S-19083,-S-19113_Alaska_2025/03/28",Henderson,Concurred with majority opinion.,concur
8,"S-19083,-S-19113_Alaska_2025/03/28",Pate,Concurred with majority opinion.,concur
9,"S-19083,-S-19113_Alaska_2025/03/28",Winfree,Concurred with majority opinion.,concur
10,S-18814_Alaska_2025/01/17,"Borghesan, Justice","Concurred, arguing that the Alaska Constitution permits the use of a preponderance of evidence standard in prison disciplinary proceedings and that the plaintiff's procedural due process argument regarding saliva tests was not preserved for review.",concur
11,S-18814_Alaska_2025/01/17,"Maassen, Chief Justice",Concurred with majority opinion.,concur
12,S-18814_Alaska_2025/01/17,"Carney, Justice",Concurred with majority opinion.,concur
13,S-18814_Alaska_2025/01/17,"Henderson, Justice",Concurred with majority opinion.,concur
14,S-18814_Alaska_2025/01/17,"Pate, Justice",Concurred with majority opinion.,concur
15,S-18189_Alaska_2024/05/10,Winfree,Concurred with the majority opinion.,concur
16,S-18189_Alaska_2024/05/10,Maassen,Concurred with the majority opinion.,concur
17,S-18189_Alaska_2024/05/10,Carney,"Concurred, affirming that the city's ordinance limiting trapping is a valid exercise of municipal authority for public safety and land use, not preempted by state law.",concur
18,S-18189_Alaska_2024/05/10,Borghesan,Concurred with the majority opinion.,concur
19,S-18189_Alaska_2024/05/10,Henderson,Concurred with the majority opinion.,concur
20,S-17910_Alaska_2024/03/08,"Borghesan, Justice","Concurred, argued that the Alaska Constitution requires law enforcement to obtain a warrant before using aircraft and vision-enhancing technology to observe a home's curtilage, as such surveillance corrodes Alaskans' sense of security.",concur
21,S-17910_Alaska_2024/03/08,"Maassen, Justice","Concurred, argued that the court's opinion was too narrow and that any targeted aerial surveillance of curtilage from the air, with or without technological enhancements, should require a warrant under the Alaska Constitution's privacy protections.",concur
22,S-17910_Alaska_2024/03/08,"Carney, Justice",Concurred with Justice Maassen's opinion.,concur
23,S-17910_Alaska_2024/03/08,"Winfree, Chief Justice",Concurred with majority opinion.,concur
24,S-17910_Alaska_2024/03/08,"Henderson, Justice",Concurred with majority opinion.,concur
25,S-18619_Alaska_2024/03/01,Winfree,"Concurred with the majority opinion, finding that the superior court's factual findings, supported by the record, established Armstrong's residency began May 20, 2019, making her eligible for office.",concur
26,S-18619_Alaska_2024/03/01,Carney,"Dissented, arguing that Armstrong did not establish residency before June 1, 2019, and expressed concern that the majority's interpretation of residency rules could allow almost any tourist to immediately become a state resident.",dissent
27,S-18619_Alaska_2024/03/01,Henderson,"Concurred with the majority opinion, finding that the superior court's factual findings, supported by the record, established Armstrong's residency began May 20, 2019, making her eligible for office.",concur
28,S-18619_Alaska_2024/03/01,Maassen,Did not participate in the case.,other
29,S-18619_Alaska_2024/03/01,Borghesan,Did not participate in the case.,other
30,S-18481_Alaska_2024/02/09,Borghesan,"Concurred, argued that OCS's prolonged hospitalization of a child in its custody for psychiatric care without timely notice and hearing violated the child's procedural due process rights, though the civil commitment statutes were not the correct statutory framework.",concur
31,S-18481_Alaska_2024/02/09,Maassen,Concurred with majority opinion.,concur
32,S-18481_Alaska_2024/02/09,Carney,Concurred with majority opinion.,concur
33,S-18481_Alaska_2024/02/09,Henderson,Concurred with majority opinion.,concur
34,S-18481_Alaska_2024/02/09,Pate,Concurred with majority opinion.,concur
35,S-18114_Alaska_2023/12/29,Carney,"Concurred, affirming the superior court's decisions regarding the constitutional claim, preliminary injunction, and attorney's fees, noting that the 'hard look' doctrine already requires agencies to consider relevant information.",concur
36,S-18114_Alaska_2023/12/29,Winfree,"Concurred in part, arguing that the attorney's fees decision was based on how the issue was litigated and presented, and raising concerns about the application of statutes and rules to constitutional claims involving the State and private parties.",concur
37,S-18114_Alaska_2023/12/29,Henderson,Concurred with majority opinion.,concur
38,S-18114_Alaska_2023/12/29,Fabe,Concurred with majority opinion.,concur
39,S-18114_Alaska_2023/12/29,Bolger,Concurred with majority opinion.,concur
40,S-18114_Alaska_2023/12/29,Maassen,Did not participate.,other
41,S-18114_Alaska_2023/12/29,Borghesan,Did not participate.,other
42,S-18292_Alaska_2023/05/26,"Winfree, Chief Justice","Concurred, and delivered the opinion of the Court, holding that Article III, Section 16 of the Alaska Constitution bars the Attorney General's suit against the legislature, as such a suit, even if brought by the Attorney General, is considered an action brought in the name of the State against the legislature, aiming to influence legislative decision-making, which is prohibited.",concur
43,S-18292_Alaska_2023/05/26,"Maassen, Justice",Concurred with majority opinion.,concur
44,S-18292_Alaska_2023/05/26,"Carney, Justice",Concurred with majority opinion.,concur
45,S-18292_Alaska_2023/05/26,"Borghesan, Justice",Concurred with majority opinion.,concur
46,S-18292_Alaska_2023/05/26,"Henderson, Justice",Concurred with majority opinion.,concur
47,S-17772_Alaska_2023/05/26,"Carney, Justice","Concurred, argued that sulfolane is a hazardous substance and Williams is strictly liable for contamination, upholding most of the lower court's decisions, but remanding injunctive relief for more specificity.",concur
48,S-17772_Alaska_2023/05/26,"Winfree, Chief Justice",Concurred with majority opinion,concur
49,S-17772_Alaska_2023/05/26,"Maassen, Justice",Concurred with majority opinion,concur
50,S-17772_Alaska_2023/05/26,"Henderson, Justice",Concurred with majority opinion,concur
51,S-17772_Alaska_2023/05/26,"Eastaugh, Senior Justice",Concurred with majority opinion,concur
52,S-17772_Alaska_2023/05/26,"Borghesan, Justice",Did not participate in the case.,other
53,"S-17389,-S-17616_Alaska_2023/04/28",Henderson,"Concurred, argued that the prolonged pre-evaluation detentions of Abigail B. and Jethro S. were not reasonably related to the purpose of immediate transport for evaluation, thus violating their substantive due process rights.",concur
54,"S-17389,-S-17616_Alaska_2023/04/28",Winfree,Concurred with majority opinion,concur
55,"S-17389,-S-17616_Alaska_2023/04/28",Maassen,Concurred with majority opinion,concur
56,"S-17389,-S-17616_Alaska_2023/04/28",Carney,Concurred with majority opinion,concur
57,"S-17389,-S-17616_Alaska_2023/04/28",Borghesan,Did not participate in the decision,other
58,"18332,-18419,-7646_Alaska_2023/04/21","Winfree, Chief Justice","Concurred, wrote the majority opinion, explaining the reasoning behind the summary orders, affirming parts of the superior court's decision, and reversing others, particularly on gerrymandering and the Cantwell Appendage.",concur
