case_id,name,description,ruling
SCWC-19-0000776_Hawaii_2025/09/17,"RECKTENWALD, C.J.","Concurred, argued that the circuit court did not err in finding zero fair market rental value for the temporarily taken land and that sovereign immunity bars attorneys' fees in inverse condemnation cases.",concur
SCWC-19-0000776_Hawaii_2025/09/17,"McKENNA, J.",Concurred with majority opinion.,concur
SCWC-19-0000776_Hawaii_2025/09/17,"EDDINS, J.",Concurred with majority opinion.,concur
SCWC-19-0000776_Hawaii_2025/09/17,"DEVENS, J.",Concurred with majority opinion.,concur
SCWC-19-0000776_Hawaii_2025/09/17,CIRCUIT JUDGE KIMURA,Concurred with majority opinion.,concur
SCWC-19-0000776_Hawaii_2025/09/17,"GINOZA, J.",Recused from the case.,other
SCWC-23-0000388_Hawaii_2025/09/16,"RECKTENWALD, C.J.","Concurred, argued that the ICA erred in its ruling on expert testimony foundation and that Spies's detention and initial incriminating statements were lawful, with subsequent Miranda violations being harmless error.",concur
SCWC-23-0000388_Hawaii_2025/09/16,"MCKENNA, J.",Concurred with majority opinion.,concur
SCWC-23-0000388_Hawaii_2025/09/16,"EDDINS, J.",Concurred with majority opinion.,concur
SCWC-23-0000388_Hawaii_2025/09/16,"GINOZA, J.",Concurred with majority opinion.,concur
SCWC-23-0000388_Hawaii_2025/09/16,CIRCUIT JUDGE MEDEIROS,Concurred with majority opinion.,concur
SCWC-23-0000388_Hawaii_2025/09/16,"DEVENS, J.",Recused from the case.,other
SCWC-17-0000806_Hawaii_2025/06/13,"DEVENS, J.","Concurred, argued that a recorded judgment lien is a constitutionally protected property interest requiring personal notice for junior lienholders, but this ruling applies prospectively only due to reliance on prior law and potential prejudice to the Spences.",concur
SCWC-17-0000806_Hawaii_2025/06/13,"RECKTENWALD, C.J.",Concurred with majority opinion.,concur
SCWC-17-0000806_Hawaii_2025/06/13,McKENNA,Concurred with majority opinion.,concur
SCWC-17-0000806_Hawaii_2025/06/13,EDDINS,Concurred with majority opinion.,concur
SCWC-17-0000806_Hawaii_2025/06/13,CIRCUIT JUDGE KUBOTA,Concurred with majority opinion.,concur
SCWC-23-0000376_Hawaii_2025/09/17,Todd W. Eddins,"Concurred, argued that recording custodial interrogations is a necessary procedural safeguard under the Hawaiʻi Constitution's due process clause to protect rights against self-incrimination, confrontation, and a fair trial, and that modern technology makes it feasible.",concur
SCWC-23-0000376_Hawaii_2025/09/17,Sabrina S. McKenna,Concurred with the majority opinion.,concur
SCWC-23-0000376_Hawaii_2025/09/17,Vladimir P. Devens,Concurred with the majority opinion.,concur
SCPW-17-0000927;-21908_Hawaii_2018/06/05,Richard W. Pollack,"Concurred, delivered the opinion of the court, finding that the circuit court failed to meet the procedural and substantive requirements for sealing documents and erred in denying Grube's right to self-representation.",concur
SCPW-17-0000927;-21908_Hawaii_2018/06/05,Mark E. Recktenwald,Concurred with majority opinion.,concur
SCPW-17-0000927;-21908_Hawaii_2018/06/05,Sabrina S. McKenna,Concurred with majority opinion.,concur
SCPW-17-0000927;-21908_Hawaii_2018/06/05,Michael D. Wilson,Concurred with majority opinion.,concur
SCPW-17-0000927;-21908_Hawaii_2018/06/05,Matthew J. Viola,Concurred with majority opinion.,concur
23-0000310_Hawaii_2025/09/12,Todd W. Eddins,"Concurred, argued that the Hawaiʻi Constitution requires a strict separation of church and state, broader than the federal Establishment Clause, and that the Roberts Court's recent jurisprudence on religion is flawed and should not control state constitutional interpretation.",concur
23-0000310_Hawaii_2025/09/12,Sabrina S. McKenna,Concurred with majority opinion.,concur
23-0000310_Hawaii_2025/09/12,Vladimir P. Devens,Concurred with majority opinion.,concur
SCWC-18-0000941_Hawaii_2025/06/17,Lisa M. Ginoza,"Concurred, argued that HRS § 657-1.8(a) is a statute of limitations and does not violate the ex post facto clause, and while the jury instructions on criminal statutes were erroneous, the error was harmless due to overwhelming evidence of the defendant's admitted conduct constituting criminal offenses at the time they occurred.",concur
SCWC-18-0000941_Hawaii_2025/06/17,Mark E. Recktenwald,Concurred with majority opinion.,concur
SCWC-18-0000941_Hawaii_2025/06/17,Sabrina S. McKenna,Concurred with majority opinion.,concur
SCWC-18-0000941_Hawaii_2025/06/17,Todd W. Eddins,Concurred with majority opinion.,concur
SCWC-18-0000941_Hawaii_2025/06/17,Vladimir P. Devens,Concurred with majority opinion.,concur
SCWC-23-0000185_Hawaii_2024/10/17,Sabrina S. McKenna,"Concurred, argued that under the Hawaiʻi Constitution, the ultimate inquiry for ""interrogation"" is whether a law enforcement officer knew or should have known their words or conduct were reasonably likely to elicit an incriminating response, even if ""normally attendant to arrest and custody."" The court affirmed suppression of some of Hoffman's statements but reversed for others.",concur
SCWC-23-0000185_Hawaii_2024/10/17,Mark E. Recktenwald,Concurred with majority opinion.,concur
SCWC-23-0000185_Hawaii_2024/10/17,Todd W. Eddins,Concurred with majority opinion.,concur
SCWC-23-0000185_Hawaii_2024/10/17,Lisa M. Ginoza,Concurred with majority opinion.,concur
SCWC-23-0000185_Hawaii_2024/10/17,Vladimir P. Devens,Concurred with majority opinion.,concur
SCOT-21-0000581_Hawaii_2024/06/20,"MCKENNA, J.","Concurred, arguing that the Commission failed to justify its instream flow standards decisions, did not adequately protect Native Hawaiian rights, lacked transparent calculations, and unlawfully delegated its public trust duties, thus requiring vacatur and remand.",concur
SCOT-21-0000581_Hawaii_2024/06/20,"Recktenwald, C.J.",Concurred with majority opinion.,concur
SCOT-21-0000581_Hawaii_2024/06/20,"Eddins, J.",Concurred with majority opinion.,concur
SCOT-21-0000581_Hawaii_2024/06/20,Circuit Judge NaKamoto,Concurred with majority opinion.,concur
SCOT-21-0000581_Hawaii_2024/06/20,Circuit Judge Hamman,Concurred with majority opinion.,concur
23-0000063_Hawaii_2024/06/04,"Mark E. Recktenwald, C.J.","Concurred, argued that the state's constitutional and statutory provisions do not violate the Sixth and Fourteenth Amendments, and that the indictment was sufficient under the liberal construction standard because Tran was not prejudiced and the charge stated a crime.",concur
23-0000063_Hawaii_2024/06/04,Sabrina S. McKenna,Concurred with majority opinion.,concur
23-0000063_Hawaii_2024/06/04,Todd W. Eddins,Concurred with majority opinion.,concur
23-0000063_Hawaii_2024/06/04,"Clarissa Y. Malinao, CIRCUIT JUDGE",Concurred with majority opinion.,concur
SCAP-22-0000268_Hawaii_2024/05/30,"McKENNA, J.","Concurred, argued that Act 14 of 1995 does not preclude the plaintiffs' claims, the MKAR is not a state highway, and the State breached its constitutional and fiduciary obligation by failing to comply with the HHCA.",concur
SCAP-22-0000268_Hawaii_2024/05/30,"RECKTENWALD, C.J.",Concurred with majority opinion,concur
SCAP-22-0000268_Hawaii_2024/05/30,"EDDINS, J.",Concurred with majority opinion,concur
SCAP-22-0000268_Hawaii_2024/05/30,CIRCUIT JUDGE CAHILL,Concurred with majority opinion,concur
SCAP-22-0000268_Hawaii_2024/05/30,CIRCUIT JUDGE MALINAO,Concurred with majority opinion,concur
SCAP-22-0000368_Hawaii_2024/03/05,"MCKENNA, J.","Concurred, argued that the Hawai'i Constitution's due process clause required a pre-deprivation contested case hearing for houseless individuals before their personal property could be seized and destroyed.",concur
SCAP-22-0000368_Hawaii_2024/03/05,"RECKTENWALD, C.J.",Concurred with majority opinion.,concur
SCAP-22-0000368_Hawaii_2024/03/05,"EDDINS, J.",Concurred with majority opinion.,concur
SCAP-22-0000368_Hawaii_2024/03/05,CIRCUIT JUDGE PARK,Concurred with majority opinion.,concur
SCAP-22-0000368_Hawaii_2024/03/05,CIRCUIT JUDGE KAWASHIMA,Concurred with majority opinion.,concur
SCAP-22-0000561_Hawaii_2024/02/07,Todd W. Eddins,"Concurred, argued that Hawaiʻi's Constitution does not afford an individual right to carry firearms in public for self-defense, and state firearm regulations do not violate federal constitutional rights.",concur
SCAP-22-0000561_Hawaii_2024/02/07,Mark E. Recktenwald,Concurred with majority opinion.,concur
