,State,Court,Number of Judgeships,Number of Districts/Circuits,Geographic Basis for Selection,Method of Selection (full term),Length of Term,Method of Retention,Length of Subsequent Terms,Method of Filling Interim Vacancies,When Interim Judges Stand for Election/Appointment,Selection of Chief Judge/Justice,Term of Office for Chief Judge/Justice,Qualifications,Source
0,Alabama,Supreme Court:,9,--,statewide,partisan election,6 yrs,reelection,6 yrs,gubernatorial appointment,next general election after 1 yr in office,popular election,6 yrs,licensed to practice law 10 yrs; 1 yr resident; maximum age of 70,"['Selection and retention methods and term lengths are prescribed byAmendment 328 of the Alabama Constitution. ', '*In Baldwin, Jefferson, Lauderdale, Madison, Mobile, Shelby, Talladega, and Tuscaloosa Counties, gubernatorial appointments are made from lists of candidates submitted by judicial nominating commissions. ']"
1,Alabama,Court of Criminal Appeals:,5,--,statewide,partisan election,6 yrs,reelection,6 yrs,gubernatorial appointment,next general election after 1 yr in office,peer vote,indefinite,licensed to practice law 10 yrs; 1 yr resident; maximum age of 70,"['Selection and retention methods and term lengths are prescribed byAmendment 328 of the Alabama Constitution. ', '*In Baldwin, Jefferson, Lauderdale, Madison, Mobile, Shelby, Talladega, and Tuscaloosa Counties, gubernatorial appointments are made from lists of candidates submitted by judicial nominating commissions. ']"
2,Alabama,Court of Civil Appeals:,5,--,statewide,partisan election,6 yrs,reelection,6 yrs,gubernatorial appointment,next general election after 1 yr in office,seniority,indefinite,licensed to practice law 10 yrs; 1 yr resident; maximum age of 70,"['Selection and retention methods and term lengths are prescribed byAmendment 328 of the Alabama Constitution. ', '*In Baldwin, Jefferson, Lauderdale, Madison, Mobile, Shelby, Talladega, and Tuscaloosa Counties, gubernatorial appointments are made from lists of candidates submitted by judicial nominating commissions. ']"
3,Alabama,Circuit Court:,144,41,circuit,partisan election,6 yrs,reelection,6 yrs,gubernatorial appointment*,next general election after 1 yr in office,peer vote,3 yrs,licensed to practice law 5 yrs; 1 yr resident of circuit; maximum age of 70,"['Selection and retention methods and term lengths are prescribed byAmendment 328 of the Alabama Constitution. ', '*In Baldwin, Jefferson, Lauderdale, Madison, Mobile, Shelby, Talladega, and Tuscaloosa Counties, gubernatorial appointments are made from lists of candidates submitted by judicial nominating commissions. ']"
4,Alaska,Supreme Court:,5,--,statewide,gubernatorial appointment from nominating commission,at least 3 yrs,retention election,10 yrs,gubernatorial appointment from nominating commission,first general election more than 3 yrs after appointment,peer vote,3 yrs,U.S. citizen; state resident 5 yrs; licensed to practice in state; 8 yrs active legal practice; mandatory retirement at 70,"['Selection and retention methods and term lengths are prescribed by Article 4 of the Alaska Constitution. ', 'Note: The court of appeals hears only criminal appeals. ']"
5,Alaska,Court of Appeals:,3,--,statewide,gubernatorial appointment from nominating commission,at least 3 yrs,retention election,8 yrs,gubernatorial appointment from nominating commission,first general election more than 3 yrs after appointment,chief justice appoints,2 yrs,U.S. citizen; state resident 5 yrs; licensed to practice in state; 8 yrs active legal practice; mandatory retirement at 70,"['Selection and retention methods and term lengths are prescribed by Article 4 of the Alaska Constitution. ', 'Note: The court of appeals hears only criminal appeals. ']"
6,Alaska,Superior Court:,40,4,district,gubernatorial appointment from nominating commission,at least 3 yrs,retention election,6 yrs,gubernatorial appointment from nominating commission,first general election more than 3 yrs after appointment,chief justice appoints,1 yr,U.S. citizen; state resident 5 yrs; licensed to practice in state; 5 yrs active legal practice; mandatory retirement at 70,"['Selection and retention methods and term lengths are prescribed by Article 4 of the Alaska Constitution. ', 'Note: The court of appeals hears only criminal appeals. ']"
7,Arizona,Supreme Court:,7,--,statewide,gubernatorial appointment from nominating commission,at least 2 yrs,retention election,6 yrs,gubernatorial appointment from nominating commission,next general election after 2 yrs in office,peer vote,5 yrs,state resident and licensed in state 10 yrs; mandatory retirement at 70,"['Selection and retention methods and term lengths are prescribed by Article 6 of the Arizona Constitution.', '*Court of appeals judges who reside in Maricopa and Pima Counties stand for retention in those counties. Court of appeals judges who reside in counties other than Maricopa and Pima stand for retention in all of the other counties within their division.', '**The Arizona Constitution provides for merit selection and retention of judges in counties with populations of 250,000 or greater. Currently, this includes Maricopa, Pima and Pinal Counties. Counties whose populations are less than 250,000 may adopt merit selection through ballot initiative. Coconino County opted into merit selection via this method in 2018.']"
8,Arizona,Court of Appeals:,22,2 divisions,division*,gubernatorial appointment from nominating commission,at least 2 yrs,retention election,6 yrs,gubernatorial appointment from nominating commission,next general election after 2 yrs in office,peer vote,1 yr,30 yrs of age; state resident and licensed in state 5 yrs; local resident 1 yr; mandatory retirement at 70,"['Selection and retention methods and term lengths are prescribed by Article 6 of the Arizona Constitution.', '*Court of appeals judges who reside in Maricopa and Pima Counties stand for retention in those counties. Court of appeals judges who reside in counties other than Maricopa and Pima stand for retention in all of the other counties within their division.', '**The Arizona Constitution provides for merit selection and retention of judges in counties with populations of 250,000 or greater. Currently, this includes Maricopa, Pima and Pinal Counties. Counties whose populations are less than 250,000 may adopt merit selection through ballot initiative. Coconino County opted into merit selection via this method in 2018.']"
9,Arizona,Superior Court:,174,15 counties,county,partisan primary; nonpartisan general election/gubernatorial appointment from nominating commission**,4 yrs/at least 2 yrs**,reelection/retention election**,4 yrs,gubernatorial appointment/gubernatorial appointment from nominating commission**,next general election/next general election after 2 yrs in office**,supreme court appoints,remainder of 4 yr term,30 yrs of age; state resident and licensed in state 5 yrs; local resident 1 yr; mandatory retirement at 70,"['Selection and retention methods and term lengths are prescribed by Article 6 of the Arizona Constitution.', '*Court of appeals judges who reside in Maricopa and Pima Counties stand for retention in those counties. Court of appeals judges who reside in counties other than Maricopa and Pima stand for retention in all of the other counties within their division.', '**The Arizona Constitution provides for merit selection and retention of judges in counties with populations of 250,000 or greater. Currently, this includes Maricopa, Pima and Pinal Counties. Counties whose populations are less than 250,000 may adopt merit selection through ballot initiative. Coconino County opted into merit selection via this method in 2018.']"
