case_id,docket_no,title,state,date,type,opinion_link,description,plaintiff_argument,defendant_argument,decision_outcome,decision_winner,environment,consumers,reproductive_rights,democratic_norms,free_press,public_health,separation_church_state,voting_access,public_education,free_speech,privacy,worker_rights
S257844_California_2025/12/29,S257844,People v. Kopp,California,2025-12-29,Criminal Law,https://statecourtreport.org/sites/default/files/2026-05/supreme_court_of_california-opinion.pdf,"Whether courts must consider a criminal defendant's inability to pay before imposing punitive fines and ancillary costs, and if the statutory scheme for ancillary costs violates equal protection by not allowing waivers for indigent criminal defendants as it does for civil litigants.","The state argued that fines are punitive and ancillary costs are funding mechanisms, some of which are mandatory regardless of ability to pay, and that the ability to pay for fines should be determined at a later date.","The defendant argued that due process and equal protection principles require a court to consider a defendant's ability to pay before imposing any financial obligation, and that the differing treatment of indigent criminal defendants versus civil litigants for ancillary costs violates equal protection.","The court reversed the Court of Appeal's judgment in part, holding that courts must consider a defendant's inability to pay for court operations and facilities assessments, and that fines can be challenged under excessive fines clauses with ability to pay as a factor for amounts above the minimum. It also vacated the booking fee and the unpaid balance of the restitution fine due to new legislation.",defendant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S277910_California_2026/04/30,S277910,In re Kowalczyk,California,2026-04-30,Criminal Law,https://statecourtreport.org/sites/default/files/2026-05/s277910.pdf,"Whether California constitutional provisions regarding bail (Article I, section 12 and section 28(f)(3)) can be reconciled, and whether a trial court may constitutionally set pretrial bail in an amount above a defendant's ability to pay.","The plaintiff argued that the two constitutional provisions can be reconciled, with section 12 governing outright bail denial, and that setting bail above a defendant's ability to pay violates the right to release on bail and equal protection principles.","The defendant argued that section 28(f)(3) conflicts with and prevails over section 12, granting trial courts broader discretion to deny bail, and that setting bail at an unattainable level is permissible for public safety.","The court affirmed the dismissal of the habeas corpus petition as moot but clarified that the trial court erred in denying bail without proper findings and that bail must be set at a reasonably attainable amount, reconciling the constitutional provisions.",plaintiff,NA,NA,NA,protected,NA,NA,NA,NA,NA,NA,NA,NA
S124131_California_2025/06/23,S124131,People v. Barrett,California,2025-06-23,Criminal Law,https://statecourtreport.org/sites/default/files/fastcase/converted/People%20v.%20Barrett%2C%20Cal.%20S124131.pdf,Whether the trial court's various rulings and the prosecutor's conduct during the guilt and penalty phases resulted in prejudicial errors that deprived the defendant of a fair trial and a reliable death sentence.,"The People contend that the trial court's rulings and the prosecutor's conduct were proper, or any errors were harmless, and the judgment should be affirmed.","Joseph Anthony Barrett argues that numerous errors by the trial court and prosecutor violated his constitutional rights, leading to an unfair trial and an unreliable death sentence, which should be reversed.",The court affirmed the judgment in its entirety.,plaintiff,NA,NA,NA,protected,NA,NA,NA,NA,NA,NA,NA,NA
S270535_California_2025/11/06,S270535,Taking Offense v. State of California,California,2025-11-06,Speech and Religion,https://statecourtreport.org/sites/default/files/2025-11/supreme_court_of_california-opinion.pdf,"Whether Health and Safety Code section 1439.51, subdivision (a)(5), which prohibits long-term care facility staff from willfully and repeatedly failing to use a resident's preferred name or pronouns based on protected characteristics, is facially unconstitutional under the First Amendment.","The plaintiff, Taking Offense, argues that the pronouns provision is facially unconstitutional under the First Amendment because it coerces society to accept ""transgender fiction"" and restricts more speech than necessary.","The defendant, State of California, argues that the pronouns provision survives the First Amendment challenge, as it regulates discriminatory conduct that incidentally affects speech and serves a compelling state interest.","The Supreme Court reversed the appellate court's judgment, upholding the constitutionality of Health and Safety Code section 1439.51, subdivision (a)(5), which prohibits willful and repeated misgendering in long-term care facilities.",defendant,NA,protected,NA,protected,NA,protected,NA,NA,NA,NA,protected,NA
S272632_California_2024/06/27,S272632,In re Harris,California,2024-06-27,Criminal Law,https://statecourtreport.org/sites/default/files/fastcase/converted/In%20re%20Harris%2C%20Cal.%20S272632.pdf,"Whether an order denying bail pursuant to Article I, section 12(b) of the California Constitution requires evidence that would be admissible at a criminal trial, and if not, whether the prosecution may meet its burden through a proffer describing the evidence supporting pretrial detention.","The plaintiff argued that an order denying bail under Article I, section 12(b) requires evidence that would be admissible at a criminal trial, and that the prosecution cannot meet its burden through a proffer.",The defendant argued that an order denying bail does not require admissible evidence and that the prosecution may meet its burden through a proffer describing the evidence supporting pretrial detention.,"The court reversed the Court of Appeal's judgment that the record contained substantial evidence for Article I, section 12(b) elements and remanded the case to the trial court for further proceedings, clarifying that while admissible evidence is not strictly required, the evidence considered must be reliable, and the instruction to 'assume the truth of the criminal charges' does not apply to pretrial detention determinations.",other,NA,NA,NA,protected,NA,NA,NA,NA,NA,NA,NA,NA
S281977_California_2024/06/20,S281977,Legislature of the State of California v. Weber,California,2024-06-20,Government Structure,https://statecourtreport.org/sites/default/files/2024-06/cali-leg-opinion-6.20.24.pdf,"Whether the proposed Taxpayer Protection and Government Accountability Act (TPA) initiative constitutes an impermissible constitutional revision that cannot be enacted by citizen initiative, or a valid amendment within the electorate's power.","The TPA is invalid because it attempts to revise the California Constitution via citizen initiative, rather than amend it, and would seriously impair essential government functions.","The TPA is a valid exercise of the electorate's power, merely extending existing limitations on legislative taxing authority and shifting taxing power to the electorate, thereby keeping it within the legislative branch.","The court issued a peremptory writ of mandate directing the Secretary of State to refrain from placing the TPA on the November 5, 2024 election ballot or including it in the voter information guide.",plaintiff,protected,protected,NA,protected,NA,protected,NA,NA,protected,NA,NA,NA
S267522_California_2024/05/02,S267522,People v. Flores,California,2024-05-02,Civil Rights,https://statecourtreport.org/sites/default/files/2024-05/ca-people-flores-opinion.pdf,"Whether police officers had reasonable suspicion to detain Marlon Flores based on his behavior and presence in a high-crime area, with the plaintiff arguing that the totality of circumstances justified detention and the defendant arguing that his actions were within his rights and did not provide reasonable suspicion.","The police officers had reasonable suspicion to detain Flores based on his 'odd' and 'suspicious' behavior, including ducking, crouching, moving his hands out of sight, and being in a known narcotics and gang activity area late at night.","Flores's actions, such as attempting to avoid police contact or appearing to tie his shoe, were within his legal rights and did not provide a particularized and objective basis for suspecting criminal activity, thus not justifying a detention.","The Supreme Court reversed the judgment of the Court of Appeal, finding that the officers' detention of Flores was unauthorized and remanding the case to the trial court to permit Flores to withdraw his no contest plea and grant his suppression motion.",defendant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,protected,NA
S273368_California_2024/02/26,S273368,"Tricoast Builders, Inc. v. Fonnegra",California,2024-02-26,Criminal Law,https://statecourtreport.org/sites/default/files/fastcase/converted/Tricoast%20Builders%2C%20Inc.%20v.%20Fonnegra%2C%20Cal.%20S273368.pdf,"Whether a trial court must always grant relief from a jury waiver if no hardship is caused, and whether actual prejudice must be shown on appeal to reverse a denial of relief from jury waiver or if prejudice is presumed.","TriCoast argued that the trial court erred by denying its request for relief from jury waiver, contending that relief should be granted if no hardship is caused to other parties or the court, and that prejudice should be presumed on appeal.","Fonnegra argued that the trial court's discretion in granting relief from jury waiver is not limited solely by the absence of hardship, and that actual prejudice must be shown on appeal to reverse a denial of relief from jury waiver.","The court affirmed the Court of Appeal's judgment, concluding that a trial court's discretion to grant relief from jury waiver is not solely constrained by the absence of hardship, and that actual prejudice must be shown on appeal to reverse a denial of relief from jury waiver when the right was validly waived.",defendant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S279622_California_2024/07/25,S279622,Castellanos v. State of California et al.,California,2024-07-25,Government Structure,https://statecourtreport.org/sites/default/files/2024-07/cali-castellanos-opinion-7.25.24.pdf,"Whether Business and Professions Code section 7451, enacted by Proposition 22, conflicts with article XIV, section 4 of the California Constitution, thereby invalidating Proposition 22.","Plaintiffs argue that Section 7451, by classifying app-based drivers as independent contractors and removing them from the workers' compensation system, conflicts with the Legislature's ""plenary power"" under Article XIV, Section 4 of the California Constitution, making Proposition 22 invalid.","Defendants and Interveners argue that Section 7451 does not conflict with Article XIV, Section 4 because the Legislature's ""plenary power"" is not exclusive and does not preclude the electorate from using its initiative power to legislate on workers' compensation.","The court affirmed the Court of Appeal's judgment, ruling that Business and Professions Code section 7451 does not conflict with article XIV, section 4 of the California Constitution.",defendant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,infringed
S271869_California_2023/08/03,S271869,Chevron U.S.A. v. Monterey County,California,2023-08-03,Government Structure,https://statecourtreport.org/sites/default/files/fastcase/converted/Chevron%20U.S.A.%20v.%20Cnty.%20of%20Monterey%2C%20Cal.%20S271869.pdf,Whether a local ordinance (Measure Z) banning certain oil and gas production methods is preempted by state law (Public Resources Code section 3106).,"The plaintiffs argued that Measure Z is preempted by state and federal law, specifically contradicting Public Resources Code section 3106, and constitutes a facial taking of their property and violates due process rights.","The defendants argued that Measure Z is a valid land use ordinance, not preempted by state law, and that local control over oil extraction methods is intended by the Legislature, making compliance with both state and local laws possible.","The court affirmed the Court of Appeal's judgment, ruling that Measure Z is preempted by state law because it contradicts Public Resources Code section 3106.",plaintiff,infringed,NA,NA,infringed,NA,infringed,NA,NA,NA,NA,NA,NA
