case_id,name,description,ruling
24-0102_Texas_2026/05/08,James D. Blacklock,"Concurred, argued that section 52-a clarifies economic development as a public purpose but does not exempt grants from Gift Clause requirements for control and consideration, and that the lower courts misapplied this framework by focusing too narrowly on the specific tenant.",concur
24-0102_Texas_2026/05/08,Justice Lehrmann,Did not participate in the decision.,other
24-0102_Texas_2026/05/08,Justice Devine,Did not participate in the decision.,other
24-0384;-24-0385;-24-0387_Texas_2026/04/24,James D. Blacklock,"Concurred, argued that the injunctions must be dissolved because the families' claims are moot, PFLAG lacks standing, and despite Dr. Mooney likely having standing, the legal developments outlawing gender-transition treatments for children render the injunctions improper on the merits.",concur
24-0892_Texas_2026/03/13,James D. Blacklock,"Concurred, argued that the district court erred by analyzing the wrong version of the CID and by substituting its own judgment for the Attorney General's reasonable belief regarding the relevance of the documents to the investigation, and that privacy concerns were ameliorated by redactions and statutory protections.",concur
24-0892_Texas_2026/03/13,Justice Sullivan,Did not participate in the decision.,other
24-0162_Texas_2025/06/27,James D. Blacklock,Concurred with majority opinion.,concur
24-0162_Texas_2025/06/27,Justice Young,"Concurred, argued that the district court's lack of mandamus authority against the governor is a constitutional error that should be addressed, and that the governor's role as chief executive officer implies immunity from mandamus.",concur
24-0162_Texas_2025/06/27,Justice Sullivan,Did not participate in the decision.,other
23-0192-_Texas_2025/05/30,JUSTICE YOUNG,"Concurred, argued that Texas courts are not constitutionally authorized to adjudicate moot cases, even those of public importance, as there is no public-interest exception to mootness.",concur
23-0192-_Texas_2025/05/30,Chief Justice Blacklock,Did not participate in the decision.,other
23-0192-_Texas_2025/05/30,Justice Sullivan,Did not participate in the decision.,other
"WR-45,746-04_Texas_2025/07/30","SCHENCK, P.J.","Concurred in the decision to remand for further development of evidence but dissented from the lack of specific guidance and the omission of a directive for DNA testing, arguing that the Texas Constitution prohibits the execution of those who are likely not guilty and requires a lower standard of proof for actual innocence claims in capital cases.",other
23-0703_Texas_2025/06/27,Evan A. Young,"Concurred, argued that the Court's interpretation of § 22.207 correctly allows the Conference to protect its authority, avoiding constitutional issues, and emphasized the importance and potentially broader scope of the church-autonomy doctrine under the Texas Constitution.",concur
23-0703_Texas_2025/06/27,Justice Devine,Concurred with majority opinion.,concur
23-0703_Texas_2025/06/27,Justice Sullivan,Concurred with majority opinion.,concur
23-0703_Texas_2025/06/27,Chief Justice Blacklock,"Concurred, agreeing with the Court's interpretation of § 22.207 and the discussion of the Texas church-autonomy doctrine.",concur
24-0573_Texas_2025/05/30,Evan A. Young,"Concurred, argued that the trial court erred by denying the Attorney General leave to file a quo warranto action and by granting a permanent injunction against records requests, finding the records-request statutes constitutional and RFRA/preemption arguments premature for denying leave.",concur
24-0573_Texas_2025/05/30,Justice Sullivan,Did not participate in the decision.,other
23-0067_Texas_2025/05/02,Jane N. Bland,"Concurred, argued that constitutional due process requires clear and convincing evidence and consideration of the child's best interest for protective orders prohibiting parental contact for over two years, as such orders profoundly interfere with fundamental parental rights.",concur
23-0474_Texas_2025/03/21,Jeffrey S. Boyd Justice,"Concurred, arguing that a regulatory taking claim can proceed even if the regulation is a valid exercise of police power or complies with federal flood insurance programs, and that the plaintiff's claim was ripe and they had standing.",concur
24-0714_Texas_2025/06/13,James P. Sullivan,"Dissented, argued that the court should have declined to answer the certified question as it was an advisory opinion on an inadequately briefed issue and the majority's answer exceeded the court's jurisdiction.",dissent
23-0767_Texas_2025/05/09,John P. Devine,"Concurred, argued that the litigation should not proceed as the legislature has provided a means for property owners to unilaterally secure the release of property from a municipality's ETJ, making the constitutional claims potentially moot.",concur
23-0767_Texas_2025/05/09,Chief Justice Blacklock,Concurred with majority opinion.,concur
23-0767_Texas_2025/05/09,Justice Lehrmann,Concurred with majority opinion.,concur
23-0767_Texas_2025/05/09,Justice Boyd,Concurred with majority opinion.,concur
23-0767_Texas_2025/05/09,Justice Busby,Concurred with majority opinion.,concur
23-0767_Texas_2025/05/09,Justice Bland,Concurred with majority opinion.,concur
23-0767_Texas_2025/05/09,Justice Huddle,Concurred with majority opinion.,concur
23-0767_Texas_2025/05/09,Justice Young,Concurred with majority opinion.,concur
23-0767_Texas_2025/05/09,Justice Sullivan,"Dissented in part, arguing that the lower courts erred in holding the republican-form-of-government claim nonjusticiable and that the plaintiffs should not be compelled to use the statutory opt-out process.",dissent
"PD-0522-21,-PD-0523-21,-PD-0524-21_Texas_2024/09/11","SLAUGHTER, J.","Concurred, argued that the Legislature intended the TEC to have exclusive jurisdiction over campaign-law violations, making exhaustion of administrative remedies a jurisdictional prerequisite for criminal charges.",concur
"PD-0522-21,-PD-0523-21,-PD-0524-21_Texas_2024/09/11","HERVEY, J.",Concurred with majority opinion.,concur
"PD-0522-21,-PD-0523-21,-PD-0524-21_Texas_2024/09/11","RICHARDSON, J.",Concurred with majority opinion.,concur
"PD-0522-21,-PD-0523-21,-PD-0524-21_Texas_2024/09/11","NEWELL, J.",Concurred with majority opinion.,concur
"PD-0522-21,-PD-0523-21,-PD-0524-21_Texas_2024/09/11","WALKER, J.",Concurred with majority opinion.,concur
"PD-0522-21,-PD-0523-21,-PD-0524-21_Texas_2024/09/11","KELLER, P.J.","Dissented, argued that the exclusive jurisdiction doctrine does not apply to criminal prosecutions and that district attorneys retain their constitutional authority to prosecute crimes without prior TEC referral.",dissent
"PD-0522-21,-PD-0523-21,-PD-0524-21_Texas_2024/09/11","YEARY, J.",Dissented with dissenting opinion.,dissent
"PD-0522-21,-PD-0523-21,-PD-0524-21_Texas_2024/09/11","KEEL, J.",Dissented with dissenting opinion.,dissent
"PD-0522-21,-PD-0523-21,-PD-0524-21_Texas_2024/09/11","MCCLURE, J.",Concurred with majority opinion.,concur
24-0426_Texas_2024/08/23,JUSTICE YOUNG,"Concurred, argued that S.B. 1045 is constitutional as the legislature has the authority to create the Fifteenth Court of Appeals with statewide jurisdiction and the judicial appointment process complies with the Constitution.",concur
22-1149_Texas_2024/06/28,Evan A. Young Justice,"Concurred, argued that Article 10, when properly interpreted and with constitutional avoidance, does not violate the Gift Clauses as it serves a public purpose and the City retains control, and that the trial court erred in granting the TCPA motion and awarding fees/sanctions.",concur
22-1149_Texas_2024/06/28,Chief Justice Hecht,Concurred with majority opinion.,concur
22-1149_Texas_2024/06/28,Justice Lehrmann,Concurred with majority opinion.,concur
22-1149_Texas_2024/06/28,Justice Blacklock,Concurred with majority opinion.,concur
22-1149_Texas_2024/06/28,Justice Bland,Concurred with majority opinion.,concur
