case_id,name,description,ruling
SC-S071661_Oregon_2026/02/05,"DUNCAN, J.","Concurred, argued that the state's failure to appoint counsel for an eligible defendant for an extended period violates the right to counsel under Article I, section 11 of the Oregon Constitution, and dismissal without prejudice is the required remedy after 60 or 90 days depending on the case type.",concur
SC-S071661_Oregon_2026/02/05,"Garrett, J.",Concurred with majority opinion.,concur
SC-S071661_Oregon_2026/02/05,"DeHoog, J.",Concurred with majority opinion.,concur
SC-S071661_Oregon_2026/02/05,"Bushong, J.",Concurred with majority opinion.,concur
SC-S071661_Oregon_2026/02/05,"James, J.",Concurred with majority opinion.,concur
SC-S071661_Oregon_2026/02/05,"Masih, J.",Concurred with majority opinion.,concur
SC-S071661_Oregon_2026/02/05,"Pagán, Judge, Justice pro tempore",Concurred with majority opinion.,concur
SC-S071661_Oregon_2026/02/05,"Flynn, C. J.","Other, did not participate in the consideration or decision of this case.",other
S072015_Oregon_2025/11/14,Duncan,Concurred with majority opinion,concur
S072015_Oregon_2025/11/14,Garrett,Concurred with majority opinion,concur
S072015_Oregon_2025/11/14,DeHoog,Concurred with majority opinion,concur
S072015_Oregon_2025/11/14,Bushong,Concurred with majority opinion,concur
S072015_Oregon_2025/11/14,Masih,Concurred with majority opinion,concur
S072015_Oregon_2025/11/14,Powers,Concurred with majority opinion,concur
S072015_Oregon_2025/11/14,Pagán,Concurred with majority opinion,concur
S069830_Oregon_2022/12/30,"GARRETT, J.","Concurred, argued that the ballot title's caption, ""yes"" result statement, and summary must be modified to accurately reflect the measure's major effects, including the elimination of school district discretion and the non-speculative fiscal impact of funding following the student.",concur
S071885_Oregon_2025/03/12,"Ortega, P. J.","Concurred, argued that Measure 114 is a reasonable regulation to promote public safety and does not unduly frustrate the right to armed self-defense, thus being facially constitutional.",concur
S071885_Oregon_2025/03/12,"Hellman, Judge",Concurred with majority opinion,concur
S071885_Oregon_2025/03/12,"Mooney, Senior Judge",Concurred with majority opinion,concur
SC-S070433_Oregon_2025/01/30,"GARRETT, J.","Concurred, authored the main opinion, which affirmed the Court of Appeals' decision that the mandatory minimum sentence was not unconstitutionally disproportionate and that the trial court erred in considering the defendant's personal characteristics (mental health) in its proportionality analysis.",concur
SC-S070433_Oregon_2025/01/30,"Balmer, J.","Concurred, argued that the majority's holding was more limited than the broad rule the defendant had proposed regarding personal characteristics in proportionality analysis.",concur
SC-S070433_Oregon_2025/01/30,"Flynn, Chief Justice",Concurred with majority opinion.,concur
SC-S070433_Oregon_2025/01/30,"Duncan, Justice",Concurred with majority opinion.,concur
SC-S070433_Oregon_2025/01/30,"DeHoog, Justice",Concurred with majority opinion.,concur
SC-S070433_Oregon_2025/01/30,"James, Justice",Concurred with majority opinion.,concur
SC-S070433_Oregon_2025/01/30,"Masih, Justice",Concurred with majority opinion.,concur
SC-S070433_Oregon_2025/01/30,"Nakamoto, Senior Judge",Concurred with majority opinion.,concur
SC-S070433_Oregon_2025/01/30,"Bushong, J.",Did not participate in the consideration or decision of this case.,other
SC-S069859_Oregon_2025/01/16,"DUNCAN, J.","Concurred, authored the majority opinion which reversed the Court of Appeals' decision on preservation grounds and remanded the case for further proceedings on the double jeopardy issue.",concur
SC-S069859_Oregon_2025/01/16,"Bushong, J.","Concurred, argued that the majority's detailed discussion of the merits of the double jeopardy claim and related legal principles was dicta and should not influence the Court of Appeals on remand.",concur
SC-S069859_Oregon_2025/01/16,"Flynn, Chief Justice",Concurred with majority opinion.,concur
SC-S069859_Oregon_2025/01/16,"Garrett, J.",Concurred with majority opinion.,concur
SC-S069859_Oregon_2025/01/16,"DeHoog, J.",Concurred with majority opinion.,concur
SC-S069859_Oregon_2025/01/16,"James, J.",Concurred with majority opinion.,concur
SC-S069859_Oregon_2025/01/16,"Masih, J.",Concurred with majority opinion.,concur
SC-S069859_Oregon_2025/01/16,"Baldwin, Senior Judge",Did not participate in the consideration or decision of this case.,other
S070771_Oregon_2025/01/30,"JAMES, J.","Concurred, argued that the lack of a ""right"" to future employment does not, as a matter of law, prevent a plaintiff from proving economic damages for lost future wages, and that the trial court erred in dismissing the complaint.",concur
SC-S070046_Oregon_2024/06/13,"BUSHONG, J.","Concurred, argued that the record did not demonstrate that the trial court's decision to deny the defendant's constitutional right to retained counsel of choice was a permissible exercise of its discretion, thus requiring reversal and remand for a new trial.",concur
SC-S071034_Oregon_2024/05/08,"GARRETT, J.","Concurred, argued that Governor Kotek lacked authority to revoke the conditional commutation because plaintiff had already completed her sentence, and the terms of the commutation and acceptance agreement did not grant such authority after sentence expiration.",concur
SC-S070162_Oregon_2024/03/14,"GARRETT, J.","Concurred, argued that the Governor's commutation rendered the petitioner's request for resentencing moot because he was no longer serving a death sentence, and that his challenges to penalty-phase questions were procedurally barred due to lack of preservation.",concur
SC-S070456_Oregon_2024/02/01,"Flynn, Chief Justice",Concurred with majority opinion,concur
SC-S070456_Oregon_2024/02/01,"Duncan, Justice",Concurred with majority opinion,concur
SC-S070456_Oregon_2024/02/01,"Garrett, Justice",Concurred with majority opinion,concur
SC-S070456_Oregon_2024/02/01,"DeHoog, Justice",Concurred with majority opinion,concur
SC-S070456_Oregon_2024/02/01,"Bushong, Justice",Concurred with majority opinion,concur
SC-S070456_Oregon_2024/02/01,"James, Justice",Concurred with majority opinion,concur
