case_id,name,description,ruling
89603_New-Jersey_2025/08/11,WAINER APTER,"Concurred, argued that constitutional ex post facto prohibitions only forbid punishment beyond what was contemplated at the time the crime was committed, and since the law at the time of Krug's offenses permitted the Board to consider all existing information, the 1997 amendment created no risk of additional punishment.",concur
89603_New-Jersey_2025/08/11,CHIEF JUSTICE RABNER,Concurred with majority opinion.,concur
89603_New-Jersey_2025/08/11,PATTERSON,Concurred with majority opinion.,concur
89603_New-Jersey_2025/08/11,PIERRE-LOUIS,Concurred with majority opinion.,concur
89603_New-Jersey_2025/08/11,FASCIALE,Concurred with majority opinion.,concur
89603_New-Jersey_2025/08/11,HOFFMAN,Concurred with majority opinion.,concur
89603_New-Jersey_2025/08/11,JUSTICE NORIEGA,"Dissented, argued that the State should not retroactively apply a parole law that poses a greater risk of prolonged incarceration, as the 1979 Act established a social compact with incarcerated individuals, and the 1997 amendment retroactively imposed harsher conditions, violating ex post facto principles of notice and governmental restraint.",dissent
A-6-2024_New-Jersey_2025/06/17,"PATTERSON, J.","Concurred, argued that Daniel's Law is narrowly tailored to protect public officials from harm and reprisal, upholding the law against a journalist's free speech challenge.",concur
A-6-2024_New-Jersey_2025/06/17,JUSTICES PIERRE-LOUIS,Concurred with majority opinion.,concur
A-6-2024_New-Jersey_2025/06/17,WAINER APTER,Concurred with majority opinion.,concur
A-6-2024_New-Jersey_2025/06/17,NORIEGA,Concurred with majority opinion.,concur
A-6-2024_New-Jersey_2025/06/17,JUDGE SABATINO,Concurred with majority opinion.,concur
A-6-2024_New-Jersey_2025/06/17,CHIEF JUSTICE RABNER,Did not participate in the decision.,other
A-6-2024_New-Jersey_2025/06/17,JUSTICES FASCIALE,Did not participate in the decision.,other
A-6-2024_New-Jersey_2025/06/17,HOFFMAN,Did not participate in the decision.,other
A-15-24_New-Jersey_2025/06/16,"RABNER, CHIEF JUSTICE","Concurred, argued that it was premature for the trial court to conclude that any potential presentment had to be suppressed, as no grand jury had completed an investigation or issued a presentment.",concur
A-15-24_New-Jersey_2025/06/16,JUSTICES PATTERSON,Concurred with majority opinion,concur
A-15-24_New-Jersey_2025/06/16,PIERRE-LOUIS,Concurred with majority opinion,concur
A-15-24_New-Jersey_2025/06/16,WAINER APTER,Concurred with majority opinion,concur
A-15-24_New-Jersey_2025/06/16,FASCIALE,Concurred with majority opinion,concur
A-15-24_New-Jersey_2025/06/16,NORIEGA,Concurred with majority opinion,concur
A-15-24_New-Jersey_2025/06/16,HOFFMAN,Concurred with majority opinion,concur
"A-3542-21T2,-A-3543-21T2_New-Jersey_2025/02/26","GILSON, P.J.A.D.","Concurred, argued that N.J.S.A. 19:13-8 is constitutional under the Anderson-Burdick interest-balancing test, as it imposes only a minimal burden on rights and serves the state's compelling regulatory interests in election integrity and political stability.",concur
"A-3542-21T2,-A-3543-21T2_New-Jersey_2025/02/26",Firko,Concurred with majority opinion.,concur
"A-3542-21T2,-A-3543-21T2_New-Jersey_2025/02/26",Augostini,Concurred with majority opinion.,concur
A-16-24_New-Jersey_2025/07/16,"FASCIALE, J.","Concurred, argued that the charity care program is not an unconstitutional taking because it does not physically appropriate property or constitute a regulatory taking, given the highly regulated nature of the hospital industry and the paramount public interest it serves.",concur
A-16-24_New-Jersey_2025/07/16,CHIEF JUSTICE RABNER,Concurred with majority opinion,concur
A-16-24_New-Jersey_2025/07/16,JUSTICE PATTERSON,Concurred with majority opinion,concur
A-16-24_New-Jersey_2025/07/16,JUSTICE PIERRE-LOUIS,Concurred with majority opinion,concur
A-16-24_New-Jersey_2025/07/16,JUSTICE WAINER APTER,Concurred with majority opinion,concur
A-16-24_New-Jersey_2025/07/16,JUSTICE NORIEGA,Concurred with majority opinion,concur
A-16-24_New-Jersey_2025/07/16,JUSTICE HOFFMAN,Concurred with majority opinion,concur
"086861,-A-40-22_New-Jersey_2024/05/06","RABNER, C.J.","Concurred, argued that the State Constitution guarantees an affirmative right to speak freely, and the regulation, despite its legitimate aims, reaches too far and chills constitutionally protected speech, making it overbroad.",concur
"086861,-A-40-22_New-Jersey_2024/05/06",JUSTICES PATTERSON,Concurred with majority opinion.,concur
"086861,-A-40-22_New-Jersey_2024/05/06",SOLOMON,Concurred with majority opinion.,concur
"086861,-A-40-22_New-Jersey_2024/05/06",PIERRE-LOUIS,Concurred with majority opinion.,concur
"086861,-A-40-22_New-Jersey_2024/05/06",FASCIALE,Concurred with majority opinion.,concur
"086861,-A-40-22_New-Jersey_2024/05/06",NORIEGA,Concurred with majority opinion.,concur
"086861,-A-40-22_New-Jersey_2024/05/06",JUSTICE WAINER APTER,Did not participate in the decision.,other
A-41-22_New-Jersey_2024/01/18,"WAINER APTER, J.","Concurred, argued that the witness tampering statute is not facially overbroad but may have been unconstitutionally applied to the defendant, requiring a new trial with proper jury instructions on intent.",concur
A-41-22_New-Jersey_2024/01/18,CHIEF JUSTICE RABNER,Concurred with majority opinion.,concur
A-41-22_New-Jersey_2024/01/18,JUSTICE PATTERSON,Concurred with majority opinion.,concur
A-41-22_New-Jersey_2024/01/18,JUSTICE SOLOMON,Concurred with majority opinion.,concur
A-41-22_New-Jersey_2024/01/18,JUSTICE PIERRE-LOUIS,Concurred with majority opinion.,concur
A-41-22_New-Jersey_2024/01/18,JUSTICE FASCIALE,Concurred with majority opinion.,concur
A-41-22_New-Jersey_2024/01/18,JUSTICE NORIEGA,Concurred with majority opinion.,concur
086617_New-Jersey_2024/01/16,WAINER APTER,"Concurred, argued that a mens rea of recklessness is constitutionally sufficient for true threats, but an objective component (reasonable person similarly situated to the victim) is also necessary, and juries must unanimously agree on the specific subsection violated.",concur
086617_New-Jersey_2024/01/16,CHIEF JUSTICE RABNER,Concurred with majority opinion,concur
086617_New-Jersey_2024/01/16,JUSTICES PATTERSON,Concurred with majority opinion,concur
086617_New-Jersey_2024/01/16,JUSTICES SOLOMON,Concurred with majority opinion,concur
086617_New-Jersey_2024/01/16,JUSTICES PIERRE-LOUIS,Concurred with majority opinion,concur
086617_New-Jersey_2024/01/16,JUSTICES FASCIALE,Concurred with majority opinion,concur
086617_New-Jersey_2024/01/16,JUSTICES NORIEGA,Concurred with majority opinion,concur
84493_New-Jersey_2023/06/22,JUSTICE PIERRE-LOUIS,"Concurred, arguing that a generalized smell of raw marijuana does not justify a search of every compartment of an automobile, and the search of the engine compartment and trunk exceeded the scope of the automobile exception.",concur
84493_New-Jersey_2023/06/22,CHIEF JUSTICE RABNER,Concurred with majority opinion.,concur
84493_New-Jersey_2023/06/22,JUSTICE PATTERSON,Concurred with majority opinion.,concur
84493_New-Jersey_2023/06/22,JUSTICE SOLOMON,Concurred with majority opinion.,concur
84493_New-Jersey_2023/06/22,JUSTICE WAINER APTER,Concurred with majority opinion.,concur
84493_New-Jersey_2023/06/22,JUSTICE FASCIALE,Concurred with majority opinion.,concur
84493_New-Jersey_2023/06/22,JUDGE SABATINO,Concurred with majority opinion.,concur
A-23-22_New-Jersey_2023/08/02,"RABNER, C.J.","Concurred, argued that first-time in-court identifications are inherently suggestive and risk depriving defendants of due process rights, and that continuous narration of video evidence by an investigator who did not witness the event is improper.",concur
A-23-22_New-Jersey_2023/08/02,JUSTICES PATTERSON,Concurred with majority opinion,concur
A-23-22_New-Jersey_2023/08/02,SOLOMON,Concurred with majority opinion,concur
A-23-22_New-Jersey_2023/08/02,PIERRE-LOUIS,Concurred with majority opinion,concur
A-23-22_New-Jersey_2023/08/02,WAINER APTER,Concurred with majority opinion,concur
A-23-22_New-Jersey_2023/08/02,FASCIALE,Concurred with majority opinion,concur
A-23-22_New-Jersey_2023/08/02,JUDGE SABATINO,Concurred with majority opinion,concur
"A-61-21,-A-7-22_New-Jersey_2023/06/29",CHIEF JUSTICE RABNER,"Concurred, argued that law enforcement must adhere to the heightened protections of the New Jersey Wiretap Act for prospective electronic communications, as a CDW based on probable cause is insufficient to protect individual privacy.",concur
"A-61-21,-A-7-22_New-Jersey_2023/06/29",JUSTICE PATTERSON,Concurred with majority opinion.,concur
"A-61-21,-A-7-22_New-Jersey_2023/06/29",JUSTICE SOLOMON,Concurred with majority opinion.,concur
"A-61-21,-A-7-22_New-Jersey_2023/06/29",JUSTICE PIERRE-LOUIS,Concurred with majority opinion.,concur
"A-61-21,-A-7-22_New-Jersey_2023/06/29",JUSTICE WAINER APTER,Concurred with majority opinion.,concur
"A-61-21,-A-7-22_New-Jersey_2023/06/29",JUSTICE FASCIALE,Did not participate.,other
"A-61-21,-A-7-22_New-Jersey_2023/06/29",JUDGE SABATINO,Did not participate.,other
A-6-22_New-Jersey_2023/03/08,JUSTICE FASCIALE,"Concurred, argued that the police actions leading to the warrantless search were deliberate and orchestrated, not unforeseeable and spontaneous, thus requiring a warrant under the New Jersey Constitution's automobile exception.",concur
A-6-22_New-Jersey_2023/03/08,CHIEF JUSTICE RABNER,Concurred with majority opinion.,concur
A-6-22_New-Jersey_2023/03/08,JUSTICE PATTERSON,Concurred with majority opinion.,concur
A-6-22_New-Jersey_2023/03/08,JUSTICE PIERRE-LOUIS,Concurred with majority opinion.,concur
A-6-22_New-Jersey_2023/03/08,JUSTICE WAINER APTER,Concurred with majority opinion.,concur
A-6-22_New-Jersey_2023/03/08,JUSTICE SOLOMON,Did not participate.,other
A-6-22_New-Jersey_2023/03/08,JUDGE SABATINO,Did not participate.,other
A-35-21_New-Jersey_2023/01/23,"FASCIALE, J.","Concurred, arguing that a new heightened discovery standard is necessary to balance a sexual assault victim's confidential communications with a defendant's right to a meaningful defense.",concur
A-35-21_New-Jersey_2023/01/23,CHIEF JUSTICE RABNER,Concurred with majority opinion.,concur
A-35-21_New-Jersey_2023/01/23,JUSTICE PATTERSON,Concurred with majority opinion.,concur
A-35-21_New-Jersey_2023/01/23,JUSTICE SOLOMON,Concurred with majority opinion.,concur
A-35-21_New-Jersey_2023/01/23,JUSTICE PIERRE-LOUIS,Concurred with majority opinion.,concur
A-35-21_New-Jersey_2023/01/23,JUDGE SABATINO,Concurred with majority opinion.,concur
85157_New-Jersey_2022/03/08,JUSTICE ALBIN,"Concurred, argued that the attorney-review requirement of N.J.S.A. 25:1-5(h) for palimony agreements violates the substantive due process guarantee of the New Jersey Constitution by interfering with individual autonomy and the right to contract without compelled legal counsel.",concur
85157_New-Jersey_2022/03/08,CHIEF JUSTICE RABNER,Concurred with majority opinion.,concur
85157_New-Jersey_2022/03/08,JUSTICE PATTERSON,Concurred with majority opinion.,concur
85157_New-Jersey_2022/03/08,JUSTICE SOLOMON,Concurred with majority opinion.,concur
85157_New-Jersey_2022/03/08,JUSTICE PIERRE-LOUIS,Concurred with majority opinion.,concur
86587_New-Jersey_2022/02/03,CHIEF JUSTICE RABNER,Concurred with majority opinion.,concur
86587_New-Jersey_2022/02/03,JUSTICE ALBIN,Concurred with majority opinion.,concur
86587_New-Jersey_2022/02/03,JUSTICE PATTERSON,Concurred with majority opinion.,concur
86587_New-Jersey_2022/02/03,JUSTICE SOLOMON,Concurred with majority opinion.,concur
86587_New-Jersey_2022/02/03,JUDGE FUENTES,Concurred with majority opinion.,concur
86587_New-Jersey_2022/02/03,JUSTICE FERNANDEZ-VINA,Did not participate in the decision.,other
86587_New-Jersey_2022/02/03,JUSTICE PIERRE-LOUIS,Did not participate in the decision.,other
084509-&amp;-084516_New-Jersey_2022/01/10,CHIEF JUSTICE RABNER,"Concurred, arguing that the statutory framework for sentencing juveniles, without a review mechanism, contravenes the State Constitution, and a 20-year look-back period is necessary to save the statute from constitutional infirmity.",concur
084509-&amp;-084516_New-Jersey_2022/01/10,JUSTICE LAVECCHIA,Concurred with majority opinion.,concur
084509-&amp;-084516_New-Jersey_2022/01/10,JUSTICE ALBIN,Concurred with majority opinion.,concur
084509-&amp;-084516_New-Jersey_2022/01/10,JUSTICE PIERRE-LOUIS,Concurred with majority opinion.,concur
084509-&amp;-084516_New-Jersey_2022/01/10,JUSTICE SOLOMON,"Dissented, arguing that the majority's imposition of a 20-year lookback period for juvenile offenders was a subjective policy decision that overstepped the judiciary's role and should be left to the Legislature.",dissent
084509-&amp;-084516_New-Jersey_2022/01/10,JUSTICE PATTERSON,Dissented with Justice Solomon's opinion.,dissent
084509-&amp;-084516_New-Jersey_2022/01/10,JUSTICE FERNANDEZ-VINA,Dissented with Justice Solomon's opinion.,dissent
083298-&amp;-084603_New-Jersey_2021/09/23,JUSTICE PIERRE-LOUIS,"Concurred, argued that fundamental fairness prohibits courts from subjecting a defendant to enhanced sentencing for conduct a jury found the defendant not guilty of, thereby protecting the integrity of the jury trial right.",concur
