case_id,name,description,ruling
20240298_North-Dakota_2025/08/28_37,Daniel J. Crothers,Concurred with majority opinion.,concur
20240298_North-Dakota_2025/08/28_37,Jon J. Jensen,Concurred with majority opinion.,concur
20240298_North-Dakota_2025/08/28_37,Lisa Fair McEvers,Concurred with majority opinion.,concur
20240298_North-Dakota_2025/08/28_37,Jerod E. Tufte,Concurred with majority opinion.,concur
20240298_North-Dakota_2025/08/28_37,Douglas A. Bahr,Concurred with majority opinion.,concur
20240291_North-Dakota_2025/11/21_142,Daniel J. Crothers,"Concurred, argued that N.D.C.C. ch. 12.1-19.1 is unconstitutionally vague, particularly its health-risk exception, and the vague parts cannot be severed, thus the entire law should be invalidated.",concur
20240291_North-Dakota_2025/11/21_142,Lisa Fair McEvers,Concurred with majority opinion.,concur
20240291_North-Dakota_2025/11/21_142,"Daniel D. Narum, D.J.",Concurred with majority opinion.,concur
20240291_North-Dakota_2025/11/21_142,Jerod E. Tufte,"Dissented, argued that the majority opinion extends the vagueness standard to natural rights and permits pre-enforcement facial challenges based on hypotheticals, concluding the law is not unconstitutionally vague and does not conflict with Article I, Section 1.",dissent
20240291_North-Dakota_2025/11/21_142,"Jon J. Jensen, C.J.",Dissented with majority opinion.,dissent
20240125_North-Dakota_2024/12/19_252,Douglas A. Bahr,"Concurred, argued that H.B. 1340 is a valid exercise of the legislature's constitutional authority to create political subdivisions and define the powers of home rule cities, and that it preempts Fargo's ordinances.",concur
20240125_North-Dakota_2024/12/19_252,"Jon J. Jensen, C.J.",Concurred with majority opinion,concur
20240125_North-Dakota_2024/12/19_252,Daniel J. Crothers,Concurred with majority opinion,concur
20240125_North-Dakota_2024/12/19_252,Lisa Fair McEvers,Concurred with majority opinion,concur
20240125_North-Dakota_2024/12/19_252,Jerod E. Tufte,Concurred with majority opinion,concur
20230158_North-Dakota_2023/09/28_529,"Crothers, Justice","Concurred, argued that S.B. 2015 violated the single subject rule of the North Dakota Constitution, rendering the entire bill void.",concur
20230158_North-Dakota_2023/09/28_529,"Tufte, Justice",Concurred with majority opinion.,concur
20230158_North-Dakota_2023/09/28_529,"Jensen, Chief Justice","Concurred, argued that while the legislation violated the single subject rule, the underlying action would have been permissible, and the judgment should be stayed for 30 days to allow the legislature to re-enact the legislation constitutionally.",concur
20230158_North-Dakota_2023/09/28_529,"McEvers, Justice","Concurred, agreed that the legislation violated the single subject rule and that the judgment should be stayed for 30 days, but did not speculate on the likelihood of the legislation surviving further consideration.",concur
20230158_North-Dakota_2023/09/28_529,"Gary H. Lee, D.J.",Concurred with Justice McEvers' special concurrence.,concur
20220343_North-Dakota_2023/08/17_558,Jerod E. Tufte,"Concurred, argued that the district court did not commit reversible error regarding public trial, double jeopardy, jury instructions, or the admission of the victim's video.",concur
20220343_North-Dakota_2023/08/17_558,Jon J. Jensen,Concurred with majority opinion.,concur
20220343_North-Dakota_2023/08/17_558,Daniel J. Crothers,Concurred with majority opinion.,concur
20220343_North-Dakota_2023/08/17_558,Lisa Fair McEvers,Concurred with majority opinion.,concur
20220343_North-Dakota_2023/08/17_558,Douglas A. Bahr,Concurred with majority opinion.,concur
20220031_North-Dakota_2023/03/16_656,Lisa Fair McEvers,"Concurred, arguing that the common law doctrine of abatement ab initio is inconsistent with North Dakota's constitutional victims' rights, and since there are no collateral consequences or requests for substitution, the appeal is moot and the judgment stands.",concur
20220031_North-Dakota_2023/03/16_656,"Jon J. Jensen, C.J.",Concurred with majority opinion.,concur
20220031_North-Dakota_2023/03/16_656,Jerod E. Tufte,Concurred with majority opinion.,concur
20220031_North-Dakota_2023/03/16_656,Douglas A. Bahr,Concurred with majority opinion.,concur
20220031_North-Dakota_2023/03/16_656,"Douglas L. Mattson, D.J.",Concurred with majority opinion.,concur
20220031_North-Dakota_2023/03/16_656,"Crothers, J.",Disqualified from the case.,other
20220260_North-Dakota_2023/03/16_657,"JENSEN, CHIEF JUSTICE","Concurred, argued that the North Dakota Constitution guarantees a fundamental right to abortion to preserve a woman's life or health, and the challenged statute is not narrowly tailored.",concur
20220260_North-Dakota_2023/03/16_657,"Tufte, Justice","Concurred, argued that the ""life or health"" right need not be understood more broadly than self-defense, and the statute is unconstitutional for not providing an exception for life-saving abortions.",concur
20220260_North-Dakota_2023/03/16_657,"McEvers, Justice","Concurred, argued that the North Dakota Constitution's protected rights may be broader than those under the United States Constitution, and the court upheld the injunction on narrow grounds.",concur
20220260_North-Dakota_2023/03/16_657,Daniel J. Crothers,Concurred with majority opinion.,concur
20220260_North-Dakota_2023/03/16_657,"Daniel D. Narum, D.J.",Concurred with majority opinion.,concur
20220260_North-Dakota_2023/03/16_657,Justice Gerald W.VandeWalle,"Other, argued that he was not a member of the Court when the opinion was considered and did not participate.",other
20220233_North-Dakota_2022/09/07_755,Jerod E. Tufte,"Concurred, argued that the Secretary of State misapplied the law by invalidating all signatures notarized by a single notary based on an imputed pattern of fraud, rather than only those demonstrably fraudulent.",concur
20220233_North-Dakota_2022/09/07_755,"Jon J. Jensen, C.J.",Concurred with majority opinion.,concur
20220233_North-Dakota_2022/09/07_755,Lisa Fair McEvers,Concurred with majority opinion.,concur
20220233_North-Dakota_2022/09/07_755,"Allan L. Schmalenberger, S.J.",Disqualified from the case.,other
20220233_North-Dakota_2022/09/07_755,"William A. Neumann, S.J.",Disqualified from the case.,other
20210360_North-Dakota_2022/05/12_835,Jon J. Jensen,"Concurred, argued that quick-take procedures were available for the sewer project and the district court did not abuse its discretion in excluding evidence based on an incorrect interpretation of zoning ordinances.",concur
20210360_North-Dakota_2022/05/12_835,Gerald W.VandeWalle,Concurred with majority opinion.,concur
20210360_North-Dakota_2022/05/12_835,Daniel J. Crothers,Concurred with majority opinion.,concur
20210360_North-Dakota_2022/05/12_835,Lisa Fair McEvers,Concurred with majority opinion.,concur
20210360_North-Dakota_2022/05/12_835,Jerod E. Tufte,Concurred with majority opinion.,concur
