case_id,docket_no,title,state,date,type,opinion_link,description,plaintiff_argument,defendant_argument,decision_outcome,decision_winner,environment,consumers,reproductive_rights,democratic_norms,free_press,public_health,separation_church_state,voting_access,public_education,free_speech,privacy,worker_rights
2026-ME-32_Maine_2026/04/06,2026 ME 32,In the Matter of Request for Opinion of the Justices,Maine,2026-04-06,Voting Rights and Elections,https://statecourtreport.org/sites/default/files/2026-04/supreme_judicial_court_of_maine-opinion.pdf,"Whether the method of arriving at a plurality of votes cast through ranked-choice voting, as amended by L.D. 1666, conforms with the plurality provisions of the Maine Constitution for the election of Governor, State Senator, and State Representative.","The proponents of L.D. 1666 contend that the Constitution's plurality requirement does not constrain the Legislature in how plurality is determined, and that L.D. 1666 allows for elections by a plurality, thus comporting with the Maine Constitution.","The Attorney General and the Republican National Committee argue that L.D. 1666, if enacted, would violate the Maine Constitution's plurality provisions.","The court concluded that L.D. 1666, if enacted, would violate the Maine Constitution's provisions for the election of State Representatives, State Senators, and the Governor by a plurality of all votes.",defendant,NA,NA,NA,protected,NA,NA,NA,infringed,NA,NA,NA,NA
Ken-25-53_Maine_2025/08/26,Ken-25-53,Maine State Chamber of Commerce v. Department of Labor,Maine,2025-08-26,Government Structure,https://statecourtreport.org/sites/default/files/fastcase/converted/Me.%20State%20Chamber%20of%20Commerce%20v.%20Dep%27t%20of%20Labor%2C%20Me.%20Ken-25-53.pdf,"Whether the Maine Department of Labor's rules for the Paid Family and Medical Leave (PFML) program, specifically regarding nonrefundable premiums and the delay in applying for private substitute plans, are legal and constitutional.","The plaintiffs argued that the Department's rules conflict with the PFML Act, are arbitrary and capricious, and constitute an unconstitutional taking of private property without just compensation under both the Maine and U.S. Constitutions.","The Department argued that its rules are consistent with the PFML Act, are a reasonable implementation to ensure a fiscally sound fund, and do not constitute an unconstitutional taking because participation is voluntary and no identifiable property right is at stake.","The court ruled that the Department of Labor's rules for the Paid Family and Medical Leave program are legal and constitutional, finding they do not conflict with the Act, are not arbitrary or capricious, and do not constitute an unconstitutional taking of private property.",defendant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,protected
Ken-24-125_Maine_2025/08/26,Ken-24-125,State v. Engroff,Maine,2025-08-26,Criminal Law,https://statecourtreport.org/sites/default/files/fastcase/converted/State%20v.%20Engroff%2C%20Me.%20Ken-24-125.pdf,Whether Aaron C. Engroff's speedy trial rights were violated and whether the admission of a child forensic interview video violated his confrontation and due process rights under the Maine and United States Constitutions.,"Engroff argued that his speedy trial rights were violated due to excessive delay and that the admission of the victim's video interview violated his confrontation and due process rights, and that the relevant statute did not apply to his case.","The State argued that any trial delays were partly attributable to Engroff and that the prejudice was insufficient for dismissal, and that the video's admission was proper under the statute, which was later clarified to apply to pending cases.",The court affirmed the judgment of conviction against Aaron C. Engroff.,defendant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PEN-21-256_Maine_2025/08/29,PEN-21-256,State v. McLain,Maine,2025-08-29,Criminal Law,https://statecourtreport.org/sites/default/files/2025-09/supreme_judicial_court_of_maine-opinion.pdf,Whether Derric McLain validly waived his constitutional privilege against self-incrimination under the Maine Constitution during custodial interrogation.,"McLain argued that he did not waive his privilege against self-incrimination and ambiguously invoked his right to counsel, requiring law enforcement to cease questioning or clarify his intent.",The State argued that McLain had waived his privilege against self-incrimination.,"The court vacated the judgment of conviction and remanded for further proceedings, ruling that McLain's custodial statements must be suppressed because he did not clearly waive his right against self-incrimination.",plaintiff,NA,NA,NA,NA,NA,NA,NA,NA,NA,protected,NA,NA
BCD-23-122-_Maine_2025/01/28,BCD-23-122 ,Dupuis v. Roman Catholic Bishop of Portland,Maine,2025-01-28,Criminal Law,https://statecourtreport.org/sites/default/files/2025-02/supreme_judicial_court_of_maine-opinion.pdf,"Whether the retroactive application of 14 M.R.S. § 752-C(3), which revives claims for sexual abuse against minors after their statute of limitations has expired, violates the Maine Constitution.",The plaintiffs argue that the retroactive application of the statute is constitutional and allows them to pursue damages for sexual abuse that was previously time-barred.,The defendant argues that the retroactive application of the statute is unconstitutional because it deprives them of a vested right to be free from claims once the statute of limitations has expired.,"The court ruled that 14 M.R.S. § 752-C(3) is unconstitutional as applied to claims where the statute of limitations had already expired, meaning such claims cannot be retroactively revived.",defendant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ken-22-411_Maine_2024/03/28,Ken-22-411,Parker v. Department of Inland Fisheries and Wildlife,Maine,2024-03-28,Economic and Labor Rights,https://statecourtreport.org/sites/default/files/2024-04/maine-supreme-court-parker-v-department-of-inland-fisheries-and-wildlife.pdf,Whether Maine's longstanding Sunday hunting ban conflicts with the recently enacted right-to-food amendment to the Maine Constitution.,"The Sunday hunting ban has been rendered unconstitutional by the right-to-food amendment, which enshrines a right to harvest food through hunting.",The Sunday hunting ban does not conflict with the right-to-food amendment because hunting in violation of the ban is illegal and falls under the amendment's poaching exception.,"The court vacated the Superior Court's dismissal of the complaint but ultimately declared the challenged Sunday hunting ban constitutional, finding it does not conflict with the right-to-food amendment.",defendant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OJ-23-1_Maine_2023/05/26,OJ-23-1,In re Opinion of the Justices,Maine,2023-05-26,Government Structure,https://statecourtreport.org/sites/default/files/fastcase/additionalPdfs/processed/Opinion%20of%20the%20Justices%20-Letter%20-05.26.2023.pdf,Whether the Governor's role impacts the direct initiation of legislation under the Constitution.,The Governor concurs with arguments in the Attorney General's brief regarding the Governor's role in the direct initiation of legislation.,"The document does not present an opposing argument, as it is a submission from the Governor to the court.","The court's decision is not provided in this document, as it is a submission to the court.",N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aro-21-312_Maine_2023/03/30,Aro-21-312,Winchester v. State,Maine,2023-03-30,Criminal Law,https://statecourtreport.org/sites/default/files/fastcase/converted/Winchester%20v.%20State%2C%20Me.%20Aro-21-312.pdf,"Whether Dennis F. Winchester's counsel provided ineffective assistance by failing to assert his speedy trial rights, with Winchester arguing for ineffective assistance and the State arguing the lower court's denial was correct.",Winchester argued that his counsel's failures to assert his right to a speedy trial constituted ineffective assistance of counsel.,"The State argued that the PCR court's denial of Winchester's petitions was correct, implying no ineffective assistance or speedy trial violation.","The judgment of the post-conviction review court denying Winchester's petitions was vacated, and the case was remanded for reconsideration consistent with the opinion.",plaintiff,NA,NA,NA,protected,NA,NA,NA,NA,NA,NA,NA,NA
BCD-21-257_Maine_2022/11/29,BCD-21-257,Black v. Bureau of Parks & Lands,Maine,2022-11-29,Government Structure,https://statecourtreport.org/sites/default/files/fastcase/converted/Black%20v.%20Bureau%20of%20Parks%20%26%20Lands%2C%20Me.%20BCD-21-257.pdf,"Whether the Bureau of Parks and Lands had the constitutional and statutory authority to lease public reserved land for a transmission line without a formal administrative process and legislative approval, and whether a citizen's initiative could retroactively invalidate such a lease.","The plaintiff argued that the Bureau's lease of public reserved land for a transmission line was ultra vires because it substantially altered the land, requiring a two-thirds legislative vote, and that the Bureau failed to follow a required public administrative process. They also contended that a citizen's initiative retroactively invalidated the lease.","The defendants (Bureau and CMP) argued that the Bureau had broad statutory authority to grant such leases without a formal administrative process or legislative approval, as the lease did not ""substantially alter"" the land. They also argued that the citizen's initiative could not constitutionally apply retroactively to invalidate the existing lease.","The court vacated the lower court's judgment and remanded for entry of judgment in favor of the Bureau of Parks and Lands, NECEC Transmission LLC, and Central Maine Power Co. on all counts of the first amended complaint.",defendant,infringed,NA,NA,infringed,NA,NA,NA,NA,NA,NA,NA,NA
Aro-21-366_Maine_2022/11/08,Aro-21-366,State v. White,Maine,2022-11-08,Criminal Law,https://statecourtreport.org/sites/default/files/fastcase/converted/State%20v.%20White%2C%20Me.%20Aro-21-366.pdf,"Whether multiple prosecutorial errors, including improper ""accountability"" comments and references to the defendant's silence, when considered in the context of potential racial bias, impaired the defendant's substantial rights and warranted a new trial.","The plaintiff, Jomo White, argued that the prosecutor's improper comments during opening, closing, and rebuttal, including urging the jury to find him guilty, referencing his decision not to testify, and making ""accountability"" comments, constituted prosecutorial error. He contended that these errors, particularly when viewed in the context of him being an out-of-state Black man tried in a largely white community, warranted a mistrial and a new trial to ensure a fair process.","The defendant, the State of Maine, argued that the trial court's denial of a mistrial was appropriate. The State contended that some comments were not error, others could be remedied by curative instructions, and that the strong evidence of White's guilt meant any errors were harmless and did not affect substantial rights. The State also argued that the comments on White's silence were ""inartful"" but intended to provide a neutral tool for jury evaluation.",The court vacated the judgment of conviction and remanded the case for a new trial due to prosecutorial error.,plaintiff,NA,NA,NA,protected,NA,NA,NA,NA,NA,NA,NA,NA
