case_id,name,description,ruling
2024-0234_New-Hampshire_2025/08/19,"COUNTWAY, J.","Concurred, argued that the trial court correctly determined the Morrises' residency and that the tax scheme was constitutional.",concur
2024-0234_New-Hampshire_2025/08/19,"MACDONALD, C.J.",Concurred with majority opinion.,concur
2024-0234_New-Hampshire_2025/08/19,"BASSETT, J.",Concurred with majority opinion.,concur
2024-0234_New-Hampshire_2025/08/19,"DONOVAN, J.",Concurred with majority opinion.,concur
2024-0259-_New-Hampshire_2025/06/04,"MACDONALD, C.J.",Concurred with majority opinion.,concur
2024-0259-_New-Hampshire_2025/06/04,"BASSETT, J.",Concurred with majority opinion.,concur
2024-0259-_New-Hampshire_2025/06/04,"DONOVAN, J.",Concurred with majority opinion.,concur
2024-0259-_New-Hampshire_2025/06/04,"COUNTWAY, J.",Concurred with majority opinion.,concur
-2024-0066_New-Hampshire_2025/05/01,"DONOVAN, J.","Concurred, argued that Part I, Article 2-b of the State Constitution abrogates the prior standard for obtaining confidential records from private organizations, establishing a higher ""essential need"" standard or statutory procedure (RSA 173-C:5) and requiring notice to the individual whose records are sought.",concur
-2024-0066_New-Hampshire_2025/05/01,"MACDONALD, C.J.",Concurred with majority opinion.,concur
-2024-0066_New-Hampshire_2025/05/01,"BASSETT, J.",Concurred with majority opinion.,concur
-2024-0066_New-Hampshire_2025/05/01,"COUNTWAY, J.",Concurred with majority opinion.,concur
2023-0637_New-Hampshire_2025/03/18,"COUNTWAY, J.","Concurred, argued that the Board did not violate Doe's procedural due process rights and did not act arbitrarily or capriciously in denying his request to remove the suspension orders from its website, as the public's interest in accessing disciplinary orders outweighs Doe's reputational interest.",concur
2023-0637_New-Hampshire_2025/03/18,"MACDONALD, C.J.",Concurred with majority opinion.,concur
2023-0637_New-Hampshire_2025/03/18,"BASSETT, J.",Concurred with majority opinion.,concur
2023-0637_New-Hampshire_2025/03/18,"DONOVAN, J.",Concurred with majority opinion.,concur
2024-0121_New-Hampshire_2025/07/01,"BASSETT, J.","Concurred, argued that the State's base adequacy aid is unconstitutional but the trial court's immediate payment directive violated the separation of powers.",concur
2024-0121_New-Hampshire_2025/07/01,"COUNTWAY, J.","Dissented, argued that the trial court erred by allowing a facial challenge to only one subparagraph of the statute and by establishing a minimum threshold, thereby invading the legislature's policy-making function. Concurred with reversing the immediate payment directive.",dissent
2024-0121_New-Hampshire_2025/07/01,"DONOVAN, J.","Dissented, argued that the trial court erred by allowing a facial challenge to only one subparagraph of the statute and by establishing a minimum threshold, thereby invading the legislature's policy-making function. Concurred with reversing the immediate payment directive.",dissent
2024-0121_New-Hampshire_2025/07/01,"NADEAU, J.","Concurred, argued that the State's base adequacy aid is unconstitutional and the immediate payment directive was proper and necessary given the legislature's long-standing failure to fund adequate education.",concur
2024-0121_New-Hampshire_2025/07/01,"ABRAMSON, J.","Concurred, argued that the State's base adequacy aid is unconstitutional and the immediate payment directive was proper and necessary given the legislature's long-standing failure to fund adequate education.",concur
2023-0663_New-Hampshire_2025/01/10,"MACDONALD, C.J.",Concurred with majority opinion.,concur
2023-0663_New-Hampshire_2025/01/10,"BASSETT, J.",Concurred with majority opinion.,concur
2023-0663_New-Hampshire_2025/01/10,"DONOVAN, J.",Concurred with majority opinion.,concur
2023-0663_New-Hampshire_2025/01/10,"COUNTWAY, J.",Concurred with majority opinion.,concur
2023-0278_New-Hampshire_2024/12/24,"BASSETT, J.","Concurred, argued that Port City lacks standing as its leasehold interests are not tantamount to fee ownership, and denying standing does not violate due process rights.",concur
2023-0278_New-Hampshire_2024/12/24,"MACDONALD, C.J.",Concurred with majority opinion.,concur
2023-0278_New-Hampshire_2024/12/24,"DONOVAN, J.",Concurred with majority opinion.,concur
2023-0278_New-Hampshire_2024/12/24,"COUNTWAY, J.",Concurred with majority opinion.,concur
2023-0278_New-Hampshire_2024/12/24,"HANTZ MARCONI, J.",Did not participate in the final vote.,other
2023-0097_New-Hampshire_2024/09/12,"MACDONALD, C.J.","Concurred, finding no constitutional right to hand-counted votes, affirming dismissal of that claim, but remanding the equal protection claim for further proceedings, and dismissing other claims for lack of standing.",concur
2023-0097_New-Hampshire_2024/09/12,"BASSETT, J.",Concurred with majority opinion.,concur
2023-0097_New-Hampshire_2024/09/12,"DONOVAN, J.",Concurred with majority opinion.,concur
2023-0097_New-Hampshire_2024/09/12,"HANTZ MARCONI, J.",Did not participate in the final vote.,other
2024-C-00055_New-Hampshire_2024/07/11,"MACDONALD, C.J.",Concurred with majority opinion.,concur
2024-C-00055_New-Hampshire_2024/07/11,"BASSETT, J.",Concurred with majority opinion.,concur
2024-C-00055_New-Hampshire_2024/07/11,"DONOVAN, J.",Concurred with majority opinion.,concur
2024-C-00055_New-Hampshire_2024/07/11,"HANTZ MARCONI, J.",Disqualified herself and did not participate in further review of the case.,other
2022-0634_New-Hampshire_2025/01/22,"MACDONALD, C.J.","Concurred, arguing that the New Hampshire Constitution unambiguously requires face-to-face confrontation, leading to reversal of the second-degree assault conviction, but affirmed the first-degree assault conviction due to harmless error.",concur
2022-0634_New-Hampshire_2025/01/22,"BASSETT, J.",Concurred with majority opinion,concur
2022-0634_New-Hampshire_2025/01/22,"DONOVAN, J.",Concurred with majority opinion,concur
2022-0634_New-Hampshire_2025/01/22,"COUNTWAY, J.",Concurred with majority opinion,concur
2022-0537_New-Hampshire_2024/08/30,"MACDONALD, C.J.","Concurred, argued that the policy does not infringe upon a fundamental parenting right and survives rational basis review.",concur
2022-0537_New-Hampshire_2024/08/30,"BASSETT, J.",Concurred with majority opinion.,concur
2022-0537_New-Hampshire_2024/08/30,"DONOVAN, J.",Concurred with majority opinion.,concur
2022-0537_New-Hampshire_2024/08/30,"COUNTWAY, J.","Dissented, argued that strict scrutiny should be applied because the policy interferes with a parent's fundamental right to parent by concealing a child's gender identity from parents.",dissent
