,case_id,docket_no,title,state,date,type,description,plaintiff_argument,defendant_argument,decision_outcome,decision_winner,environment,consumers,reproductive_rights,democratic_norms,free_press,public_health,separation_church_state,voting_access,public_education,free_speech,privacy,worker_rights
0,S-18210-_Alaska_2022/10/21,S-18210-,Kohlhaas v. State,Alaska,2022/10/21,Voting Rights and Elections,"Whether the voter-approved Initiative 2, which established a nonpartisan open primary and ranked-choice voting, violates political parties' associational rights, the Alaska Constitution's provisions for electing the lieutenant governor or governor, or unconstitutionally burdens the right to vote.","Kohlhaas argued that Initiative 2's nonpartisan primary and ranked-choice voting weakened political parties' associational rights, improperly paired governor/lieutenant governor candidates, and unconstitutionally burdened voters' rights.","The State and Alaskans for Better Elections argued that Initiative 2 did not violate constitutional rights, decoupled state elections from party nominations, adhered to lieutenant governor election requirements, and imposed only minimal burdens on voting rights, while advancing important regulatory interests.","The court affirmed the superior court's judgment, upholding the constitutionality of Initiative 2's election reforms, including the nonpartisan open primary and ranked-choice voting.",defendant,NA,NA,NA,protected,NA,NA,NA,protected,NA,protected,NA,NA
1,"S-19083,-S-19113_Alaska_2025/03/28","S-19083,-S-19113",State Department of Education & Early Development v. Alexander,Alaska,2025/03/28,Criminal Law,"Whether Alaska statutes allowing public funds for correspondence study allotments are facially unconstitutional because they permit the use of funds for private, including religious, educational institutions, or if they have a plainly legitimate sweep with many constitutional applications.","The plaintiff argued that the statutes were facially unconstitutional or unconstitutional as applied to pay for private school tuition, violating the Alaska Constitution's prohibition against direct benefits to religious and private educational institutions, and that the Legislature intended an unconstitutional purpose.","The defendant argued that the statutes were not facially unconstitutional as they have many valid uses for allotment funds, and that any as-applied challenge to private school tuition funding could not proceed without joining the local school districts that approve such spending.","The Supreme Court reversed the superior court's judgment that the statutes were facially unconstitutional and remanded the case for further proceedings, declining to rule on whether using allotment funds for private school tuition is constitutional at this stage.",defendant,NA,NA,NA,NA,NA,NA,infringed,NA,protected,NA,NA,NA
2,S-18814_Alaska_2025/01/17,S-18814,Valoaga v. State,Alaska,2025/01/17,Criminal Law,"Whether the Alaska Department of Corrections' use of a preponderance of evidence standard in prison disciplinary proceedings is constitutional, and whether its drug testing policy violates due process by not offering a saliva test as an alternative.","The plaintiff argued that DOC must prove violations by clear and convincing evidence, not preponderance of evidence, and that DOC's failure to offer a saliva test in lieu of a urine test violated his due process rights.",The defendant argued that the Alaska Constitution permits the use of a preponderance of the evidence standard in prison disciplinary proceedings and that the plaintiff's saliva test argument was not preserved for review.,"The court affirmed the superior court's decision, ruling that the preponderance of evidence standard is constitutional in prison disciplinary proceedings and that the plaintiff's argument regarding saliva tests was waived.",defendant,NA,NA,NA,protected,NA,NA,NA,NA,NA,NA,NA,NA
3,S-18189_Alaska_2024/05/10,S-18189,Alaska Trappers Association v. City of Valdez,Alaska,2024/05/10,Government Structure,"Whether the City of Valdez's ordinance limiting animal trapping in certain areas is invalid due to state law preemption, or if it is a valid exercise of municipal authority to regulate land use and public safety.","The Alaska Trappers Association argued that the Valdez ordinance is preempted by state law, infringes on state-vested authority over fish and game management, and violates the Alaska Constitution's article VIII by not applying the sustained yield principle.","The City of Valdez argued that, as a home rule municipality, it has constitutional and statutory authority to regulate land use and public safety, and its ordinance is not expressly or impliedly prohibited by state law, as its impact on natural resource management is incidental.","The Alaska Supreme Court affirmed the superior court's order granting summary judgment to the City of Valdez, ruling that the ordinance is a valid exercise of municipal authority and not preempted by state law.",defendant,NA,NA,NA,protected,NA,protected,NA,NA,NA,NA,NA,NA
4,S-17910_Alaska_2024/03/08,S-17910,State v. McKelvey,Alaska,2024/03/08,Civil Rights,"Whether police must obtain a warrant before using an airplane with a zoom lens to photograph a person's private yard, specifically their home's curtilage.","The State argued that no warrant was needed because small airplane travel is common in Alaska, any passenger could observe a yard, and the 'open view' doctrine should apply to aerial observations, especially with commercially available technology.",McKelvey argued that the warrantless aerial observation of his home with a telephoto lens constituted an illegal search under the Alaska Constitution.,"The court affirmed the court of appeals' decision, ruling that the Alaska Constitution requires law enforcement officials to obtain a warrant before using aircraft and vision-enhancing technology to observe a home's curtilage that is protected from ground-level observation.",defendant,NA,NA,NA,protected,NA,NA,NA,NA,NA,NA,protected,NA
5,S-18619_Alaska_2024/03/01,S-18619,Vazquez v. State,Alaska,2024/03/01,Voting Rights and Elections,Whether Representative Jennifer Armstrong met the Alaska Constitution's three-year state residency requirement to be eligible to serve in the legislature.,"The plaintiff, Liz Vazquez, argued that Representative Armstrong did not establish Alaska residency until at least June 7, 2019, which would make her ineligible for office by the June 1, 2022 filing deadline.","The defendant, Jennie Armstrong, maintained that she became an Alaska resident on May 20, 2019, making her eligible to serve in the legislature.",The court affirmed the superior court's decision that Representative Armstrong met the constitutional and statutory residency requirements and is eligible to serve in the legislature.,defendant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,S-18481_Alaska_2024/02/09,S-18481,"Native Village of Kwinhagak v. State, Department of Health & Social Services",Alaska,2024/02/09,Civil Due Process,"Whether the Office of Children's Services (OCS) must follow civil commitment statutes or provide timely notice and hearing when admitting a child in its custody to a psychiatric hospital, and whether Mira's prolonged hospitalization without a prompt hearing violated her constitutional due process rights.","The Tribe argued that OCS was required to follow the civil commitment statutes with their strict timelines and procedural safeguards when hospitalizing a child for psychiatric care, and that Mira's prolonged hospitalization without a prompt hearing violated her constitutional due process rights.","OCS argued that its authority under CINA statutes allowed it to admit children in its custody for psychiatric care without following civil commitment statutes, and that the existing Hooper Bay injunction, which required a hearing within 30 days, satisfied due process.","The court rejected the Tribe's argument that OCS must follow civil commitment statutes for Mira's hospitalization but found that Mira's constitutional right to procedural due process was violated by the lack of timely notice and hearing, reversing the superior court's order.",plaintiff,NA,NA,NA,NA,NA,protected,NA,NA,NA,NA,protected,NA
7,S-18114_Alaska_2023/12/29,S-18114,Sitka Tribe of Alaska v. State,Alaska,2023/12/29,Government Structure,"Whether the Alaska Constitution requires the Department of Fish and Game to provide all relevant information to the Board of Fisheries for resource management, whether the Sitka Tribe of Alaska faced irreparable harm warranting a preliminary injunction, and whether the Tribe was the prevailing party for purposes of awarding attorney's fees.","The Alaska Constitution's sustained yield clause mandates the Department to provide all relevant information to the Board, the Tribe faced irreparable harm needing a preliminary injunction, and the Tribe was the prevailing party for attorney's fees due to its statutory victory.","There is no constitutional duty to provide all relevant information beyond existing doctrines like 'hard look,' the Tribe did not demonstrate irreparable harm, and the Tribe was not the sole prevailing party for attorney's fees due to the constitutional claim loss.","The Supreme Court affirmed the superior court's decisions, ruling that there is no constitutional duty for the Department to provide all relevant information to the Board, that the Tribe did not demonstrate irreparable harm for a preliminary injunction, and that neither party was the sole prevailing party for attorney's fees.",defendant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,S-18292_Alaska_2023/05/26,S-18292,Taylor v. Alaska Legislative Affairs Agency,Alaska,2023/05/26,Government Structure,"Whether the Alaska Constitution bars a lawsuit brought by the Attorney General against the Legislative Affairs Agency to resolve a dispute between executive and legislative branches over an appropriations bill's effective date, where the plaintiff argues for common law authority and challenging non-legislative acts, and the defendant argues such a suit is barred as an action brought in the name of the State against the legislature.","Attorney General Taylor argued that he has common law authority to sue on the State's behalf, distinct from the governor's constitutional authority, and that his suit targeted non-legislative administrative acts of the Legislative Affairs Agency, not legislative acts, thus not violating Article III, Section 16.","The Legislative Affairs Agency contended that Article III, Section 16 of the Alaska Constitution explicitly bars the governor from suing the legislature, and in substance, the Attorney General's suit, brought in the name of the State, was an action against the legislature, aiming to influence legislative policy, which is prohibited.","The court affirmed the superior court's decision, ruling that Attorney General Taylor's lawsuit against the Legislative Affairs Agency was unconstitutional under Article III, Section 16 of the Alaska Constitution, as it was an action brought in the name of the State against the legislature.",defendant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,S-17772_Alaska_2023/05/26,S-17772,"Williams Alaska Petroleum, Inc. v. State",Alaska,2023/05/26,Environment,"Whether Williams Alaska Petroleum, Inc. is strictly liable for environmental contamination by sulfolane and PFAS and the associated costs and damages, with the State and Flint Hills arguing for Williams's liability and Williams denying liability while asserting errors in the lower court's findings and constitutional violations.","The State and Flint Hills argue that Williams is strictly liable for hazardous substance releases (sulfolane and PFAS) and responsible for associated damages, response costs, and remediation efforts.","Williams argues that sulfolane was not properly defined as a hazardous substance, the awarded damages and response costs were erroneous, their due process rights were violated, and the decision constituted an unconstitutional taking.","The court affirmed most of the superior court's findings, holding Williams strictly liable for sulfolane and PFAS contamination, awarding damages and response costs to the State and Flint Hills, and upholding contribution awards, but remanded the injunctive relief for more specificity.",plaintiff,protected,protected,NA,NA,NA,protected,NA,NA,NA,NA,NA,NA
10,"S-17389,-S-17616_Alaska_2023/04/28","S-17389,-S-17616",In re Abigail B.,Alaska,2023/04/28,Civil Due Process,Whether the State's prolonged pre-evaluation detentions of individuals awaiting mental health evaluations violated their substantive due process rights.,Abigail B. and Jethro S. argued that their lengthy pre-evaluation detentions violated their substantive due process rights because the detentions' nature and duration were not reasonably related to the sole purpose of immediate transportation for evaluation.,"The State argued for broader purposes of pre-evaluation detention, including protecting individuals and society from harm, and contended that the detentions were reasonably related to these broader purposes.",The court vacated the superior court orders that had authorized the State's continued pre-evaluation detention of Abigail B. and Jethro S. following their review hearings.,plaintiff,NA,NA,NA,NA,NA,protected,NA,NA,NA,NA,protected,NA
11,"18332,-18419,-7646_Alaska_2023/04/21","18332,-18419,-7646",In re 2021 Redistricting Cases,Alaska,2023/04/21,Voting Rights and Elections,"Whether the Alaska Redistricting Board's 2021 legislative redistricting plans (both initial and amended) complied with the Alaska Constitution's requirements for district formation, specifically regarding gerrymandering, socioeconomic integration, compactness, and public hearing procedures.","The challengers argued that the Board's plans constituted unconstitutional political gerrymandering, violated due process and public hearing requirements, failed to adequately consider socioeconomic integration and compactness for certain House districts (e.g., Cantwell Appendage, Valdez/Mat-Su pairing), and resulted in overpopulated districts.","The Alaska Redistricting Board contended that its plans met constitutional requirements, followed the Hickel process for redistricting, and did not engage in unconstitutional gerrymandering. They argued that the superior court erred in its 'hard look' analysis, its interpretation of public hearing requirements, and its findings regarding socioeconomic integration and compactness for the challenged districts.","The Alaska Supreme Court affirmed the superior court's finding that the Senate districts (K, E, L) constituted unconstitutional political gerrymandering, reversed the 'hard look' invalidation of House Districts 3 and 4, reversed the finding that House District 36 was constitutional due to the 'Cantwell Appendage,' affirmed House Districts 29 and 30, and affirmed the order to implement Option 2 as an interim plan while remanding for the Board to justify it as a final plan.",plaintiff,NA,NA,NA,protected,NA,NA,NA,protected,NA,NA,NA,NA
