case_id,docket_no,title,state,date,type,opinion_link,description,plaintiff_argument,defendant_argument,decision_outcome,decision_winner,environment,consumers,reproductive_rights,democratic_norms,free_press,public_health,separation_church_state,voting_access,public_education,free_speech,privacy,worker_rights
"S-25-0203,-S-25-0204_Wyoming_2026/05/14","S-25-0203, S-25-0204",Degenfelder v. Wyoming Educational Association; Leck v. Wyoming Educational Association,Wyoming,2026-05-14,Education,https://statecourtreport.org/sites/default/files/2026-05/supreme_court_of_wyoming-opinion.pdf,"Whether the Steamboat Legacy Scholarship Act, which provides education savings accounts for private school expenses, is constitutional and whether a preliminary injunction preventing its implementation should be granted.","The plaintiffs argued the Steamboat Legacy Scholarship Act is unconstitutional, violating the State's educational obligations, prohibitions on private appropriations, and state aid, and sought a preliminary injunction due to irreparable injury to public education and children's rights.","The defendants (State and Intervenors) argued the Act is constitutional, that the district court lacked jurisdiction, and that the plaintiffs failed to demonstrate irreparable harm or a likelihood of success on the merits, thus opposing the preliminary injunction.",The Supreme Court reversed the district court's order granting the preliminary injunction and remanded the case for further proceedings.,defendant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S-24-0225_Wyoming_2025/06/18,S-24-0225,Bain v. City of Cheyenne,Wyoming,2025-06-18,Government Structure,https://statecourtreport.org/sites/default/files/fastcase/converted/Bain%20v.%20City%20of%20Cheyenne%2C%20Wyo.%20S-24-0225.pdf,"Whether Wyo. Stat. Ann. § 1-39-118(a)(i), which limits governmental entity liability to $250,000, violates Article 10, § 4(a) of the Wyoming Constitution by acting as an unconstitutional limitation on damages, or if it is a constitutional limitation on the waiver of governmental immunity.","The plaintiff, Mr. Bain, argued that the $250,000 liability limit in Wyo. Stat. Ann. § 1-39-118(a)(i) is an unconstitutional limitation on damages, violating Article 10, § 4(a) of the Wyoming Constitution.","The defendant, the City of Cheyenne, argued that the $250,000 liability limit is a constitutional limitation on the waiver of governmental immunity under the WGCA, not an unconstitutional limitation on damages.","The court affirmed the district court's decision, ruling that Wyo. Stat. Ann. § 1-39-118(a)(i) is a constitutional limitation on the waiver of governmental immunity and does not violate Article 10, § 4(a) of the Wyoming Constitution.",defendant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S-24-0326_Wyoming_2026/01/06,S-24-0326,Johnson v. Wyoming,Wyoming,2026-01-06,Reproductive Rights,https://statecourtreport.org/sites/default/files/2026-01/supreme_court_of_wyoming-opinion-1.6.2026.pdf,"Whether Wyoming laws restricting abortions unjustifiably limit a woman's state constitutional right to make her own health care decisions, with plaintiffs arguing the laws violate the Wyoming Constitution and the State arguing the laws are constitutional.","The plaintiffs argued that the Wyoming laws restricting abortions violate the Wyoming Constitution by unduly infringing on a woman's fundamental right to make health care decisions, and that these laws do not survive strict scrutiny.","The State argued that abortion is not health care, the decision to have an abortion is not a woman's own health care decision, Article 1, Section 38 does not confer a fundamental right, and strict scrutiny should not apply to the abortion laws.","The Wyoming Supreme Court affirmed the trial court's decision, ruling that the 2023 abortion laws are unconstitutional because the State failed to prove they were narrowly tailored to serve a compelling government interest without unduly infringing on a woman's fundamental right to make health care decisions.",plaintiff,NA,NA,protected,NA,NA,protected,NA,NA,NA,NA,NA,NA
S-24-0323_Wyoming_2025/10/21,S-24-0323,Hicks v. State,Wyoming,2025-10-21,Criminal Law,https://statecourtreport.org/sites/default/files/2025-10/supreme_court_of_wyoming-opinion.pdf,"Whether mandatory life without parole sentences for emerging adults, specifically Christopher Robert Hicks, are unconstitutional under the Wyoming Constitution's cruel or unusual punishment, equal protection, and penal code provisions, or the Eighth Amendment.","The State argued that Mr. Hicks' constitutional claims are barred by res judicata and lack jurisdiction, and that his sentences are constitutional because Miller v. Alabama only applies to those under 18, and the Wyoming Constitution does not provide broader protections for emerging adults.","Mr. Hicks argued that mandatory life without parole sentences for emerging adults are unconstitutional under the Eighth Amendment and Wyoming Constitution due to new science on brain development, and violate equal protection by treating emerging adults differently from juveniles, thus requiring a new sentencing hearing.","The court affirmed the district court's denial of Mr. Hicks' motion to correct his sentences, finding no constitutional violations.",plaintiff,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S-24-0157_Wyoming_2025/03/11,S-24-0157,Boline v. JKC Trucking,Wyoming,2025-03-11,Voting Rights and Elections,https://statecourtreport.org/sites/default/files/fastcase/converted/Boline%20v.%20JKC%20Trucking%2C%20Wyo.%20S-24-0157.pdf,"Whether the district court abused its discretion by sanctioning Ms. Boline and dismissing her case with prejudice for violating a motion in limine, and whether this violated her right to open access to the courts, with Ms. Boline arguing it was an abuse of discretion and a violation of her constitutional rights, and the defendants arguing the sanctions and dismissal were justified due to her intentional misconduct.","Ms. Boline argued the district court abused its discretion by imposing an unreasonable monetary sanction without fully considering her mental health and financial situation, and that dismissing her case with prejudice for non-payment constituted ""double sanctions"" and violated her constitutional right to open access to the courts.","JKC Trucking argued that the district court acted within its discretion by sanctioning Ms. Boline and dismissing her case with prejudice due to her intentional violation of a pretrial order, which resulted in a mistrial, and that the awarded fees and costs were reasonable.","The Supreme Court affirmed the district court's decision, finding no abuse of discretion in sanctioning Ms. Boline, dismissing her case with prejudice, and entering a monetary judgment against her for $62,074.95, and that her right to access the courts was not violated.",defendant,NA,NA,NA,protected,NA,NA,NA,NA,NA,NA,NA,NA
2024-WY-16_Wyoming_2024/02/02,2024 WY 16,Rodriguez-Williams v. Johnson,Wyoming,2024-02-02,Reproductive Rights,https://statecourtreport.org/sites/default/files/fastcase/converted/Rodriguez-Williams%20v.%20Johnson%2C%20Wyo.%20S-23-0196.pdf,"Whether state representatives and a pro-life organization have a significant protectable interest to intervene as of right or permissively in a lawsuit challenging the constitutionality of Wyoming laws restricting abortion, with the proposed intervenors arguing for intervention to defend the laws and the plaintiffs opposing it.","The plaintiffs challenged the constitutionality of two Wyoming laws restricting abortion and sought a permanent injunction, and they opposed the motion by the proposed intervenors to intervene in the lawsuit.","The State Defendants did not oppose the proposed intervenors' intervention but objected to their desire for an evidentiary hearing or trial, maintaining that the constitutional challenge presented purely legal questions.",The court affirmed the district court's denial of the motion by the proposed intervenors to intervene in a lawsuit challenging the constitutionality of two Wyoming laws restricting abortion.,plaintiff,NA,NA,NA,protected,NA,NA,NA,NA,NA,NA,NA,NA
S-23-0062_Wyoming_2024/01/31,S-23-0062,City of Laramie v. University of Wyoming,Wyoming,2024-01-31,Government Structure,https://statecourtreport.org/sites/default/files/fastcase/converted/City%20of%20Laramie%20v.%20Univ.%20of%20Wyo.%2C%20Wyo.%20S-23-0062.pdf,"Whether the University of Wyoming is immune from a 1965 deed covenant, whether Wyoming Statute § 21-17-126 is constitutional as a special law or an impermissible delegation of municipal power, and whether the City of Laramie can enforce its municipal code against the University regarding water well operations.","The City argued that the University was not immune from the 1965 covenant because its water well operation was a proprietary function, that Wyoming Statute § 21-17-126 is unconstitutional as a special law and an impermissible delegation of municipal power, and that the City had the right to enforce its municipal ordinance against the University.","The University argued it had sovereign immunity from the 1965 covenant because its property acquisition and water well operations were governmental functions, that Wyoming Statute § 21-17-126 is constitutional, and that the City's ordinance was not enforceable against it due to the state statute.","The court affirmed the district court's decision, ruling that the University has sovereign immunity from breach of contract actions to enforce the 1965 Covenant, Wyoming Statute § 21-17-126 is constitutional, and the City cannot enforce its municipal code against the University.",defendant,NA,NA,NA,NA,NA,NA,NA,NA,protected,NA,NA,NA
"S-22-0250,-S-22-0282_Wyoming_2023/06/07","S-22-0250, S-22-0282",Joseph v. State,Wyoming,2023-06-07,Criminal Law,https://statecourtreport.org/sites/default/files/fastcase/converted/Joseph%20v.%20State%2C%20Wyo.%20S-22-0250.pdf,Whether the Wyoming Constitution requires that an exterior canine sniff of a vehicle be supported by probable cause.,"The State argued that the Wyoming Constitution does not require probable cause for an exterior canine sniff of a vehicle, consistent with federal precedent that such sniffs are not considered searches and do not implicate legitimate privacy concerns.",The appellants argued that the Wyoming Constitution provides greater protections than the Fourth Amendment and therefore requires probable cause to support an exterior canine sniff of a vehicle.,"The Supreme Court affirmed the lower courts' denials of the motions to suppress, ruling that the Wyoming Constitution does not require probable cause for an exterior canine sniff of a vehicle.",plaintiff,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S-22-0049_Wyoming_2022/10/25,S-22-0049,Villafana v. State,Wyoming,2022-10-25,Criminal Law,https://statecourtreport.org/sites/default/files/fastcase/converted/Villafana%20v.%20State%2C%20Wyo.%20S-22-0049.pdf,"Whether the district court abused its discretion in sentencing Daniel Ivan Villafana by refusing to consider certain mitigating evidence, imposing consecutive prison sentences, and if these sentences constitute cruel or unusual punishment.","The State argued that the district court did not abuse its discretion in sentencing, as the parents' alleged conduct was not a mitigating circumstance, probation was inappropriate given the nature of the sexual abuse, and the sentences were not cruel or unusual.","Mr. Villafana argued the district court abused its discretion by refusing to hear evidence that KK's parents condoned the abuse and extorted him, that consecutive prison sentences were inappropriate given his 'low risk' status, and that his sentences constituted cruel or unusual punishment.","The Supreme Court affirmed the district court's decision, finding no abuse of discretion in sentencing and that the sentences were not cruel or unusual punishment.",plaintiff,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S-21-0290_Wyoming_2022/10/19,S-21-0290,Vlahos v. State,Wyoming,2022-10-19,Criminal Law,https://statecourtreport.org/sites/default/files/fastcase/converted/Vlahos%20v.%20State%2C%20Wyo.%20S-21-0290.pdf,Whether Eduardo Vlahos was deprived of his right to a speedy trial and whether the district court abused its discretion by not replacing a juror who inadvertently saw a video about the trial on social media.,"The State argued that Vlahos's speedy trial right was not violated due to excusable delays (COVID-19, competency evaluations) and his lack of vigorous assertion or demonstrated prejudice, and that Vlahos waived his claim regarding the juror by not objecting.","Vlahos argued his speedy trial right was violated by excessive delays outside his control and that he suffered prejudice, and that the district court erred by not removing a juror who was exposed to external information about the trial.","The court affirmed Eduardo Vlahos's conviction for felony shoplifting, finding no violation of his right to a speedy trial and that he waived his claim regarding the juror.",plaintiff,NA,NA,NA,NA,NA,NA,NA,NA,NA,protected,NA,NA
