case_id,docket_no,title,state,date,type,opinion_link,description,plaintiff_argument,defendant_argument,decision_outcome,decision_winner,environment,consumers,reproductive_rights,democratic_norms,free_press,public_health,separation_church_state,voting_access,public_education,free_speech,privacy,worker_rights
85935_Nevada_2024/10/31,85935,Nevada Policy Research Institute v. Miller,Nevada,2024-10-31,Government Structure,https://statecourtreport.org/sites/default/files/fastcase/converted/Nev.%20Policy%20Research%20Inst.%20v.%20Miller%2C%20Nev.%2085935.pdf,Whether dual employment of state legislators in the Nevada State Assembly or Senate with state higher education institutions or local government entities violates the constitutional separation of powers.,"The Nevada Policy Research Institute (NPRI) argued that dual service by legislators in state or local government positions violates the constitutional separation of powers, as these positions are part of or exercise functions appertaining to the executive department.","The respondents (legislators and the Legislature) argued that the separation of powers only applies to public officers exercising sovereign functions, not public employees, and does not bar employment with local government.","The court affirmed the district court's dismissal, ruling that the dual employments of the respondent legislators with the Nevada System of Higher Education or local government entities do not violate the constitutional separation of powers.",defendant,NA,NA,NA,protected,NA,NA,NA,NA,NA,NA,NA,NA
85693_Nevada_2024/10/17,85693,"Mass Land Acquisition, LLC v. The First Judicial District Court of the State",Nevada,2024-10-17,Economic and Labor Rights,https://statecourtreport.org/sites/default/files/2024-11/supreme_court_of_nevada-opinion.pdf,"Whether a private utility's taking of private property for a natural gas pipeline constitutes a 'public use' under the Nevada Constitution, and whether the property owner is entitled to a jury determination on that public use.","Mass Land argued that NV Energy, as a private entity, cannot establish 'public use' for eminent domain under the Nevada Constitution's prohibition against private-to-private property transfers, and that it was entitled to a jury determination on public use.","NV Energy argued that as a regulated public utility with delegated eminent domain power, it acts as the government for public use takings, and the constitutional prohibition applies only to subsequent transfers to another private party, not the initial taking for a statutorily defined public use, and no jury was needed due to lack of factual dispute.","The court denied Mass Land Acquisition, LLC's petition for extraordinary writ relief, upholding the district court's orders.",defendant,NA,protected,NA,NA,NA,protected,NA,NA,NA,NA,NA,NA
88307_Nevada_2024/05/24,88307,Fleischmann v. Aguilar,Nevada,2024-05-24,Voting Rights and Elections,https://statecourtreport.org/sites/default/files/2024-05/fleischmann-order_24-18197.pdf,Whether the district court erred in denying Jennifer Fleischmann's request to prevent a voter identification ballot initiative from being placed on the ballot.,The plaintiff argued that the ballot initiative should not be placed on the ballot because it includes an unfunded mandate and its description of effect is legally insufficient.,"The defendant argued that the ballot initiative does not include an unfunded mandate and its description of effect is legally sufficient, thus it should be placed on the ballot.","The court affirmed the district court's order, denying the plaintiff's request for declaratory and injunctive relief, thereby allowing the ballot initiative to proceed.",defendant,NA,NA,NA,NA,NA,NA,NA,infringed,NA,NA,NA,NA
83999_Nevada_2024/04/18,83999,Sisolak v. Polymer80,Nevada,2024-04-18,Civil Due Process,https://statecourtreport.org/sites/default/files/2024-05/nv-sisolak-poly-opinion-4.18.24.pdf,"Whether the Nevada statutes regulating unfinished firearm frames or receivers (so-called ""ghost guns"") are unconstitutionally vague.","The appellants (Sisolak, et al.) argued that the challenged statutes are not unconstitutionally vague, provide fair notice of what is prohibited, and use terms commonly understood in the industry with ordinary dictionary definitions.","The respondent (Polymer80, Inc.) argued that the statutes are unconstitutionally vague because key terms are undefined, they do not clarify when raw material becomes a prohibited item, and they lack a scienter requirement, leading to arbitrary and discriminatory enforcement.","The court reversed the district court's order, concluding that the statutes regulating unfinished firearms are not unconstitutionally vague and are enforceable.",plaintiff,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
87681_Nevada_2024/04/18,87681,Nevadans For Reproductive Freedom v. Washington et al.,Nevada,2024-04-18,Reproductive Rights,https://statecourtreport.org/sites/default/files/2024-04/nevadans-for-repro-freedom.pdf,"Whether an initiative petition to establish a constitutional right to reproductive freedom in Nevada violates the state's single-subject rule, has a misleading description of effect, or requires an unfunded expenditure of money, thereby preventing its placement on the ballot.","The plaintiff, Nevadans for Reproductive Freedom, argued that the initiative petition complies with all legal requirements, containing a single subject, a legally sufficient description of effect, and not requiring an expenditure of money.","The defendants, Donna Washington and Coalition for Parents and Children, argued that the initiative petition violated the single-subject requirement, had a misleading description of effect, and required an expenditure of money without providing the necessary funding.","The court reversed the district court's order, thereby allowing the initiative petition to be placed on the 2024 ballot.",plaintiff,NA,NA,protected,protected,NA,NA,NA,protected,NA,NA,protected,NA
86035_Nevada_2024/03/28,86035,I.S. v. State,Nevada,2024-03-28,Government Structure,https://statecourtreport.org/sites/default/files/fastcase/converted/I.S.%20v.%20State%20%28In%20re%20I.A%29%2C%20Nev.%2086035.pdf,Whether NRS 62C.200(1)(b)'s requirement for prosecutorial consent before a juvenile court can dismiss a petition and refer a juvenile to informal supervision violates the separation of powers doctrine.,"The plaintiff, I.S., argued that the prosecutorial consent requirement unconstitutionally infringes on the juvenile court's sentencing discretion, thereby violating the separation of powers between the executive and judicial branches.","The defendant, the State of Nevada, argued that the statute does not create a separation of powers issue because the juvenile court's authority is statutory, not constitutional, and the dismissal/referral to informal supervision is not a sentencing decision.","The court affirmed the district court's order, concluding that the prosecutorial-consent requirement for informal supervision does not violate the separation of powers doctrine.",defendant,NA,NA,NA,not infringed,NA,NA,NA,NA,NA,NA,NA,NA
"79658,-80113,-80968_Nevada_2023/08/17","79658, 80113, 80968",Valley Health System v. Murray,Nevada,2023-08-17,Government Structure,https://statecourtreport.org/sites/default/files/fastcase/converted/Valley%20Health%20Sys.%20v.%20Murray%2C%20Nev.%2079658.pdf,"Whether the Nevada Constitution grants the governor sole authority to designate temporary replacement justices for disqualified supreme court justices, or if the chief justice also has concurrent authority to assign senior justices for temporary duty.","Centennial Hills argued that article 6, section 4(2) of the Nevada Constitution grants the governor sole authority to designate substitute justices from lower courts when supreme court justices are disqualified, and this specific provision trumps the chief justice's general authority under section 19(1).","Dwayne Anthony Murray argued that the chief justice's authority under article 6, section 19(1) to assign senior justices for temporary duty is concurrent, complementary, and compatible with the governor's authority under section 4(2).","The court overruled Centennial Hills' objection and denied its motion to designate replacement justices, concluding that both the governor and the chief justice have constitutional authority to designate temporary substitutes for disqualified justices.",defendant,NA,NA,NA,infringed,NA,NA,NA,NA,NA,NA,NA,NA
81513_Nevada_2022/12/29,81513,Mack v. Williams,Nevada,2022-12-29,Criminal Law,https://statecourtreport.org/sites/default/files/fastcase/converted/Mack%20v.%20Williams%2C%20Nev.%2081513.pdf,"Whether a private right of action for monetary damages exists to vindicate violations of search-and-seizure rights guaranteed under the Nevada Constitution, and whether a qualified-immunity defense applies to such an action.",Mack argued that a private right of action exists for violations of search-and-seizure rights under the Nevada Constitution and that qualified immunity is not a defense.,"The NDOC parties argued that no private right of action exists under the Nevada Constitution for monetary relief, and if it does, qualified immunity should apply as a defense.","The court ruled that a private right of action for money damages exists to vindicate violations of search-and-seizure rights under the Nevada Constitution, and that a qualified-immunity defense does not apply to such an action.",plaintiff,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,protected,NA
85507_Nevada_2022/10/21,85507,ACLU of Nevada v. The County of Nye,Nevada,2022-10-21,Voting Rights and Elections,https://statecourtreport.org/sites/default/files/fastcase/converted/Am.%20Civil%20Liberties%20Union%20of%20Nev.%20v.%20The%20Cnty.%20of%20Nye%2C%20Nev.%2085507.pdf,"Whether Nye County's proposed election procedures, including livestreaming hand-counts, limiting ADA touchscreen use, and requiring specific identification for signature verification, comply with state and federal election laws.","The petitioners argued that Nye County's proposed procedures for orally announcing ballot selections during hand-counts, limiting touchscreen use to those with 'special needs,' and requiring identification for signature verification violate constitutional, statutory, and federal election laws.",The respondents contended that the presentation of election procedures was a general overview and that the petitioners were speculating and distorting information to allege nonexistent election law violations.,"The court granted in part the petition for a writ of mandamus, ordering Nye County to cease livestreaming vote counts before polls close, ensure observers do not prematurely release results, and provide all statutory methods for voter identity verification; the court denied the petition regarding the ADA touchscreen issue.",other,NA,NA,NA,protected,NA,NA,NA,protected,NA,NA,protected,NA
84736_Nevada_2022/06/28,84736,Education Freedom PAC v. Reid,Nevada,2022-06-28,Voting Rights and Elections,https://statecourtreport.org/sites/default/files/fastcase/converted/Educ.%20Freedom%20PAC%20v.%20Reid%2C%20Nev.%2084736.pdf,"Whether an initiative petition proposing a constitutional amendment for education freedom accounts should be enjoined from circulation and ballot placement, with the plaintiff arguing it should be allowed as it complies with legal requirements, and the defendant arguing it should not be allowed due to non-compliance with constitutional funding, misleading description, and impairment of legislative function.","The Education Freedom PAC (EFP) argued its initiative complied with constitutional requirements, its description of effect was adequate, and it did not improperly direct the Legislature. EFP also contended the district court lacked authority due to a delayed hearing.","Rory Reid, Beverly Rogers, and the Secretary of State argued the initiative was void because it was an unfunded mandate, had a misleading description of effect, and impaired the Legislature's deliberative function. They also argued the district court properly heard the case.","The Supreme Court affirmed the district court's order, enjoining the circulation of the initiative petition and its placement on the ballot.",defendant,NA,NA,NA,infringed,NA,NA,NA,infringed,protected,NA,NA,NA
