case_id,name,description,ruling
S-1-SC-40182_New-Mexico_2025/07/02,C. SHANNON BACON,"Concurred, argued that the Court of Appeals correctly applied the South Springs abandonment test and that Intrepid's actions demonstrated abandonment of most of its water rights, as speculation is inconsistent with beneficial use.",concur
S-1-SC-40182_New-Mexico_2025/07/02,DAVID K. THOMSON,Concurred with majority opinion.,concur
S-1-SC-40182_New-Mexico_2025/07/02,MICHAEL E. VIGIL,Concurred with majority opinion.,concur
S-1-SC-40182_New-Mexico_2025/07/02,JULIE J. VARGAS,Concurred with majority opinion.,concur
S-1-SC-40182_New-Mexico_2025/07/02,BRIANA H. ZAMORA,Concurred with majority opinion.,concur
S-1-SC-39309_New-Mexico_2025/06/05,C. SHANNON BACON,"Concurred, argued that the affidavit was sufficient to establish probable cause for the search warrant based on the CI's first-hand observations of methamphetamine, clarifying that while the Court of Appeals misread Belknap and overstated the sufficiency of first-hand observation, these errors were not fatal to the correct analysis.",concur
S-1-SC-39309_New-Mexico_2025/06/05,DAVID K. THOMSON,Concurred with majority opinion.,concur
S-1-SC-39309_New-Mexico_2025/06/05,BRIANA H. ZAMORA,Concurred with majority opinion.,concur
S-1-SC-39309_New-Mexico_2025/06/05,CINDY LEOS,Concurred with majority opinion.,concur
S-1-SC-39309_New-Mexico_2025/06/05,MICHAEL E. VIGIL,"Dissented, argued that the affidavit failed to provide sufficient factual detail to establish probable cause for trafficking, as it merely stated a conclusion without supporting facts, and that the majority's holding undermines New Mexico's constitutional protections for search warrants.",dissent
S-1-SC-40427_New-Mexico_2025/06/02,BRIANA H. ZAMORA,"Concurred, argued that judicial immunity is available to public bodies under the CRA, but the Court of Appeals erred in finding NMRC immune without sufficient factual inquiry into the nature of the proceedings and conduct.",concur
S-1-SC-40427_New-Mexico_2025/06/02,DAVID K. THOMSON,Concurred with majority opinion,concur
S-1-SC-40427_New-Mexico_2025/06/02,MICHAEL E. VIGIL,Concurred with majority opinion,concur
S-1-SC-40427_New-Mexico_2025/06/02,C. SHANNON BACON,Concurred with majority opinion,concur
S-1-SC-40427_New-Mexico_2025/06/02,JULIE J. VARGAS,Concurred with majority opinion,concur
S-1-SC-40573_New-Mexico_2025/05/05,DAVID K. THOMSON,"Concurred, argued that Stewart is entitled to legislative immunity for reassigning Candelaria's office and seat, as these are legitimate legislative activities, and her motives are irrelevant.",concur
S-1-SC-40573_New-Mexico_2025/05/05,MICHAEL E. VIGIL,Concurred with majority opinion.,concur
S-1-SC-40573_New-Mexico_2025/05/05,C. SHANNON BACON,Concurred with majority opinion.,concur
S-1-SC-40573_New-Mexico_2025/05/05,JULIE J. VARGAS,Concurred with majority opinion.,concur
S-1-SC-40573_New-Mexico_2025/05/05,BRIANA H. ZAMORA,Concurred with majority opinion.,concur
S-1-SC-39901_New-Mexico_2025/03/20,DAVID K. THOMSON,"Concurred, delivering the majority opinion that the contempt fine payable to a third party is permitted under the judiciary's inherent contempt power and is constitutional.",concur
S-1-SC-39901_New-Mexico_2025/03/20,MICHAEL E. VIGIL,Concurred with the majority opinion.,concur
S-1-SC-39901_New-Mexico_2025/03/20,C. SHANNON BACON,Concurred with the majority opinion.,concur
S-1-SC-39901_New-Mexico_2025/03/20,JULIE J. VARGAS,Concurred with the majority opinion.,concur
S-1-SC-39901_New-Mexico_2025/03/20,BRIANA H. ZAMORA,Concurred with the majority opinion.,concur
S-1-SC-40105_New-Mexico_2025/03/06,C. SHANNON BACON,"Concurred, argued that the emergency orders for gun violence and drug abuse are consistent with the PHERA and police power, and do not violate separation-of-powers principles, except for the suspension of the JDAI program which exceeded police power.",concur
S-1-SC-40105_New-Mexico_2025/03/06,DAVID K. THOMSON,Concurred with majority opinion.,concur
S-1-SC-40105_New-Mexico_2025/03/06,JULIE J. VARGAS,Concurred with majority opinion.,concur
S-1-SC-40105_New-Mexico_2025/03/06,MICHAEL E. VIGIL,"Dissented, argued that the majority's interpretation of ""public health emergency"" in PHERA is flawed because it removes the ""emergency"" context, allowing the Governor to assume sweeping emergency powers for any reason, and sets the bar too low for exercising extraordinary powers.",dissent
S-1-SC-40105_New-Mexico_2025/03/06,BRIANA H. ZAMORA,"Dissented, argued that the PHERA limits executive action to genuine emergencies, and the Governor's orders for gun violence and drug abuse are not true emergencies under PHERA. Also argued that the majority's interpretation confers unlimited emergency powers to the Governor, raising constitutional concerns under the separation of powers doctrine.",dissent
S-1-SC-39961_New-Mexico_2025/01/23,"DAVID K. THOMSON, CHIEF JUSTICE","Concurred, arguing that public schools are public accommodations under the NMHRA, thereby subjecting them to anti-discrimination laws and overruling prior inconsistent precedent.",concur
S-1-SC-39961_New-Mexico_2025/01/23,"MICHAEL E. VIGIL, Justice",Concurred with majority opinion.,concur
S-1-SC-39961_New-Mexico_2025/01/23,"C. SHANNON BACON, Justice",Concurred with majority opinion.,concur
S-1-SC-39961_New-Mexico_2025/01/23,"JULIE J. VARGAS, Justice",Concurred with majority opinion.,concur
S-1-SC-39961_New-Mexico_2025/01/23,"BRIANA H. ZAMORA, Justice",Concurred with majority opinion.,concur
S-1-SC-39474_New-Mexico_2024/11/18,"DAVID K. THOMSON, Chief Justice","Concurred, argued that district courts have inherent authority to sua sponte raise suppression issues to protect fundamental rights, do not violate separation of powers, and do not inherently demonstrate bias.",concur
S-1-SC-39474_New-Mexico_2024/11/18,"MICHAEL E. VIGIL, Justice",Concurred with majority opinion.,concur
S-1-SC-39474_New-Mexico_2024/11/18,"C. SHANNON BACON, Justice",Concurred with majority opinion.,concur
S-1-SC-39474_New-Mexico_2024/11/18,"JULIE J. VARGAS, Justice",Concurred with majority opinion.,concur
S-1-SC-39474_New-Mexico_2024/11/18,"BRIANA H. ZAMORA, Justice","Dissented, argued that while district courts have inherent authority to protect fundamental rights, the specific actions of the district court in this case constituted an abuse of discretion and created an appearance of bias by straying from its role as a neutral arbiter.",dissent
S-1-SC-39284_New-Mexico_2024/10/21,DAVID K. THOMSON,"Concurred, argued that the Attorney General has the practical ability and implied authority to obtain and produce discovery materials from non-party executive agencies in state-interest civil litigation, and that the State's arguments regarding separation of powers and lack of control are unconvincing.",concur
S-1-SC-39284_New-Mexico_2024/10/21,MICHAEL E. VIGIL,Concurred with majority opinion,concur
S-1-SC-39284_New-Mexico_2024/10/21,C. SHANNON BACON,Concurred with majority opinion,concur
S-1-SC-39284_New-Mexico_2024/10/21,JULIE J. VARGAS,Concurred with majority opinion,concur
S-1-SC-39284_New-Mexico_2024/10/21,BRIANA H. ZAMORA,Concurred with majority opinion,concur
S-1-SC-39742_New-Mexico_2025/01/09,C. SHANNON BACON,"Concurred, argued that the local ordinances are preempted by state law, including the Health Care Freedom Act, Medical Practice Act, Medical Malpractice Act, Health Care Code, and Uniform Licensing Act, and therefore must be invalidated.",concur
S-1-SC-39742_New-Mexico_2025/01/09,DAVID K. THOMSON,Concurred with majority opinion.,concur
S-1-SC-39742_New-Mexico_2025/01/09,MICHAEL E. VIGIL,Concurred with majority opinion.,concur
S-1-SC-39742_New-Mexico_2025/01/09,JULIE J. VARGAS,Concurred with majority opinion.,concur
S-1-SC-39742_New-Mexico_2025/01/09,BRIANA H. ZAMORA,Concurred with majority opinion.,concur
S-1-SC-39225_New-Mexico_2024/04/01,JANE B. YOHALEM,"Concurred, argued that the Act's provisions treating secondary mental impairments differently from secondary physical impairments violate the Equal Protection Clause of the New Mexico Constitution.",concur
S-1-SC-39225_New-Mexico_2024/04/01,J. MILES HANISEE,Concurred with majority opinion.,concur
S-1-SC-39225_New-Mexico_2024/04/01,GERALD E. BACA,Concurred with majority opinion.,concur
S-1-SC-38996_New-Mexico_2023/10/12,JULIE J. VARGAS,"Concurred, argued that the authority to appropriate federal COVID-19 relief funds lies with the Legislature, not the Executive, based on the broad discretion given to states for these funds and the state constitution's appropriation clause.",concur
S-1-SC-38996_New-Mexico_2023/10/12,C. SHANNON BACON,Concurred with majority opinion.,concur
S-1-SC-38996_New-Mexico_2023/10/12,MICHAEL E. VIGIL,Concurred with majority opinion.,concur
S-1-SC-38996_New-Mexico_2023/10/12,DAVID K. THOMSON,Concurred with majority opinion.,concur
S-1-SC-38996_New-Mexico_2023/10/12,BRIANA H. ZAMORA,Concurred with majority opinion.,concur
S-1-SC-38937_New-Mexico_2023/09/05,"DAVID K. THOMSON, JUSTICE","Concurred, argued that a district court judge has no authority at a preliminary examination to decide whether evidence was obtained from an unconstitutional search or seizure, as preliminary hearings are not the appropriate stage for such complex suppression issues.",concur
S-1-SC-38937_New-Mexico_2023/09/05,"JULIE J. VARGAS, Justice",Concurred with majority opinion.,concur
S-1-SC-38937_New-Mexico_2023/09/05,"BRETT R. LOVELESS, Judge Sitting by designation",Concurred with majority opinion.,concur
S-1-SC-38937_New-Mexico_2023/09/05,"C. SHANNON BACON, Chief Justice",Dissented with dissenting opinion.,dissent
