case_id,docket_no,title,state,date,type,opinion_link,description,plaintiff_argument,defendant_argument,decision_outcome,decision_winner,environment,consumers,reproductive_rights,democratic_norms,free_press,public_health,separation_church_state,voting_access,public_education,free_speech,privacy,worker_rights
SC2025-0794_Florida_2025/06/17,SC2025-0794,Gudinas v. State,Florida,2025-06-17,Criminal Law,https://statecourtreport.org/sites/default/files/fastcase/converted/Gudinas%20v.%20State%2C%20Fla.%20SC2025-0794.pdf,"Whether the circuit court erred in denying Thomas Lee Gudinas's third successive motion for postconviction relief, which argued that his mental illnesses and age should exempt him from execution, that Florida's Eighth Amendment conformity clause is unconstitutional, and that procedural bars to postconviction relief are unconstitutional, and whether the court erred in denying his demand for public records related to clemency.","Gudinas argued that his lifelong mental illnesses and age at the time of the crime should exempt him from execution under an extension of Atkins and Roper, that Florida's conformity clause is unconstitutional for limiting protections against cruel and unusual punishment, that applying procedural bars to his successive motion is unconstitutional, and that he is entitled to public records regarding the clemency process.","The State argued that Gudinas's claims regarding mental illness and age are procedurally barred and lack merit, that the conformity clause is constitutional and the court lacks authority to extend Atkins or Roper, that the procedural bar is constitutional and intended by the Legislature, and that the clemency-related public records are confidential and not relevant to a colorable claim.","The court affirmed the circuit court's orders summarily denying Gudinas's third successive motion for postconviction relief and denying his demand for public records, and denied his motion for a stay of execution.",defendant,NA,NA,NA,infringed,NA,NA,NA,NA,NA,NA,NA,NA
SC2023-0095_Florida_2025/06/05,SC2023-0095,Bojorquez v. State,Florida,2025-06-05,Economic and Labor Rights,https://statecourtreport.org/sites/default/files/fastcase/converted/Bojorquez%20v.%20State%2C%20Fla.%20SC2023-0095.pdf,"Whether the 2017 repeal of a law that declared taxicab certificates and permits as ""private property"" implicates the Florida Constitution's Takings Clause, requiring compensation.","The taxicab companies argued that the 2017 repeal constituted a taking of their ""private property"" (PTC-issued certificates and permits) without compensation, in violation of the Florida Constitution's Takings Clause.","The State and Hillsborough County argued that no taking occurred because the PTC-issued certificates and permits were not ""private property"" for Takings Clause purposes, but rather revocable privileges or licenses.","The court held that the 2017 repeal does not implicate the Florida Constitution's Takings Clause, affirming that the PTC-issued certificates and permits were not irrevocable private property.",defendant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SC2023-1298_Florida_2025/12/18,SC2023-1298,Jackson v. Florida,Florida,2025-12-18,Criminal Law,https://statecourtreport.org/sites/default/files/2025-12/opinion_sc2023-1298.pdf,"Whether the 2023 amendments to Florida's capital sentencing statute, which allow a death sentence recommendation based on an 8-4 jury vote, are constitutional and were properly applied to Michael James Jackson's resentencing.","Jackson argues that the 2023 amendments are unconstitutional, violating the Eighth and Fourteenth Amendments (arbitrariness, equal protection, evolving standards of decency), the Sixth Amendment (right to unanimity), and constitute a bill of attainder. He also claims instructional error, improper exclusion of mitigating evidence (codefendant's life sentence), preclusion of impeachment evidence, and prosecutorial misconduct.","The State argues that the 2023 amendments are constitutional, do not violate the Eighth or Sixth Amendments, and were properly applied prospectively. It contends that the Eighth Amendment does not require a unanimous jury recommendation, there was no racial discrimination, the amendments are not a bill of attainder, and the alleged errors regarding mitigation, impeachment, and prosecutorial conduct do not warrant a new penalty phase.","The Supreme Court of Florida affirmed the death sentences imposed on Michael James Jackson, upholding the application of the 2023 amendments to the capital sentencing statute.",defendant,NA,NA,NA,infringed,NA,NA,NA,NA,NA,NA,NA,NA
SC2023-1671	_Florida_2025/07/17,SC2023-1671	,Black Voters Matter v. Byrd,Florida,2025-07-17,Voting Rights and Elections,https://statecourtreport.org/sites/default/files/2025-07/supreme_court_of_florida-opinion.pdf,"Whether Florida's 2022 congressional districting plan violates the state's Non-Diminishment Clause by eliminating a district where Black voters could elect their preferred representatives, or if restoring such a district would constitute an unconstitutional racial gerrymander under the Equal Protection Clause.","The plaintiffs argued that the Enacted Plan violates the Florida Constitution's Non-Diminishment Clause by failing to retain a congressional district where Black voters could elect their representatives of choice, and that the Legislature has a compelling interest in complying with this clause.","The defendants argued that the North Florida district sought by the plaintiffs would be a racial gerrymander in violation of the federal Equal Protection Clause, and that compliance with the Non-Diminishment Clause is not a compelling governmental interest under federal law.","The court upheld Florida's 2022 congressional districting plan, ruling that the plaintiffs failed to prove the possibility of drawing a district that complies with both the state's Non-Diminishment Clause and the federal Equal Protection Clause without being a racial gerrymander.",defendant,NA,NA,NA,NA,NA,NA,NA,infringed,NA,NA,NA,NA
SC2022-0458_Florida_2024/05/02,SC2022-0458,State v. Penna,Florida,2024-05-02,Criminal Law,https://statecourtreport.org/sites/default/files/fastcase/converted/State%20v.%20Penna%2C%20Fla.%20SC2022-0458.pdf,"Whether a defendant's Fifth Amendment Miranda rights are automatically violated when an officer fails to re-read a Miranda warning following a defendant's voluntary re-initiation of contact, with the plaintiff arguing it is not automatically violated and the defendant arguing it is.",The State argued that the previous state precedent (Shelly) requiring a categorical re-warning of Miranda rights after a defendant voluntarily re-initiates contact is inconsistent with U.S. Supreme Court precedent and should be receded from.,"Penna argued that his statements were obtained in violation of Miranda because the officer failed to re-read his Miranda rights prior to custodial interrogation, as required by state precedent (Shelly and Quarles).","The court answered the certified question in the negative, ruling that Miranda rights are not automatically violated when an officer fails to re-read warnings after a defendant voluntarily re-initiates contact, and receded from its prior decision in Shelly.",plaintiff,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SC2023-0682_Florida_2024/04/01,SC2023-0682,Advisory Opinion to the Attorney General re: Adult Personal Use of Marijuana,Florida,2024-04-01,Government Structure,https://statecourtreport.org/sites/default/files/fastcase/converted/In%20re%20Advisory%20Op.%20to%20the%20Attorney%20Gen.%2C%20Fla.%20SC2023-0682.pdf,Whether the proposed amendment to legalize adult personal use of marijuana in Florida satisfies constitutional and statutory requirements for placement on the ballot.,"The proposed amendment complies with the single-subject rule, the ballot summary is clear, and it is not facially invalid under the federal constitution.","The proposed amendment violates the single-subject rule, the ballot summary is misleading and lacks clarity, and it is preempted by federal law, making it facially invalid.",The court approved the proposed amendment for placement on the ballot.,plaintiff,NA,NA,NA,protected,NA,NA,NA,protected,NA,NA,NA,NA
SC2023-1392_Florida_2024/04/01,SC2023-1392,Advisory Opinion to the Attorney General re: Limiting Government Interference with Abortion,Florida,2024-04-01,Reproductive Rights,https://statecourtreport.org/sites/default/files/2024-04/supreme-court-of-florida-opinion.pdf,"Whether a proposed citizen initiative amendment to the Florida Constitution, titled ""Amendment to Limit Government Interference with Abortion,"" is valid for placement on the ballot, specifically regarding its compliance with single-subject requirements, ballot title and summary clarity, and facial validity under the U.S. Constitution.","The Attorney General and other opponents argued that the proposed amendment violates the single-subject rule, that its ballot title and summary are misleading due to vagueness and omissions, and that it is facially invalid under the U.S. Constitution.","The Sponsor and other proponents argued that the proposed amendment addresses a single subject, that its ballot title and summary are clear and accurately reflect its purpose, and that it is not facially invalid under the U.S. Constitution.","The Florida Supreme Court approved the proposed citizen initiative amendment, ""Amendment to Limit Government Interference with Abortion,"" for placement on the ballot.",defendant,NA,NA,protected,protected,NA,protected,NA,NA,NA,NA,protected,NA
SC2023-1246_Florida_2024/06/06,SC2023-1246,Worrell v. Desantis,Florida,2024-06-06,Government Structure,https://statecourtreport.org/sites/default/files/2024-08/fl-worrelldesantisopinion-6.6.24.pdf,"Whether Governor Ron DeSantis properly suspended State Attorney Monique H. Worrell for neglect of duty and incompetence, or if the suspension order was impermissibly vague and infringed upon her prosecutorial discretion.","Worrell argued that the allegations in the Executive Order were impermissibly vague and addressed conduct that fell within the lawful exercise of prosecutorial discretion, thus challenging the Governor's suspension power.","Governor DeSantis argued that Worrell's practices constituted neglect of duty and incompetence by allowing violent offenders, drug traffickers, serious juvenile offenders, and pedophiles to evade incarceration, and by preventing assistant state attorneys from obtaining mandatory minimum sentences and enhancements, thereby justifying her suspension under the Florida Constitution.","The Court denied Worrell's petition for a writ of quo warranto, upholding the Governor's suspension from office.",defendant,NA,NA,NA,infringed,NA,NA,NA,NA,NA,NA,NA,NA
"SC2022-1050,-SC2022-1127_Florida_2024/04/01","SC2022-1050, SC2022-1127",Planned Parenthood v. Florida,Florida,2024-04-01,Reproductive Rights,https://statecourtreport.org/sites/default/files/2024-04/supreme-court-of-florida-opinion_sc2022-1050-04.01.2024.pdf,"Whether the Florida Constitution's Privacy Clause protects the right to abortion, thereby invalidating a recently amended statute that prohibits abortions after 15 weeks of gestation, with the plaintiff arguing it does and the defendant arguing it does not.","The plaintiff, Planned Parenthood, argued that the Florida Constitution's Privacy Clause guarantees the right to an abortion, and the 15-week ban violates this right, causing irreparable harm to patients and providers.","The defendant, the State of Florida, argued that the Privacy Clause does not encompass a right to abortion and that the court should reconsider prior jurisprudence that found such a right, asserting the 15-week ban is constitutional.","The court reversed the temporary injunction, concluding there is no basis under the Florida Constitution's Privacy Clause to invalidate the 15-week abortion ban, and receded from prior decisions that recognized a right to abortion.",defendant,NA,NA,infringed,NA,NA,NA,NA,NA,NA,NA,infringed,NA
SC2021-0651_Florida_2023/11/30,SC2021-0651,Tallahassee v. Florida Police Benevolent Association,Florida,2023-11-30,Criminal Law,https://statecourtreport.org/sites/default/files/2023-11/Florida%20Supreme%20Court%20-%20Opinion%20-%2011.30.2023.pdf,"Whether Marsy's Law grants police officers, as victims of assault, a categorical right to anonymity by preventing the disclosure of their names.","The City of Tallahassee and the News Media Coalition argued that Marsy's Law does not grant police officers, acting in an official capacity, victim status to hide their identities, and that a victim's name is not protected information under the law.","The Florida Police Benevolent Association argued that the officers were victims under Marsy's Law and were entitled to prevent the release of their personal identifying information, including their names.","The court ruled that Marsy's Law does not preclude the City from releasing the names of the two police officers whose conduct was at issue, quashing the First District Court of Appeal's decision.",plaintiff,NA,NA,NA,protected,protected,NA,NA,NA,NA,protected,infringed,NA
