case_id,name,description,ruling
CV-23-0262-PR_Arizona_2025/09/12,JUSTICE BEENE,"Concurred, argued that A.R.S. § 12-516(A) violates the anti-abrogation clause by eliminating a patient's right to recover damages for ordinary negligence, as gross negligence is not a reasonable alternative.",concur
CV-23-0262-PR_Arizona_2025/09/12,CHIEF JUSTICE TIMMER,Concurred with majority opinion.,concur
CV-23-0262-PR_Arizona_2025/09/12,VICE CHIEF JUSTICE LOPEZ,Concurred with majority opinion.,concur
CV-23-0262-PR_Arizona_2025/09/12,JUSTICE MONTGOMERY,"Concurred with the main judgment, agreeing that A.R.S. § 12-516(A) is unconstitutional, and also concurred with the rejection of arguments regarding inherent emergency powers and derivative sovereign immunity.",concur
CV-23-0262-PR_Arizona_2025/09/12,JUSTICE BOLICK,"Dissented from the judgment, arguing that the anti-abrogation clause does not invalidate the statute that increases the standard for proving negligence in COVID-19 cases, but concurred with the rejection of arguments regarding inherent emergency powers and derivative sovereign immunity.",dissent
CV-24-0144-PR_Arizona_2025/07/30,JUSTICE BOLICK,"Concurred, arguing that the initiative proposes a law by creating public policy to preserve Lake Powell Boulevard and preventing public funds from narrowing it, thus falling within legislative authority.",concur
CV-24-0144-PR_Arizona_2025/07/30,CHIEF JUSTICE TIMMER,Concurred with majority opinion.,concur
CV-24-0144-PR_Arizona_2025/07/30,VICE CHIEF JUSTICE LOPEZ,Concurred with majority opinion.,concur
CV-24-0144-PR_Arizona_2025/07/30,JUSTICE BEENE,Concurred with majority opinion.,concur
CV-24-0144-PR_Arizona_2025/07/30,JUSTICE MONTGOMERY,Concurred with majority opinion.,concur
CV-24-0144-PR_Arizona_2025/07/30,JUSTICE KING,Concurred with majority opinion.,concur
CV-24-0144-PR_Arizona_2025/07/30,JUSTICE BERCH (Ret.),Concurred with majority opinion.,concur
CV-24-0144-PR_Arizona_2025/07/30,Justice Cruz,Recused from the matter.,other
CV-24-0222-AP/EL_Arizona_2025/08/06,VICE CHIEF JUSTICE LOPEZ,"Concurred, authored the opinion of the court, arguing that A.R.S. § 19-121.04(A) is unconstitutional as applied because its double counting mechanism effectively raised the constitutional 15% signature threshold for initiatives, violating both the Arizona and United States Constitutions.",concur
CV-24-0222-AP/EL_Arizona_2025/08/06,CHIEF JUSTICE TIMMER,Concurred with majority opinion.,concur
CV-24-0222-AP/EL_Arizona_2025/08/06,JUSTICES BOLICK,Concurred with majority opinion.,concur
CV-24-0222-AP/EL_Arizona_2025/08/06,BEENE,Concurred with majority opinion.,concur
CV-24-0222-AP/EL_Arizona_2025/08/06,MONTGOMERY,Concurred with majority opinion.,concur
CV-24-0222-AP/EL_Arizona_2025/08/06,KING,Concurred with majority opinion.,concur
CV-24-0222-AP/EL_Arizona_2025/08/06,BRUTINEL (Ret.),Concurred with majority opinion.,concur
CV-24-0220-T/AP_Arizona_2025/12/04,JUSTICE BEENE,"Concurred, authored the opinion, concluding that the geographic voting districts for court of appeals judges do not violate the Free and Equal Elections Clause or the Equal Privileges and Immunities Clause of the Arizona Constitution, as there is no constitutional right to vote in every court of appeals judge's retention election and the one-person, one-vote principle does not apply to the judiciary.",concur
CV-24-0220-T/AP_Arizona_2025/12/04,CHIEF JUSTICE TIMMER,Concurred with majority opinion.,concur
CV-24-0220-T/AP_Arizona_2025/12/04,VICE CHIEF JUSTICE LOPEZ,Concurred with majority opinion.,concur
CV-24-0220-T/AP_Arizona_2025/12/04,JUSTICE BOLICK,Concurred with majority opinion.,concur
CV-24-0220-T/AP_Arizona_2025/12/04,JUSTICE MONTGOMERY,Concurred with majority opinion.,concur
CV-24-0220-T/AP_Arizona_2025/12/04,JUSTICE KING,Concurred with majority opinion.,concur
CV-24-0220-T/AP_Arizona_2025/12/04,JUSTICE CRUZ,Concurred with majority opinion.,concur
1-CA-CV-23-0606_Arizona_2025/05/06,Jennifer M. Perkins,"Concurred, delivered the decision of the Court, finding the offering was exempt from registration, some fraud claims were puffery or had a reasonable basis, but upholding the fraud finding for personal use of funds.",concur
1-CA-CV-23-0606_Arizona_2025/05/06,Michael S. Catlett,Concurred with majority opinion.,concur
1-CA-CV-23-0606_Arizona_2025/05/06,Randall M. Howe,Concurred with majority opinion.,concur
CV-23-0152-PR_Arizona_2024/08/16,JUSTICE MONTGOMERY,"Concurred, authored the opinion that Arizona law does not permit FDA warnings to substitute for expert testimony to establish the standard of care.",concur
CV-23-0152-PR_Arizona_2024/08/16,CHIEF JUSTICE TIMMER,Concurred with majority opinion.,concur
CV-23-0152-PR_Arizona_2024/08/16,VICE CHIEF JUSTICE LOPEZ,Concurred with majority opinion.,concur
CV-23-0152-PR_Arizona_2024/08/16,JUSTICE BRUTINEL,Concurred with majority opinion.,concur
CV-23-0152-PR_Arizona_2024/08/16,JUSTICE BEENE,Concurred with majority opinion.,concur
CV-23-0152-PR_Arizona_2024/08/16,JUSTICE BERCH (RETIRED),Concurred with majority opinion.,concur
