name,election_id
Greg Shaw (R),Alabama_2026-11-03_0
Ashleigh Meyer Dunham (D),Alabama_2026-11-03_0
Brad Mendheim (R),Alabama_2026-11-03_1
Carlos Muñiz (Nonpartisan),Florida_2026-11-03_0
Debra Hembree Lambert (Nonpartisan),Kentucky_2026-11-03_0
Megan Cavanagh (Nonpartisan),Michigan_2026-11-03_0
Noah Hood (Nonpartisan),Michigan_2026-11-03_0
Casandra Morse-Bills (Nonpartisan),Michigan_2026-11-03_0
Michael D. Warren Jr. (Nonpartisan),Michigan_2026-11-03_0
Kris Pickering (Nonpartisan),Nevada_2026-11-03_0
Douglas Herndon (Nonpartisan),Nevada_2026-11-03_1
Anita Earls (D),North Carolina_2026-11-03_0
Sarah Stevens (R),North Carolina_2026-11-03_0
Jennifer L. Brunner (D),Ohio_2026-11-03_0
Colleen O'Donnell (R),Ohio_2026-11-03_0
Chris Garrett (Nonpartisan),Oregon_2026-11-03_0
