case_id,name,description,ruling
85935_Nevada_2024/10/31,"STIGLICH, J.","Concurred, argued that dual service in legislative and executive departments violates separation of powers, but the specific employments in this case with NSHE and local government do not constitute such a violation.",concur
85935_Nevada_2024/10/31,Cadish C.J.,Concurred with majority opinion.,concur
85935_Nevada_2024/10/31,Parraguirre J.,Concurred with majority opinion.,concur
85935_Nevada_2024/10/31,Bell J.,Concurred with majority opinion.,concur
85935_Nevada_2024/10/31,"HERNDON, J.","Dissented, argued that the district court violated the principle of party presentation and that the majority's analysis of the separation-of-powers issue was procedurally and substantively flawed, requiring reversal and remand for further factual development.",dissent
85935_Nevada_2024/10/31,"PICKERING, J.","Dissented, argued that NSHE should be considered part of the executive branch and that the majority's analysis for Neal, Torres, and Miller was incorrect, requiring further factual development. Concurred that Ohrenschall's dual service was compatible.",dissent
85935_Nevada_2024/10/31,"LEE, J.","Dissented, argued that the majority oversimplified the separation-of-powers issue by focusing on the department rather than the individual's specific functions, siding with Justice Herndon for reversal and remand. Concurred on party presentation and ancillary issues.",dissent
85693_Nevada_2024/10/17,Pickering J.,"Concurred, argued that the Nevada Constitution's eminent domain provisions allow regulated public utilities to take private property for statutorily defined public uses like natural gas pipelines, and a jury determination on public use is not required when no genuine issues of material fact exist.",concur
85693_Nevada_2024/10/17,Cadish C.J.,Concurred with majority opinion,concur
85693_Nevada_2024/10/17,Stiglich J.,Concurred with majority opinion,concur
85693_Nevada_2024/10/17,Herndon J.,Concurred with majority opinion,concur
85693_Nevada_2024/10/17,Lee J.,Concurred with majority opinion,concur
85693_Nevada_2024/10/17,Parraguirre J.,Concurred with majority opinion,concur
85693_Nevada_2024/10/17,Bell J.,Concurred with majority opinion,concur
88307_Nevada_2024/05/24,Cadish,Concurred with majority opinion.,concur
88307_Nevada_2024/05/24,Stiglich,Concurred with majority opinion.,concur
88307_Nevada_2024/05/24,Pickering,Concurred with majority opinion.,concur
88307_Nevada_2024/05/24,Herndon,Concurred with majority opinion.,concur
88307_Nevada_2024/05/24,Lee,Concurred with majority opinion.,concur
88307_Nevada_2024/05/24,Parraguirre,Concurred with majority opinion.,concur
88307_Nevada_2024/05/24,Bell,Concurred with majority opinion.,concur
83999_Nevada_2024/04/18,"STIGLICH, J.","Concurred, argued that the statutes regulating unfinished firearm frames or receivers are not unconstitutionally vague as their terms have ordinary meanings and the statutes are general intent statutes that do not risk arbitrary enforcement.",concur
83999_Nevada_2024/04/18,"Cadish, C.J.",Concurred with majority opinion.,concur
83999_Nevada_2024/04/18,"Pickering, J.",Concurred with majority opinion.,concur
83999_Nevada_2024/04/18,"Herndon, J.",Concurred with majority opinion.,concur
83999_Nevada_2024/04/18,"Lee, J.",Concurred with majority opinion.,concur
83999_Nevada_2024/04/18,"Parraguirre, J.",Concurred with majority opinion.,concur
83999_Nevada_2024/04/18,"Bell, J.",Concurred with majority opinion.,concur
87681_Nevada_2024/04/18,"STIGLICH, J.","Concurred, argued that the initiative petition has a single subject, a legally sufficient description of effect, and does not require an expenditure of money, thus reversing the district court's injunction.",concur
87681_Nevada_2024/04/18,"Cadish, C.J.",Concurred with majority opinion.,concur
87681_Nevada_2024/04/18,"Pickering, J.",Concurred with majority opinion.,concur
87681_Nevada_2024/04/18,"Herndon, J.",Concurred with majority opinion.,concur
87681_Nevada_2024/04/18,"Parraguirre, J.",Concurred with majority opinion.,concur
87681_Nevada_2024/04/18,"Bell, J.",Concurred with majority opinion.,concur
86035_Nevada_2024/03/28,"CADISH, C.J.","Concurred, argued that the prosecutorial-consent requirement for informal supervision is not a sentencing decision and therefore does not violate the separation of powers doctrine.",concur
86035_Nevada_2024/03/28,"PICKERING, J.",Concurred with majority opinion.,concur
86035_Nevada_2024/03/28,"BELL, J.",Concurred with majority opinion.,concur
"79658,-80113,-80968_Nevada_2023/08/17","STIGLICH, C.J.","Concurred, argued that both the governor and the chief justice have complementary constitutional authority to designate temporary substitutes for disqualified justices, and the chief justice's assignments were permissible.",concur
"79658,-80113,-80968_Nevada_2023/08/17","Herndon, J.",Concurred with majority opinion.,concur
"79658,-80113,-80968_Nevada_2023/08/17","Parraguirre, J.",Concurred with majority opinion.,concur
"79658,-80113,-80968_Nevada_2023/08/17","Bell, J.",Concurred with majority opinion.,concur
"79658,-80113,-80968_Nevada_2023/08/17","PICKERING, J.","Concurred that both the governor and chief justice have appointment powers, but dissented from the majority's endorsement of a disparate, discretionary approach to judicial selection, arguing that the method should be random and uniform to maintain public trust.",dissent
"79658,-80113,-80968_Nevada_2023/08/17",Honorable Elissa F. Cadish,Disqualified from participating in the resolution of the objection and motion.,other
"79658,-80113,-80968_Nevada_2023/08/17",Honorable Patricia Lee,Disqualified from participating in the resolution of the objection and motion.,other
"79658,-80113,-80968_Nevada_2023/08/17",Honorable Michael Cherry,Did not participate in the resolution of the objection and motion.,other
"79658,-80113,-80968_Nevada_2023/08/17",Honorable Abbi Silver,Did not participate in the resolution of the objection and motion.,other
81513_Nevada_2022/12/29,"CAD1SH, J.","Concurred, argued that a private right of action for money damages exists to vindicate violations of search-and-seizure rights under the Nevada Constitution, and a qualified-immunity defense does not apply to such an action.",concur
81513_Nevada_2022/12/29,"Hardesty, C. J.",Concurred with majority opinion.,concur
81513_Nevada_2022/12/29,"Parraguirre, J.",Concurred with majority opinion.,concur
81513_Nevada_2022/12/29,"Stiglich, J.",Concurred with majority opinion.,concur
81513_Nevada_2022/12/29,"Pickering, J.",Concurred with majority opinion.,concur
81513_Nevada_2022/12/29,"Herndon, J.",Concurred with majority opinion.,concur
85507_Nevada_2022/10/21,"Parraguirre, C.J.","Concurred, delivering the majority opinion that mandated changes to hand-count livestreaming and signature verification, while denying relief on the touchscreen issue.",concur
85507_Nevada_2022/10/21,"Hardesty, J.",Concurred with majority opinion.,concur
85507_Nevada_2022/10/21,"Stiglich, J.",Concurred with majority opinion.,concur
85507_Nevada_2022/10/21,"Cadish, J.",Concurred with majority opinion.,concur
85507_Nevada_2022/10/21,"Pickering, J.",Concurred with majority opinion.,concur
85507_Nevada_2022/10/21,"Herndon, J.",Concurred with majority opinion.,concur
84736_Nevada_2022/06/28,"HARDESTY, J.","Concurred, argued that the initiative was an unfunded mandate, had a misleading description of effect, and impeded the Legislature's deliberative function, and that the 15-day hearing requirement was directory.",concur
84736_Nevada_2022/06/28,"Parraguirre, C.J.",Concurred with majority opinion.,concur
84736_Nevada_2022/06/28,"Stiglich, J.",Concurred with majority opinion.,concur
84736_Nevada_2022/06/28,"Cadish, J.",Concurred with majority opinion.,concur
84736_Nevada_2022/06/28,"Silver, J.",Concurred with majority opinion.,concur
84736_Nevada_2022/06/28,"HERNDON, J.","Dissented, argued that the funding mandate applies only to statutory changes, the description of effect was adequate, and initiatives can propose constitutional amendments requiring legislative action.",dissent
84736_Nevada_2022/06/28,"PICKERING, J.","Dissented, argued that the funding mandate applies only to statutory changes, the description of effect was adequate, and initiatives can propose constitutional amendments requiring legislative action.",dissent
84420_Nevada_2022/06/28,"STIGLICH, J.","Concurred, argued that NRS 295.026 is a constitutional exercise of legislative power that facilitates the people's initiative power, and withdrawn petitions are void, nullifying the Secretary of State's duty to place them on the ballot.",concur
84420_Nevada_2022/06/28,Parraguirre C.J.,Concurred with majority opinion.,concur
84420_Nevada_2022/06/28,"Cadish, J.",Concurred with majority opinion.,concur
84420_Nevada_2022/06/28,"Herndon, J.",Concurred with majority opinion.,concur
84420_Nevada_2022/06/28,"HARDESTY, J.","Dissented, argued that NRS 295.026 obstructs the Secretary of State's constitutional duty to place verified initiative petitions on the ballot after legislative inaction, and therefore should be held unconstitutional.",dissent
84420_Nevada_2022/06/28,"SILVER, J.","Dissented, agreeing with Justice Hardesty's opinion that NRS 295.026 obstructs the constitutional process.",dissent
84420_Nevada_2022/06/28,"PICKERING, J.","Dissented, agreeing with Justice Hardesty's opinion that NRS 295.026 obstructs the constitutional process.",dissent
82118_Nevada_2022/05/26,"HARDESTY, J.","Concurred, argued that the Nevada Constitution textually commits broad, discretionary authority over public education, including funding, to the Legislature, making the claims nonjusticiable political questions.",concur
82118_Nevada_2022/05/26,Parraguirre,Concurred with majority opinion.,concur
82118_Nevada_2022/05/26,Stiglich,Concurred with majority opinion.,concur
82118_Nevada_2022/05/26,Silver,Concurred with majority opinion.,concur
82118_Nevada_2022/05/26,Pickering,Concurred with majority opinion.,concur
82118_Nevada_2022/05/26,Herndon,Concurred with majority opinion.,concur
82118_Nevada_2022/05/26,"CADISH, J.","Dissented, argued that education is a fundamental right imposing a judicially enforceable, mandatory duty on the Legislature to provide a basic education, and therefore the issue is not a nonjusticiable political question.",dissent
82362_Nevada_2022/05/18,"SILVER, J.","Dissented, argued that the Nevada Constitution's separation of powers clause prohibits a legislator from simultaneously serving as a prosecutor, and the court should have addressed the merits of the challenge and determined an appropriate remedy.",dissent
82362_Nevada_2022/05/18,"HERNDON, J.","Dissented, argued that the majority's focus solely on the petitioner's requested remedy was shortsighted and ignored the constitutional issue, which warrants extraordinary relief to protect the integrity of the judicial process.",dissent
82362_Nevada_2022/05/18,"PICKERING, J.","Dissented, agreed with the opinions of Justice Silver and Justice Herndon.",dissent
82445_Nevada_2022/05/05,"CADISH, J.","Concurred, arguing that public policy does not warrant creating a civil forfeiture exception to the homestead exemption, and incarcerated individuals can be deemed residents for homestead purposes.",concur
82445_Nevada_2022/05/05,"Silver, J.",Concurred with majority opinion.,concur
82445_Nevada_2022/05/05,"Pickering, J.",Concurred with majority opinion.,concur
82341_Nevada_2022/04/21,"HARDESTY, J.","Concurred, argued that the public-importance exception to standing should be expanded to include cases involving separation-of-powers challenges that are of significant public importance, likely to recur, and require judicial resolution for future guidance, even if they do not involve legislative expenditures or appropriations.",concur
82341_Nevada_2022/04/21,"Parraguirre, C.J.",Concurred with majority opinion,concur
82341_Nevada_2022/04/21,"Stiglich, J.",Concurred with majority opinion,concur
82341_Nevada_2022/04/21,"Cadish, J.",Concurred with majority opinion,concur
82341_Nevada_2022/04/21,"Silver, J.",Concurred with majority opinion,concur
82341_Nevada_2022/04/21,"Pickering, J.",Concurred with majority opinion,concur
82341_Nevada_2022/04/21,"Herndon, J.",Concurred with majority opinion,concur
80072_Nevada_2021/10/07,"HARDESTY, C.J.","Concurred, argued that the district court erred by broadly interpreting 'victim' under Marsy's Law and NRS 176.015(5)(d) to include anyone impacted by the crime, and by failing to determine the relevance and reliability of non-victim statements, thus requiring vacation of the sentence and remand for resentencing.",concur
80072_Nevada_2021/10/07,"Parraguirre, J.",Concurred with majority opinion.,concur
80072_Nevada_2021/10/07,"Stiglich, J.",Concurred with majority opinion.,concur
80072_Nevada_2021/10/07,"Cadish, J.",Concurred with majority opinion.,concur
80072_Nevada_2021/10/07,"Silver, J.",Concurred with majority opinion.,concur
80072_Nevada_2021/10/07,"Pickering, J.",Concurred with majority opinion.,concur
80072_Nevada_2021/10/07,"Herndon, J.",Concurred with majority opinion.,concur
"80448,-80449_Nevada_2021/07/29","STIGLICH, J.","Concurred, argued that employee status for MWA claims is determined by the economic realities test, and for NRS Chapter 608 claims, NRS 608.0155 may apply; contractual disavowals and NTA approval are not conclusive for either.",concur
"80448,-80449_Nevada_2021/07/29","Hardesty, C. J.",Concurred with majority opinion.,concur
"80448,-80449_Nevada_2021/07/29","Cadish, J.",Concurred with majority opinion.,concur
"80448,-80449_Nevada_2021/07/29","Parraguirre, J.",Concurred with majority opinion.,concur
"80448,-80449_Nevada_2021/07/29","Silver, J.",Concurred with majority opinion.,concur
"80448,-80449_Nevada_2021/07/29","Herndon, J.",Concurred with majority opinion.,concur
"80448,-80449_Nevada_2021/07/29","PICKERING, J.","Concurred, argued that the majority opinion does not preclude waiting time penalties as a remedy under the MWA's 'all remedies' clause when sought as part of a constitutional violation.",concur
78996_Nevada_2021/03/19,"SILVER, J.","Concurred, argued that general tailoring arguments are impermissible under Nevada's Constitution, but the error in this specific case was harmless.",concur
78996_Nevada_2021/03/19,"STIGLICH, J.","Concurred, agreeing that general tailoring arguments are impermissible under Nevada's Constitution.",concur
78078_Nevada_2021/02/25,"PICKERING, J.","Concurred, argued that the economic realities test applies to the MWA, finding the dancers are employees, and NRS 608.0155 cannot abrogate constitutional minimum wage protections.",concur
78078_Nevada_2021/02/25,"Hardesty, C.J.",Concurred with majority opinion.,concur
78078_Nevada_2021/02/25,"Parraguirre, J.",Concurred with majority opinion.,concur
78078_Nevada_2021/02/25,"Cadish, J.",Concurred with majority opinion.,concur
78078_Nevada_2021/02/25,"Silver, J.",Concurred with majority opinion.,concur
78078_Nevada_2021/02/25,"Herndon, J.",Concurred with majority opinion.,concur
78078_Nevada_2021/02/25,"STIGLICH, J.","Concurred, argued that while the Legislature intended NRS 608.0155 to limit the MWA's scope, it lacked the constitutional power to do so, reaching the same result as the majority through a different path.",concur
