case_id,docket_no,title,state,date,type,opinion_link,description,plaintiff_argument,defendant_argument,decision_outcome,decision_winner,environment,consumers,reproductive_rights,democratic_norms,free_press,public_health,separation_church_state,voting_access,public_education,free_speech,privacy,worker_rights
"24-AP-403,-25-AP-022_Vermont_2025/07/11","24-AP-403, 25-AP-022",Office of the Auditor of Accounts v. Office of the Attorney General,Vermont,2025-07-11,Government Structure,https://statecourtreport.org/sites/default/files/fastcase/converted/Office%20of%20the%20Auditor%20of%20Accounts%20v.%20Office%20of%20the%20Attorney%20Gen.%2C%20Vt.%2024-AP-403.pdf,"Whether the Auditor of Accounts has the statutory authority to retain counsel and sue the Attorney General for mandamus to compel legal advice, and whether the Attorney General's responses to specific questions constituted sufficient legal advice.","The Auditor argued he has an inherent constitutional right to retain counsel and sue the Attorney General, and that the Attorney General failed to comply with her statutory obligation to provide legal advice by not directly answering specific questions and by instituting a policy of not providing opinions.","The Attorney General argued the Auditor lacked authority to sue, her responses constituted legal advice, and her duty to advise is discretionary, not ministerial, thus not subject to mandamus for specific answers or review of content.","The court reversed the dismissal of the Auditor's claim for declaratory judgment that he has the right to retain counsel and sue the Attorney General for mandamus to enforce the duty to advise under 3 V.S.A. § 159, but affirmed the dismissal of the Auditor's claims for mandamus related to specific TIF questions, for declaratory judgment related to the Attorney General's purported policy of not offering legal advice, and the denial of attorneys' fees.",other,NA,NA,NA,protected,NA,NA,NA,NA,NA,NA,NA,NA
21-AP-275_Vermont_2023/07/21,21-AP-275,State v. Boyer,Vermont,2023-07-21,Criminal Law,https://statecourtreport.org/sites/default/files/fastcase/converted/State%20v.%20Boyer%2C%20Vt.%2021-AP-275.pdf,"Whether a warrantless search of a parent's home, consented to by a minor child, is lawful under constitutional rights against unreasonable searches and seizures, and whether the defendant's speedy-trial rights were violated due to delays.","The State argued that the search was lawful because the minor daughter had common authority to consent, and that the defendant's speedy-trial rights were not violated, as delays were largely due to case complexity and the COVID-19 pandemic, not intentional state action.","The defendant argued that his fourteen-year-old daughter lacked the authority to consent to the warrantless search of his home, rendering the evidence inadmissible, and that his constitutional speedy-trial rights were violated due to excessive delays.","The court affirmed the trial court's decision, ruling that the search was lawful due to valid third-party consent and that the defendant's speedy-trial rights were not violated.",plaintiff,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,infringed,NA
19-029_Vermont_2023/02/17,19-029,State v. Murphy,Vermont,2023-02-17,Criminal Law,https://statecourtreport.org/sites/default/files/fastcase/converted/State%20v.%20Murphy%2C%20Vt.%20No.%2019-029.pdf,"Whether the warrantless ping of a cell phone to obtain real-time cell site location information (CSLI) constitutes an unconstitutional search, and if so, whether exigent circumstances can justify such a search.","The State argued that a warrant was unnecessary because the defendant had no reasonable expectation of privacy in his real-time CSLI, or alternatively, that exigent circumstances justified the warrantless ping.","The defendant argued that obtaining his real-time CSLI via a warrantless ping violated his constitutional rights under the Vermont and Federal Constitutions, and thus the evidence should be suppressed.","The court affirmed the trial court's denial of the defendant's motion to suppress and his conviction for second-degree murder, concluding that while a privacy interest exists in real-time CSLI, the warrantless ping was justified by exigent circumstances.",plaintiff,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,protected,NA
22-AP-200_Vermont_2023/06/09,22-AP-200,A.B. v. S.U.,Vermont,2023-06-09,Torts and Liability,https://statecourtreport.org/sites/default/files/2023-09/A.B.%20v.%20S.U.%20opinion.pdf,"Whether 12 V.S.A. § 522, which retroactively eliminated the limitations period for childhood sexual abuse claims, violates Chapter I, Article 4 of the Vermont Constitution by reviving time-barred claims, with the plaintiff arguing it is constitutional and the defendant arguing it is unconstitutional.","The plaintiff argued that the 2019 amendment to 12 V.S.A. § 522, which retroactively removed the limitations period for childhood sexual abuse claims, is constitutional and allows their previously time-barred claims to proceed.","The defendants argued that the retroactivity provision of 12 V.S.A. § 522 violates the Due Process Clause of the Vermont Constitution by reviving ancient, time-barred claims and depriving them of a vested right in the expired limitations period.","The court affirmed the civil division's denial of the defendants' motion to dismiss, concluding that the retroactive application of 12 V.S.A. § 522 does not violate the Vermont Constitution.",plaintiff,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22-AP-059_Vermont_2023/03/17,22-AP-059,Vitale v. Bellows Falls Union High School,Vermont,2023-03-17,Education,https://statecourtreport.org/sites/default/files/fastcase/converted/Vitale%20v.%20Bellows%20Falls%20Union%20High%20Sch.%2C%20Vt.%2022-AP-059.pdf,"Whether Vermont statutes that allow school districts to choose between operating public schools or tuitioning for out-of-district or independent schools, thereby denying some parents school choice at state expense, violate the state constitution by creating unequal educational opportunities or denying a common benefit.","The plaintiffs argued that the current statutory scheme is facially unconstitutional, violating the Education and Common Benefits Clauses by denying them school choice at state expense and creating unequal educational opportunities.","The defendants argued that the Vermont Constitution does not mandate universal tuitioning, and the challenged statutes are constitutional under the applicable standards, passing intermediate scrutiny or the flexible Baker standard.","The court affirmed the civil division's dismissal of the parents' complaint, ruling that they failed to state a claim upon which relief could be granted.",defendant,NA,NA,NA,NA,NA,NA,NA,NA,protected,NA,NA,NA
2019-029_Vermont_2023/02/17,2019-029,State v. Murphy,Vermont,2023-02-17,Criminal Law,https://statecourtreport.org/sites/default/files/2023-08/op19-029.pdf,"Whether the warrantless ping of the defendant's cell phone by police constituted an unconstitutional search, with the plaintiff arguing it was justified by exigent circumstances or no privacy expectation, and the defendant arguing it violated his constitutional rights.","The State argued that a warrant was unnecessary because the defendant had no reasonable expectation of privacy in his real-time CSLI, or, even if he did, the search was justified by exigent circumstances.",The defendant argued that obtaining his real-time CSLI via a warrantless ping constituted a warrantless search in violation of the Vermont and Federal Constitutions.,"The court affirmed the trial court's denial of the defendant's motion to suppress, concluding that while the defendant had a legitimate privacy interest in his real-time CSLI, the warrantless ping was justified by exigent circumstances, and also affirmed the conviction for second-degree murder and the denial of the motion for a new trial.",plaintiff,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,protected,NA
22-AP-125_Vermont_2023/01/20,22-AP-125,Ferry v. City of Montpelier,Vermont,2023-01-20,Voting Rights and Elections,https://statecourtreport.org/sites/default/files/fastcase/converted/Ferry%20v.%20City%20of%20Montpelier%2C%20Vt.%2022-AP-125.pdf,"Whether a statute allowing noncitizens to vote in City of Montpelier elections violates the voter-eligibility requirements set forth in Chapter II, § 42 of the Vermont Constitution, with plaintiffs arguing it does and defendants arguing it does not.","The plaintiffs argued that Chapter II, § 42 of the Vermont Constitution, which requires voters to be U.S. citizens, applies to municipal elections, making the statute allowing noncitizens to vote in Montpelier local elections unconstitutional.","The defendants (City and State) countered that a long line of precedent distinguishes between municipal and statewide elections, dictating that Chapter II, § 42 does not apply to municipal elections, and that plaintiffs lacked standing.","The court affirmed the trial court's grant of the City's motion to dismiss, concluding that the statute allowing noncitizens to vote in local Montpelier elections does not violate Chapter II, § 42 of the Vermont Constitution because that provision does not apply to local elections.",defendant,NA,NA,NA,protected,NA,NA,NA,protected,NA,NA,NA,NA
2021-177_Vermont_2022/03/18,2021-177,Boyd v. State,Vermont,2022-03-18,Education,https://statecourtreport.org/sites/default/files/fastcase/converted/Boyd%20v.%20State%2C%20Vt.%202021-177.pdf,"Whether the State of Vermont's education funding and property taxation system violates the Vermont Constitution by depriving students of equal educational opportunities and requiring disproportionate tax contributions, or if the system is constitutional and rationally based.","The education funding and property taxation system is unconstitutional because it deprives student Boyd of equal educational opportunity, requires property owner Klein to contribute disproportionately to education funding, and harms the Town of Whitingham by compelling it to collect an unconstitutional tax and depriving it of revenue.","The State argues that the plaintiffs failed to demonstrate that alleged inequities were caused by the statutes or that the education property taxation system lacked a rational basis, and that the system is constitutional.","The Supreme Court affirmed the civil division's grant of summary judgment to the State, concluding that the plaintiffs failed to provide sufficient evidence to prove their claims regarding unequal educational opportunities and disproportionate taxation.",defendant,NA,NA,NA,NA,NA,NA,NA,NA,protected,NA,NA,NA
20-079_Vermont_2021/10/29,20-079,State v. Calabrese,Vermont,2021-10-29,Criminal Law,https://statecourtreport.org/sites/default/files/fastcase/converted/State%20v.%20Calabrese%2C%20Vt.%20No.%2020-079.pdf,Whether the trial court erred in denying the defendant's motion to suppress evidence (a bullet cartridge) found during a warrantless search and in admitting racially charged statements.,The State argued the bullet was observed in plain view from a lawful location and the racially charged statements were admissible as probative evidence.,"The defendant argued the warrantless search for the bullet exceeded the scope of the trooper's implied license to enter the property, violating Article 11, and that the racially charged statements were unduly prejudicial and should have been suppressed.","The Supreme Court reversed the trial court's denial of the motion to suppress the bullet evidence, remanding for further factual findings and analysis under the correct legal standard. The Court affirmed the trial court's decision to admit the defendant's racially charged statements.",other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,protected,NA
2019-388_Vermont_2021/09/24,2019-388,State v. Walker-Brazie,Vermont,2021-09-24,Criminal Law,https://statecourtreport.org/sites/default/files/fastcase/converted/State%20v.%20Walker-Brazie%2C%20Vt.%202019-388.pdf,"Whether evidence seized by federal Border Patrol agents during a roving patrol, pursuant to their authority to conduct warrantless searches under 8 U.S.C. § 1357, is admissible in a state criminal proceeding when that search does not comply with Article 11 of the Vermont Constitution.","The State argued that Agent Vining had reasonable suspicion for the stop and search, which complied with federal law, and that Article 11 of the Vermont Constitution does not apply to federal officials exercising exclusive federal authority to safeguard the border.","The defendants argued that the Border Patrol agents lacked reasonable suspicion and that the search violated Article 11 of the Vermont Constitution, requiring suppression of the evidence to protect individual liberty.","The court reversed the lower court's decision, holding that evidence gathered in violation of Article 11 by Border Patrol agents on roving patrol is not admissible in a state criminal proceeding, and remanded the case for further proceedings consistent with this opinion.",defendant,NA,NA,NA,protected,NA,NA,NA,NA,NA,NA,protected,NA
