case_id,name,description,ruling
103672-8_Washington_2025/09/25,"WHITENER, J.","Concurred, argued that Monschke established a new substantive constitutional rule requiring consideration of youth for 18-20 year olds in LWOP sentencing, making Schoenhals' sentence unconstitutional and his petition timely under the ""significant change in the law"" exemption.",concur
103672-8_Washington_2025/09/25,"González, J.",Concurred with the lead opinion.,concur
103672-8_Washington_2025/09/25,"Montoya-Lewis, J.",Concurred with the lead opinion.,concur
103672-8_Washington_2025/09/25,"Mungia, J.",Concurred with the lead opinion.,concur
103672-8_Washington_2025/09/25,"MADSEN, J.","Concurred, argued that Schoenhals' mandatory LWOP sentence is facially invalid under State v. Carter, making his personal restraint petition timely without needing to apply the ""significant change in the law"" exemption.",concur
103672-8_Washington_2025/09/25,"Stephens, C.J.",Concurred with Madsen's opinion.,concur
103672-8_Washington_2025/09/25,"Johnson, J.",Concurred with Madsen's opinion.,concur
103672-8_Washington_2025/09/25,"Yu, J.",Concurred with Madsen's opinion.,concur
103672-8_Washington_2025/09/25,"Gordon McCloud, J.","Concurred, agreed with both the lead opinion and Madsen's concurrence that Schoenhals' sentence is unconstitutional and his petition is timely.",concur
"103,252-8_Washington_2026/03/19","Yu, J.P.T.","Concurred, argued that caseload limits for indigent defense are mandatory, and while courts cannot order attorneys to violate them, the trial court's order for DPD to provide counsel did not implicitly require such a violation, and the King County Executive was improperly included in the orders.",concur
"103,252-8_Washington_2026/03/19","Stephens, C.J.",Concurred with majority opinion.,concur
"103,252-8_Washington_2026/03/19","Gordon McCloud, J.",Concurred with majority opinion.,concur
"103,252-8_Washington_2026/03/19","Johnson, J.",Concurred with majority opinion.,concur
"103,252-8_Washington_2026/03/19","Montoya-Lewis, J.",Concurred with majority opinion.,concur
"103,252-8_Washington_2026/03/19","Madsen, J.",Concurred with majority opinion.,concur
"103,252-8_Washington_2026/03/19","Whitener, J.",Concurred with majority opinion.,concur
"103,252-8_Washington_2026/03/19","González, J.",Concurred with majority opinion.,concur
"103,252-8_Washington_2026/03/19","Mungia, J.",Concurred with majority opinion.,concur
103006-1_Washington_2025/08/14,"GORDON McCLOUD, J.","Concurred, argued that JuCR 7.16 is a procedural rule within the court's inherent, constitutional, and statutory authority, and it can be harmonized with RCW 13.40.040 by requiring trial courts to apply both sets of prerequisites.",concur
