case_id,name,description,ruling
SC-20781_Connecticut_2025/08/26,"DANNEHY, J.","Concurred, argued that the trial court correctly denied a second probable cause hearing, properly admitted Jenkins' statement as a prior inconsistent statement, and reasonably found Vazquez's testimony reliable.",concur
SC-20781_Connecticut_2025/08/26,"McDonald, J.",Concurred with majority opinion.,concur
SC-20781_Connecticut_2025/08/26,"D'Auria, J.",Concurred with majority opinion.,concur
SC-20781_Connecticut_2025/08/26,"Mullins, J.",Concurred with majority opinion.,concur
SC-20781_Connecticut_2025/08/26,"Ecker, J.",Concurred with majority opinion.,concur
SC-20781_Connecticut_2025/08/26,"Alexander, J.",Concurred with majority opinion.,concur
SC-20781_Connecticut_2025/08/26,"Bright, J.",Concurred with majority opinion.,concur
SC20815_Connecticut_2025/10/07,"D'AURIA, J.","Dissented, argued that the warrantless collection, testing, and storage of shed DNA without a warrant constitutes an unreasonable invasion of privacy and sets a dangerous precedent for future intrusions on privacy rights.",dissent
SC20815_Connecticut_2025/10/07,"ECKER, J.","Dissented, argued that the warrantless collection, testing, and storage of shed DNA without a warrant constitutes an unreasonable invasion of privacy and sets a dangerous precedent for future intrusions on privacy rights.",dissent
SC20802_Connecticut_2025/09/02,"ALEXANDER, J.","Concurred, argued that a balancing test, rather than a two-pronged test, should be used for prearrest delay claims under the state constitution, and found the delay in this case was justified by investigative reasons.",concur
SC20802_Connecticut_2025/09/02,"MULLINS, C. J.",Concurred with majority opinion.,concur
SC20802_Connecticut_2025/09/02,"DANNEHY, J.",Concurred with majority opinion.,concur
SC-20794_Connecticut_2025/07/01,"ECKER, J.","Dissented, arguing that illegally obtained voluntary statements should only be used to impeach a defendant's testimony if they are directly contradictory, not merely inconsistent, to uphold state constitutional rights and deter police misconduct.",dissent
SC-20632_Connecticut_2024/08/08,"D'AURIA, J.","Concurred, argued that a defendant's jury trial waiver is invalid if the court fails to explain the non-unanimous nature of a three-judge panel verdict, requiring a new rule for canvassing defendants to ensure fairness and justice.",concur
SC-20632_Connecticut_2024/08/08,"ROBINSON, C. J.",Concurred with majority opinion,concur
SC-20632_Connecticut_2024/08/08,"MCDONALD, J.",Concurred with majority opinion,concur
SC-20632_Connecticut_2024/08/08,"MULLINS, J.",Concurred with majority opinion,concur
SC-20632_Connecticut_2024/08/08,"ECKER, J.",Concurred with majority opinion,concur
SC-20632_Connecticut_2024/08/08,"DANNEHY, J.",Concurred with majority opinion,concur
SC-20632_Connecticut_2024/08/08,"BOZZUTO, J.",Concurred with majority opinion,concur
SC-20776_Connecticut_2024/07/30,"ALEXANDER, J.","Concurred, arguing that constitutional challenges to the vaccination mandate are barred by sovereign immunity, but a statutory free exercise claim is not.",concur
SC-20776_Connecticut_2024/07/30,"Robinson, C. J.",Concurred with majority opinion.,concur
SC-20776_Connecticut_2024/07/30,"D'Auria, J.",Concurred with majority opinion.,concur
SC-20776_Connecticut_2024/07/30,"Ecker, J.",Concurred with majority opinion.,concur
SC-20776_Connecticut_2024/07/30,"Seeley, J.",Concurred with majority opinion.,concur
C-20727_Connecticut_2024/07/16,"McDonald, D'Auria","Concurred, argued that the rule articulated in Dickson, which addresses unduly suggestive eyewitness identifications, must be applied retroactively to ensure the reliability of criminal trials, especially given scientific advancements and the petitioner's prior advocacy of the claim.",concur
C-20727_Connecticut_2024/07/16,"Robinson, C. J.",Concurred with majority opinion.,concur
C-20727_Connecticut_2024/07/16,"Mullins, J.",Concurred with majority opinion.,concur
C-20727_Connecticut_2024/07/16,"Ecker, J.",Concurred with majority opinion.,concur
C-20727_Connecticut_2024/07/16,"Dannehy, J.",Concurred with majority opinion.,concur
C-20727_Connecticut_2024/07/16,"Seeley, J.",Concurred with majority opinion.,concur
20723_Connecticut_2023/08/22,"ROBINSON, C. J.","Concurred, argued that the special act was an unconstitutional public emolument because it did not serve a legitimate public purpose, as the state was not responsible for the untimely filing of the claim.",concur
20723_Connecticut_2023/08/22,"McDonald, J.",Concurred with majority opinion.,concur
20723_Connecticut_2023/08/22,"Mullins, J.",Concurred with majority opinion.,concur
20723_Connecticut_2023/08/22,"Ecker, J.",Concurred with majority opinion.,concur
20723_Connecticut_2023/08/22,"Alexander, J.",Concurred with majority opinion.,concur
SC20734_Connecticut_2023/06/06,"MCDONALD, J.","Concurred, argued that considering acquitted conduct during sentencing is permissible under federal and state constitutional law, provided the conduct is proven by a preponderance of evidence and the sentence remains within statutory limits, though the practice is discouraged due to concerns about undermining the jury's role.",concur
SC20734_Connecticut_2023/06/06,"D'Auria, J.",Concurred with majority opinion.,concur
SC20734_Connecticut_2023/06/06,"Mullins, J.",Concurred with majority opinion.,concur
SC20734_Connecticut_2023/06/06,"Ecker, J.",Concurred with majority opinion.,concur
SC20734_Connecticut_2023/06/06,"Alexander, J.",Concurred with majority opinion.,concur
SC-20447_Connecticut_2022/10/04,"MCDONALD, J.",Concurred with majority opinion.,concur
SC-20447_Connecticut_2022/10/04,"ROBINSON, C. J.",Concurred with majority opinion.,concur
SC-20447_Connecticut_2022/10/04,"MULLINS, J.",Concurred with majority opinion.,concur
SC-20447_Connecticut_2022/10/04,"KAHN, J.",Concurred with majority opinion.,concur
SC-20447_Connecticut_2022/10/04,"KELLER, J.",Concurred with majority opinion.,concur
SC-20447_Connecticut_2022/10/04,"ECKER, J.","Concurred, but argued that the court should reconsider its holding in State v. Rivera regarding the admissibility of dual inculpatory hearsay statements in felony murder cases.",concur
SC-20447_Connecticut_2022/10/04,"D'AURIA, J.","Concurred, joining Judge Ecker's opinion regarding the desire to reconsider the court's holding in State v. Rivera.",concur
SC-20614_Connecticut_2022/06/20,"MCDONALD, J.",Concurred with majority opinion.,concur
SC-20614_Connecticut_2022/06/20,"Robinson, C. J.",Concurred with majority opinion.,concur
SC-20614_Connecticut_2022/06/20,"D'Auria, J.",Concurred with majority opinion.,concur
SC-20614_Connecticut_2022/06/20,"Mullins, J.",Concurred with majority opinion.,concur
SC-20614_Connecticut_2022/06/20,"Ecker, J.","Concurred with the majority's rejection of the constitutional challenge to the virtual trial but disagreed with the legal standard for posttermination visitation, arguing it was unworkable and that the standard in General Statutes § 46b-59 should apply.",other
SC-20614_Connecticut_2022/06/20,"Keller, J.","Concurred with the majority's affirmation of parental rights termination and the result in part II, but wrote separately to argue that the court's prior decision in In re Ava W. misinterpreted common law regarding posttermination visitation and suggested clarifications.",other
SC-20614_Connecticut_2022/06/20,"Kahn, J.",Concurred with Justice Keller's separate opinion.,concur
SC-20572_Connecticut_2022/05/10,"MCDONALD, J.","Concurred, argued that defense counsel's in-court representation combined with the defendant's silence satisfied the constitutional waiver requirement, but prospectively mandated a canvass or inquiry by trial courts to ensure knowing, intelligent, and voluntary waivers.",concur
SC-20572_Connecticut_2022/05/10,"D'Auria, J.",Concurred with majority opinion.,concur
SC-20572_Connecticut_2022/05/10,"Mullins, J.",Concurred with majority opinion.,concur
SC-20572_Connecticut_2022/05/10,"Kahn, J.",Concurred with majority opinion.,concur
SC-20572_Connecticut_2022/05/10,"Ecker, J.",Concurred with majority opinion.,concur
SC-20572_Connecticut_2022/05/10,"Keller, J.",Concurred with majority opinion.,concur
SC20246_Connecticut_2021/09/15,"PALMER, J.","Concurred, arguing that a warrantless canine sniff of a motel room door is a search requiring a warrant and a visual sweep was not justified by exigent circumstances.",concur
SC20246_Connecticut_2021/09/15,"Robinson, C. J.",Concurred with majority opinion.,concur
SC20246_Connecticut_2021/09/15,"McDonald, J.",Concurred with majority opinion.,concur
SC20246_Connecticut_2021/09/15,"D'Auria, J.",Concurred with majority opinion.,concur
SC20246_Connecticut_2021/09/15,"Mullins, J.",Concurred with majority opinion.,concur
SC20246_Connecticut_2021/09/15,"Kahn, J.",Concurred with majority opinion.,concur
SC20246_Connecticut_2021/09/15,"Ecker, J.",Concurred with majority opinion.,concur
SC-20195_Connecticut_2021/07/14,"PALMER, J.","Concurred, argued that ordering HIV testing based solely on a defendant being charged with a sexual offense violates the right to be free from unreasonable searches, and requires a finding that the testing provides useful, practical information to the victim that cannot reasonably be obtained otherwise.",concur
SC-20195_Connecticut_2021/07/14,"ROBINSON, C. J.",Concurred with majority opinion.,concur
SC-20195_Connecticut_2021/07/14,"MULLINS, J.",Concurred with majority opinion.,concur
SC-20195_Connecticut_2021/07/14,"KAHN, J.",Concurred with majority opinion.,concur
SC-20195_Connecticut_2021/07/14,"VERTEFEUILLE, J.",Concurred with majority opinion.,concur
SC-20195_Connecticut_2021/07/14,"MCDONALD, J.","Concurred in the judgment, but dissented from the majority's conclusion that § 54-102a (b) does not incorporate the rigorous standard of § 19a-582 (d) (8), arguing that statutory construction requires applying the 'clear and imminent danger' and 'compelling need' standard to involuntary HIV testing to ensure constitutionality and coherence.",concur
SC-20195_Connecticut_2021/07/14,"D'AURIA, J.","Concurred in the judgment, joining Judge McDonald's opinion.",concur
SC-20499_Connecticut_2021/06/17,"KELLER, J.","Concurred, arguing that the petitioner was not afforded the procedural protections required by Wolff, including the opportunity to call witnesses, adequate notice of information, and an impartial decision maker, thus violating his federal and state constitutional due process rights.",concur
SC-20499_Connecticut_2021/06/17,"Robinson, C. J.",Concurred with majority opinion.,concur
SC-20499_Connecticut_2021/06/17,"McDonald, J.",Concurred with majority opinion.,concur
SC-20499_Connecticut_2021/06/17,"Kahn, J.",Concurred with majority opinion.,concur
SC-20499_Connecticut_2021/06/17,"Ecker, J.",Concurred with majority opinion.,concur
SC20486_Connecticut_2021/02/11,"ROBINSON, C.J.","Concurred, delivered the majority opinion affirming the trial court's judgment.",concur
SC20486_Connecticut_2021/02/11,"Mullins, J.",Concurred with majority opinion.,concur
SC20486_Connecticut_2021/02/11,"Kahn, J.",Concurred with majority opinion.,concur
SC20486_Connecticut_2021/02/11,"Ecker, J.",Concurred with majority opinion.,concur
SC20486_Connecticut_2021/02/11,"Moll, J.",Concurred with majority opinion.,concur
