case_id,name,description,ruling
2024AP000126_Wisconsin_2026/04/10_10,"JILL J. KAROFSKY, C.J.","Concurred, argued that the legislature has the power to suspend common law causes of action, and when a cause of action is abrogated, the constitutional right to a jury trial does not attach.",concur
2022AP959-CR_Wisconsin_2025/06/27_76,"Rebecca Grassl Bradley, J.","Concurred, argued that Ramirez's constitutional speedy trial right was not violated because the 46-month delay was not presumptively prejudicial enough to warrant dismissal, especially given Ramirez's delay in asserting the right and lack of particularized prejudice.",concur
2022AP959-CR_Wisconsin_2025/06/27_76,"ZIEGLER, J.",Concurred with majority opinion.,concur
2022AP959-CR_Wisconsin_2025/06/27_76,"HAGEDORN, J.",Concurred with majority opinion.,concur
2022AP959-CR_Wisconsin_2025/06/27_76,"ANN WALSH Bradley, C.J.","Concurred, but argued that the majority's analytical shortcut and 'bright-line rule' for speedy trial delays are too exacting on defendants and could undermine the speedy trial guarantee, especially given systemic issues like lawyer shortages.",concur
2022AP959-CR_Wisconsin_2025/06/27_76,"JANET C. PROTASIEWICZ, J.","Concurred with Ann Walsh Bradley's opinion, arguing that the majority's approach is too exacting and could undermine speedy trial rights.",concur
2022AP959-CR_Wisconsin_2025/06/27_76,"Rebecca Frank Dallet, J.","Concurred, but disagreed with the tone and criticism in ¶37 and n.6 of the majority opinion, finding it unnecessarily dismissive and adversarial.",concur
2022AP959-CR_Wisconsin_2025/06/27_76,"Jill J. Karofsky, J.","Concurred, but disagreed with the tone and criticism in ¶37 and n.6 of the majority opinion, finding it unnecessarily dismissive and adversarial.",concur
2024AP1713_Wisconsin_2025/06/25_82,"REBECCA GRASSL BRADLEY, J.","Concurred, argued that the governor breached constitutional boundaries by partially vetoing a non-appropriation bill and that JCF did not improperly withhold funds appropriated to JCF.",concur
2022AP790_Wisconsin_2025/06/17_163,BRIAN HAGEDORN,"Concurred, argued that the statute requiring legislative approval for certain civil case settlements violates the Wisconsin Constitution's separation of powers by interfering with core executive functions.",concur
2024AP330-OA_Wisconsin_2025/07/02_177,ANNETTE KINGSLAND ZIEGLER,"Dissented, arguing that the court's decision to dismiss the original action follows the party line rather than the law.",dissent
2024AP330-OA_Wisconsin_2025/07/02_177,ANN WALSH BRADLEY,Dissented with majority opinion.,dissent
2024AP330-OA_Wisconsin_2025/07/02_177,REBECCA FRANK DALLET,Dissented with majority opinion.,dissent
2024AP330-OA_Wisconsin_2025/07/02_177,JILL KAROFSKY,Dissented with majority opinion.,dissent
2024AP330-OA_Wisconsin_2025/07/02_177,JANET C. PROTASIEWICZ,Dissented with majority opinion.,dissent
2024AP330-OA_Wisconsin_2025/07/02_177,REBECCA GRASSL BRADLEY,"Concurred, arguing that the original action petition should not have been granted in the first place, as she had previously dissented from granting it.",concur
2024AP330-OA_Wisconsin_2025/07/02_177,BRIAN HAGEDORN,"Concurred, arguing that the court should have dismissed or held the petition in abeyance, as the original action was improperly granted and its issues are addressed in a related case.",concur
2023AP002362_Wisconsin_2025/07/02_213,REBECCA FRANK DALLET,"Concurred, argued that comprehensive legislation enacted over the last 50 years thoroughly covers the subject of abortion and impliedly repealed the 19th-century near-total ban on abortion.",concur
2023AP002362_Wisconsin_2025/07/02_213,JILL J. KAROFSKY,"Concurred, argued that the decision shields women and children from brutal consequences of the statute, emphasizing the tragic real-world impact of severe abortion restrictions on health and personal dignity.",concur
2023AP002362_Wisconsin_2025/07/02_213,ANNETTE KINGSLAND ZIEGLER,"Dissented, argued that the majority's decision is an exercise of judicial will that usurps the legislature's role, fails to apply implied repeal correctly, and is driven by personal preference.",dissent
2023AP002362_Wisconsin_2025/07/02_213,REBECCA GRASSL BRADLEY,"Dissented, argued that the majority erases a law it dislikes, making the court more powerful than the legislature, and that the concurrence rewrites history and broadcasts false narratives.",dissent
2023AP002362_Wisconsin_2025/07/02_213,BRIAN K. HAGEDORN,"Dissented, argued that the court effectively deletes a law from the books, engaging in policymaking, and that the legislature clearly intended to preserve the 1849 statute as an enforceable abortion law.",dissent
2023AP002020---OA_Wisconsin_2025/07/08_218,"KAROFSKY, C.J.","Concurred, argued that the challenged statutes facially violate the Wisconsin Constitution's bicameralism and presentment requirements by allowing JCRAR to alter legal rights and duties outside the legislative branch without proper lawmaking procedures.",concur
2023AP002020---OA_Wisconsin_2025/07/08_218,"ANN WALSH BRADLEY, J.",Concurred with majority opinion.,concur
2023AP002020---OA_Wisconsin_2025/07/08_218,"DALLET, J.",Concurred with majority opinion.,concur
2023AP002020---OA_Wisconsin_2025/07/08_218,"PROTASIEWICZ, JJ.",Concurred with majority opinion.,concur
2023AP002020---OA_Wisconsin_2025/07/08_218,"HAGEDORN, J.","Concurred in part and dissented in part, argued that the court should have decided the case narrowly, finding JCRAR's indefinite objection to the commercial building code rule unconstitutional as applied, but not issuing a broad facial ruling on all statutes.",other
2023AP002020---OA_Wisconsin_2025/07/08_218,"ZIEGLER, J.","Dissented, argued that the majority's decision creates a constitutional imbalance by strictly confining legislative power while expanding executive power, overruling decades of precedent without proper constitutional analysis, and inconsistently applying constitutional principles.",dissent
