case_id,name,description,ruling
"248,2025_Delaware_2026/02/27",TRAYNOR,"Concurred, argued that SB 21 neither divests the Court of Chancery of its constitutionally derived equity jurisdiction nor impermissibly extinguishes any discernible vested right.",concur
"248,2025_Delaware_2026/02/27",SEITZ,Concurred with majority opinion.,concur
"248,2025_Delaware_2026/02/27",VALIHURA,Concurred with majority opinion.,concur
"248,2025_Delaware_2026/02/27",LEGROW,Concurred with majority opinion.,concur
"248,2025_Delaware_2026/02/27",GRIFFITHS,Concurred with majority opinion.,concur
"354,-2023_Delaware_2024/08/01","SEITZ, Chief Justice",Concurred with majority opinion.,concur
"354,-2023_Delaware_2024/08/01","VALIHURA, Justice",Concurred with majority opinion.,concur
"354,-2023_Delaware_2024/08/01","TRAYNOR, Justice",Concurred with majority opinion.,concur
"354,-2023_Delaware_2024/08/01","LEGROW, Justice","Concurred, arguing that the lower courts correctly dismissed the claims because the challenged restrictions were lifted, making injunctive relief unwarranted and declaratory judgment non-justiciable, and the Governor was immune from damages under the State Tort Claims Act and qualified immunity for discretionary actions taken during an unprecedented public health emergency.",concur
"354,-2023_Delaware_2024/08/01","GRIFFITHS, Justice",Concurred with majority opinion.,concur
"120,-2024_Delaware_2024/06/28","TRAYNOR, Justice","Concurred, argued that the plaintiffs lacked standing as neither a candidate, an election inspector, nor a registered voter could demonstrate a concrete, particularized, and imminent injury.",concur
"120,-2024_Delaware_2024/06/28","VALIHURA, J.","Concurred, argued that the plaintiffs lacked standing as a candidate and election inspector, but believed the majority's discussion of registered voter standing was unnecessary to resolve the case.",concur
"120,-2024_Delaware_2024/06/28","SEITZ, Chief Justice",Concurred with majority opinion.,concur
"120,-2024_Delaware_2024/06/28","LeGROW, Justice",Concurred with majority opinion.,concur
"120,-2024_Delaware_2024/06/28","GRIFFITHS, Justice",Concurred with majority opinion.,concur
"130,-144_Delaware_2023/08/30","TRAYNOR, JUSTICE","Concurred, argued that the Delaware bail system is constitutional under federal and state law, provided that unaffordable cash bail for dangerous defendants is supported by clear and convincing evidence and procedural protections are observed, and that the state constitution's ""sufficient sureties"" clause does not require bail to be affordable.",concur
"130,-144_Delaware_2023/08/30","SEITZ, Chief Justice",Concurred with majority opinion.,concur
"130,-144_Delaware_2023/08/30","VALIHURA, Justice",Concurred with majority opinion.,concur
"130,-144_Delaware_2023/08/30","GRIFFITHS, Justice",Concurred with majority opinion.,concur
"130,-144_Delaware_2023/08/30","NEWELL, Chief Judge",Concurred with majority opinion.,concur
"342,-2022_Delaware_2022/12/13","TRAYNOR, Justice","Concurred, arguing that the Vote-by-Mail Statute unconstitutionally expands absentee voting categories beyond those specified in Section 4A, and the Same-Day Registration Statute conflicts with Section 4's mandated registration deadlines and appeal processes.",concur
"342,-2022_Delaware_2022/12/13","SEITZ, Chief Justice",Concurred with majority opinion.,concur
"342,-2022_Delaware_2022/12/13","VALIHURA, Justice",Concurred with majority opinion.,concur
"342,-2022_Delaware_2022/12/13","VAUGHN, Justice",Concurred with majority opinion.,concur
"342,-2022_Delaware_2022/12/13","JURDEN, President Judge",Concurred with majority opinion.,concur
