case_id,docket_no,title,state,date,type,opinion_link,description,plaintiff_argument,defendant_argument,decision_outcome,decision_winner,environment,consumers,reproductive_rights,democratic_norms,free_press,public_health,separation_church_state,voting_access,public_education,free_speech,privacy,worker_rights
2025-O-00879_Louisiana_2025/10/24,2025-O-00879,In re Judge Jennifer Medley,Louisiana,2025-10-24,Judicial Selection and Administration,https://statecourtreport.org/sites/default/files/2025-10/supreme_court_of_louisiana-opinion.pdf,Whether Judge Jennifer M. Medley violated judicial conduct rules and campaign finance laws by making false statements in campaign ads and failing to report campaign expenditures.,The Judiciary Commission argued Judge Medley violated judicial conduct canons and the state constitution by making false and misleading campaign statements and failing to report campaign expenditures.,"Judge Medley argued her campaign speech was protected by the First Amendment, her statements were not knowingly false, and her failure to report expenditures was unintentional, also challenging the Commission's jurisdiction over campaign finance.","The court ordered Judge Jennifer M. Medley to be suspended from office without pay for thirty days and to reimburse the Judiciary Commission $2,747.41 for costs, finding violations for false campaign statements and unreported expenditures.",plaintiff,NA,NA,NA,protected,NA,NA,NA,NA,NA,NA,NA,NA
2024-KK-00737_Louisiana_2025/05/09,2024-KK-00737,State v. Davieontray Breax,Louisiana,2025-05-09,Criminal Law,https://statecourtreport.org/sites/default/files/2025-05/supreme_court_of_louisiana-opinion.pdf,Whether prosecutors may join capital felony charges with other felony charges in an indictment.,"The State argued that capital and non-capital felony charges can be joined because the 'same mode of trial' refers only to the number of jurors and concurrence required, and this distinction no longer exists after recent legal changes.","The Defendant argued that capital and non-capital felony charges cannot be joined because they are not triable by the 'same mode of trial,' which encompasses more than just jury composition and verdict concurrence, and that long-standing jurisprudence prohibits such joinder.","The court reversed the trial court's decision, quashed the indictment, and remanded the case, ruling that prosecutors are prohibited from joining capital felony charges with other felony charges.",defendant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2024-CA-00995,-2024-CA-00996_Louisiana_2025/03/21","2024-CA-00995, 2024-CA-00996","Fremin v. Boyd Racing, LLC",Louisiana,2025-03-21,Civil Rights,https://statecourtreport.org/sites/default/files/fastcase/converted/Fremin%20v.%20Boyd%20Racing%2C%20LLC%2C%20La.%202024-CA-00995.pdf,"Whether Act 437, which legalized historical horse racing without requiring voter approval, is unconstitutional because historical horse racing constitutes a new form of gaming that requires prior voter approval under the Louisiana Constitution.","Historical horse racing is a new form of gaming not authorized before October 15, 1996, and therefore requires voter approval as mandated by the Louisiana Constitution, making Act 437 unconstitutional without such approval.","Historical horse racing is not a new form of gaming but rather a new technology for an existing, authorized form of pari-mutuel wagering, and thus does not require voter approval; the judiciary should defer to the legislature's authority to define and regulate gambling.","The court affirmed the district court's judgment, declaring Act 437 unconstitutional because historical horse racing is a new form of gaming that requires local voter approval.",plaintiff,NA,NA,NA,protected,NA,NA,NA,protected,NA,NA,NA,NA
2024-CC-00899_Louisiana_2025/03/21,2024-CC-00899,Welch v. United Medical Healthwest-New Orleans,Louisiana,2025-03-21,Voting Rights and Elections,https://statecourtreport.org/sites/default/files/fastcase/converted/Welch%20v.%20United%20Med.%20Health%20We%20St-New%20Orleans%20LLC%2C%20La.%202024-CC-00899.pdf,"Whether La. R.S. 29:771(B)(2)(c)(i), which provides a gross negligence standard for civil liability of health care providers during a declared public health emergency, is constitutional.","Welch argued the statute is unconstitutional because it violates due process and adequate remedy provisions of the Louisiana Constitution, is overbroad, leads to absurd consequences, and is a prohibited special law.","United Medical argued the statute is constitutional and that Welch's petition failed to state a cause of action under the gross negligence standard, which the attorney general supported.","The court affirmed the trial court's denial of Welch's motion to declare La. R.S. 29:771(B)(2)(c)(i) unconstitutional, finding it rationally related to a legitimate government interest.",defendant,NA,NA,NA,NA,NA,protected,NA,NA,NA,NA,NA,NA
2024-CD-00359_Louisiana_2024/10/25,2024-CD-00359,Fisher v. Harter,Louisiana,2024-10-25,Government Structure,https://statecourtreport.org/sites/default/files/2024-11/louisiana_supreme_court-opinion.pdf,"Whether La. R.S. 13:4163, which grants peremptory continuances to legislators and legislative employees, is unconstitutional as it usurps judicial power and violates the separation of powers.","The plaintiff argued that La. R.S. 13:4163 is unconstitutional on its face and as applied, violating separation of powers, individual dignity/equal protection, access to courts, and due process by allowing legislators to unilaterally delay court proceedings indefinitely, thereby stripping courts of their discretion and constitutional authority.","The district court (upholding the statute) and the Attorney General argued that La. R.S. 13:4163 is constitutional, serves a legitimate governmental interest by allowing legislators to focus on their duties, does not violate separation of powers, and does not deprive parties of fundamental rights.","The Supreme Court reversed the district court's decision, declared La. R.S. 13:4163 unconstitutional on its face, and remanded the case for a contradictory hearing on contested motions for continuance.",plaintiff,NA,NA,NA,protected,NA,NA,NA,NA,NA,NA,NA,NA
2024-KK-00564_Louisiana_2023/05/02,2024-KK-00564,State v. Thompson,Louisiana,2023-05-02,Criminal Law,https://statecourtreport.org/sites/default/files/fastcase/converted/State%20v.%20Thompson%2C%20La.%202022-KH-01391.pdf,"Whether Charles Ray Thompson received ineffective assistance of counsel during his habitual offender sentencing, leading to an unconstitutionally excessive mandatory life sentence.","Thompson's counsel was ineffective for failing to challenge the excessive mandatory life sentence and present mitigating evidence, resulting in an excessive sentence.","Thompson failed to prove that his counsel's performance prejudiced him, and the sentence was not excessive enough to warrant a downward departure, as he did not demonstrate ""exceptional"" circumstances.","The court reversed the trial court's denial of post-conviction relief, vacated Mr. Thompson's life sentence, and remanded the case for resentencing to a term of imprisonment that is not unconstitutionally excessive.",plaintiff,NA,NA,NA,protected,NA,NA,NA,NA,NA,NA,NA,NA
2024-C-00055_Louisiana_2024/06/28,2024-C-00055,Watson Memorial Spiritual Temple of Christ v. Korban,Louisiana,2024-06-28,Government Structure,https://statecourtreport.org/sites/default/files/fastcase/converted/Watson%20Mem%27l%20Spiritual%20Temple%20of%20Christ%20v.%20Korban%2C%20La.%202024-C-00055.pdf,"Whether a money judgment based on inverse condemnation under the Louisiana Constitution can be enforced via a mandamus action, and whether the matter is barred by res judicata.","The plaintiffs argued that the damages awarded for inverse condemnation were a just compensation award, and the constitutional duty to pay this compensation is a ministerial duty that courts can compel via a writ of mandamus.","The defendant argued that the matter was barred by res judicata due to prior federal litigation seeking identical relief, and that courts cannot order appropriation of funds through mandamus as that power is reserved to the legislature.","The appellate court's ruling was affirmed, holding that the mandamus suit was not barred by res judicata and that payment of a money judgment for inverse condemnation is a ministerial duty enforceable via mandamus. The matter was remanded to the district court for further proceedings.",plaintiff,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-CC-01194_Louisiana_2024/06/12,2023-CC-01194,Bienvenu v. Defendant 1,Louisiana,2024-06-12,Torts and Liability,https://statecourtreport.org/sites/default/files/2024-12/louisiana_supreme_court-opinion.pdf,"Whether the legislature has the authority, consistent with the due process guarantee of the Louisiana constitution, to revive a prescribed cause of action for sexual abuse of a minor.","The plaintiffs argue that the legislature has the authority to retroactively revive prescribed claims for child sexual abuse, and that the defendants' right to claim liberative prescription is not an absolute vested right that cannot be divested by due process.","The defendants argue that the legislature does not have the authority to retroactively apply the amended statute, as it would unconstitutionally divest them of a vested property right to claim the accrued defense of liberative prescription.","The court vacated its original decree, affirmed the district court's judgment that the revival provisions of Acts 322 and 386 are constitutional and apply retroactively to revive all causes of action related to sexual abuse of a minor that previously prescribed, and remanded the case.",plaintiff,NA,NA,NA,protected,NA,protected,NA,NA,NA,NA,NA,NA
2023-CC-01194_Louisiana_2024/03/22,2023-CC-01194,Bienvenu v. Defendant 1,Louisiana,2024-03-22,Criminal Law,https://statecourtreport.org/sites/default/files/fastcase/converted/Bienvenu%20v.%20Defendant%201%2C%20La.%202023-CC-01194.pdf,"Whether the retroactivity provisions of Act 322, as interpreted by Act 386, which revive certain prescribed child sex abuse claims for a limited three-year period, are constitutional under the due process protections of the Louisiana Constitution.","The plaintiffs argued that the statutory enactment, as amended by the revival provisions, was constitutional and that the right to claim liberative prescription is not a vested right, or if it is, the revival provisions are still constitutional.","The defendants argued that the revival provisions are unconstitutional because the right to plead accrued prescription is a vested property right protected by constitutional due process guarantees, which cannot be divested by the legislature.","The court reversed the trial court's judgment, finding that the statutory enactment reviving prescribed claims for child sex abuse was unconstitutional as it violated due process protections by disturbing defendants' vested property rights, and remanded the case for further proceedings.",defendant,NA,NA,NA,protected,NA,infringed,NA,NA,NA,NA,NA,NA
2022-CC-01713_Louisiana_2023/09/08,2022-CC-01713,Mellor v. Jefferson Parish,Louisiana,2023-09-08,Government Structure,https://statecourtreport.org/sites/default/files/fastcase/converted/Mellor%20v.%20The%20Par.%20of%20Jefferson%2C%20La.%202022-CC-01713.pdf,Whether a trial court's order for government entities to remit funds collected under an unconstitutional ordinance into the court's registry violates constitutional provisions regarding the seizure of public funds and the separation of powers.,"The plaintiffs argued that the trial court's order was proper as they were owed just compensation for unconstitutionally taken property, and the collected funds were not ""public funds"" subject to seizure under relevant constitutional and statutory provisions.","The defendants argued that the trial court's order to remit funds violated constitutional and statutory provisions because the collected fines were ""public funds"" not subject to seizure, and the order unconstitutionally forced an appropriation by government entities, encroaching on legislative power.","The court affirmed the lower court's finding that the June 30, 2022 judgment was interlocutory and not final, and that the defendants' appeal was untimely. However, the court vacated the trial court's order requiring the defendants to remit $2,780,232.02 into the court's registry, finding it violated constitutional provisions regarding public funds and separation of powers. The case was remanded for further proceedings.",defendant,NA,NA,NA,protected,NA,NA,NA,NA,NA,NA,NA,NA
