case_id,docket_no,title,state,date,type,opinion_link,description,plaintiff_argument,defendant_argument,decision_outcome,decision_winner,environment,consumers,reproductive_rights,democratic_norms,free_press,public_health,separation_church_state,voting_access,public_education,free_speech,privacy,worker_rights
SCWC-19-0000776_Hawaii_2025/09/17,SCWC-19-0000776,Maunalua Bay Beach Ohana 28 v. State,Hawaii,2025-09-17,Government Structure,https://statecourtreport.org/sites/default/files/fastcase/converted/Maunalua%20Bay%20Beach%20Ohana%2028%20v.%20State%2C%20Haw.%20SCWC-19-0000776.pdf,Whether the circuit court erred in awarding zero dollars in just compensation for the temporary taking of accreted lands and in denying attorneys' fees under the private attorney general doctrine.,The Ohanas argued they were entitled to more than zero dollars in just compensation (including nominal damages) for the temporary taking of their accreted lands and to attorneys' fees under the private attorney general doctrine for vindicating constitutional rights and causing the repeal of an unconstitutional statute.,"The State of Hawai'i argued that zero dollars was appropriate just compensation because the accreted land had no fair market rental value, and that attorneys' fees were barred by sovereign immunity.","The Supreme Court of Hawaii affirmed the circuit court's decision, holding that zero dollars was the correct amount for just compensation for the temporary taking and that attorneys' fees were barred by sovereign immunity.",defendant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SCWC-23-0000388_Hawaii_2025/09/16,SCWC-23-0000388,State v. Spies,Hawaii,2025-09-16,Criminal Law,https://statecourtreport.org/sites/default/files/fastcase/converted/State%20v.%20Spies%2C%20Haw.%20SCWC-23-0000388.pdf,Whether Spies's conviction should be vacated due to insufficient foundation for scientific drug test results and unlawful detention leading to inadmissible incriminating statements.,"The State argued that the Intermediate Court of Appeals (ICA) erred in vacating the conviction, asserting that sufficient foundation was laid for expert testimony and that Spies's detention and statements were lawful.","Spies argued that the ICA correctly vacated his conviction due to insufficient foundation for the drug test results and that his detention was unlawful, making his incriminating statements inadmissible.","The Supreme Court reversed the ICA's judgment and affirmed Spies's conviction, finding that the State laid a proper foundation for the expert testimony and that Spies's detention and initial incriminating statement were lawful, while subsequent statements, though obtained in violation of Miranda, were harmless error.",plaintiff,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,protected,NA
SCWC-17-0000806_Hawaii_2025/06/13,SCWC-17-0000806,Winn v. Brady,Hawaii,2025-06-13,Economic and Labor Rights,https://statecourtreport.org/sites/default/files/fastcase/converted/Winn%20v.%20Brady%2C%20Haw.%20SCWC-17-0000806.pdf,"Whether a recorded judgment lien constitutes a constitutionally protected property interest requiring personal notice for junior lienholders before an execution sale, and whether this new rule should apply retroactively or prospectively.","The Winn parties, as junior judgment lienholders, held a constitutionally protected property interest and were deprived of due process when their lien was extinguished without personal or actual notice of the execution sale, as notice by publication was insufficient.","The Spences argued that the execution sale was not a state action, thus not implicating due process rights, and that a judgment lien does not create a protected property interest. They contended that notice by publication, as per HRS § 651-43, was sufficient.","The court affirmed that a junior judgment lienholder with a recorded judgment is entitled to constitutional due process notice, including personal notice for the Winn parties. However, the court reversed the Intermediate Court of Appeals' decision to apply this rule to the instant case, holding that the new rule shall apply prospectively only to writs of execution filed after the date of this opinion.",defendant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SCWC-23-0000376_Hawaii_2025/09/17,SCWC-23-0000376,Hawaii v. Zuffante,Hawaii,2025-09-17,Civil Due Process,https://statecourtreport.org/sites/default/files/2025-09/supreme_court_of_hawaii-opinion_0.pdf,"Whether the Hawaiʻi Constitution's due process clause requires law enforcement to record custodial interrogations, both in-station and, when feasible, outside the station, with the plaintiff arguing against such a requirement and the defendant arguing for it.",The State of Hawaiʻi argued that existing precedent (Kekona) did not require recording and that current times did not warrant overturning that rule.,"Charles Zuffante argued that the lack of recording undermined his right against self-incrimination and a fair trial, urging the court to adopt a recording requirement.","The court held that the Hawaiʻi Constitution's due process clause requires law enforcement to record all in-station custodial interrogations and, when feasible, all outside-the-station custodial interrogations, overruling State v. Kekona. The lower court's judgment and sentence against Zuffante were vacated, and the case was remanded.",defendant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SCPW-17-0000927;-21908_Hawaii_2018/06/05,SCPW-17-0000927; 21908,Grube v. Trader; State v. Rogan,Hawaii,2018-06-05,Speech and Religion,https://statecourtreport.org/sites/default/files/2025-11/supreme_court_of_hawaii-opinion_0.pdf,Whether the circuit court erred in sealing judicial records related to a criminal proceeding and in requiring a reporter to retain counsel to assert his constitutional right of public access to those records.,"Grube argued that the circuit court failed to meet the procedural and substantive requirements for sealing records, and that he had a personal constitutional right to represent himself pro se in asserting public access to judicial records.","The State argued that the circuit court properly identified a compelling interest in preserving ongoing investigations, that the sealing order was narrowly tailored, and that Grube, as a non-attorney, could not represent Civil Beat's interests.","The court granted Grube's petition for a writ of mandamus, ordering the circuit court to unseal the documents (unless the State requests a hearing to provide additional evidence within ten days) and permitting Grube to represent himself pro se in further proceedings. The court denied the writ of prohibition as unnecessary.",plaintiff,NA,NA,NA,protected,protected,NA,NA,NA,NA,protected,NA,NA
23-0000310_Hawaii_2025/09/12,23-0000310,Hilo Bay Marina v. State of Hawaii,Hawaii,2025-09-12,Speech and Religion,https://statecourtreport.org/sites/default/files/2025-09/supreme_court_of_hawaii-concurring_opinion.pdf,"Whether a state deed restriction requiring land use for ""church purposes only"" violates the Hawaiʻi Constitution's Establishment Clause, with the plaintiff arguing it constitutes state action advancing religion and the defendant arguing for alignment with federal First Amendment interpretations allowing more religious accommodation.","The deed restriction requiring land use for ""church purposes only"" constitutes state action that advances religion and violates Hawaiʻi’s Establishment Clause, which mandates a strict separation of church and state.","The Hawaiʻi Constitution's Establishment Clause should be interpreted co-extensively with the federal First Amendment, and recent U.S. Supreme Court rulings (like Kennedy) allow for greater accommodation of religion, making the deed restriction permissible.","The court ruled that the Circuit Court erred in granting summary judgment to the State and that summary judgment is warranted for Hilo Bay, indicating the deed restriction is a violation of the Establishment Clause.",plaintiff,NA,NA,NA,protected,NA,NA,protected,NA,protected,NA,NA,NA
SCWC-18-0000941_Hawaii_2025/06/17,SCWC-18-0000941,Foresman v. Foresman,Hawaii,2025-06-17,Judicial Interpretation,https://statecourtreport.org/sites/default/files/2025-11/supreme_court_of_hawaii-opinion.pdf,Whether HRS § 657-1.8(a) violates the ex post facto clause of the U.S. Constitution and whether the Circuit Court should have instructed the jury on criminal statutes in effect at the time of the alleged sexual abuse rather than when the complaint was filed.,"HRS § 657-1.8 is constitutional, and any error in jury instructions was harmless because the defendant's admitted conduct would have constituted a criminal offense under statutes in effect at the time of the acts.","HRS § 657-1.8(a) is unconstitutional as it violates the ex post facto clause by imposing civil liability for acts not criminal when committed, and the Circuit Court erred by using subsequently enacted criminal statutes for jury instructions.","The court affirmed the Intermediate Court of Appeals' judgment, which upheld the Circuit Court's final judgment, finding that while the jury instructions were erroneous, the error was harmless given the defendant's admissions.",plaintiff,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SCWC-23-0000185_Hawaii_2024/10/17,SCWC-23-0000185,State v. Hoffman,Hawaii,2024-10-17,Criminal Law,https://statecourtreport.org/sites/default/files/2024-11/supreme_court_of_hawaii-opinion.pdf,"Whether a defendant's un-Mirandized statements, made in response to police words or conduct ""normally attendant to arrest and custody,"" are admissible if those words or conduct were reasonably likely to elicit an incriminating response, thus constituting ""interrogation"" under the Hawaiʻi State Constitution.","Hoffman argued that an officer's conduct and statements ""normally attendant to arrest and custody"" could still constitute interrogation, triggering Miranda warnings, if they were reasonably likely to elicit an incriminating response.","The State argued that Hoffman's statements were made in response to Officer Tavares's statements or actions ""normally attendant to arrest and custody"" and therefore did not constitute ""interrogation,"" making them admissible without Miranda warnings.","The court vacated in part the ICA's judgment and the circuit court's order, holding that some of Hoffman's un-Mirandized statements were made in response to interrogation and should be suppressed, while others were not and are admissible, based on whether the officer's words or conduct were reasonably likely to elicit an incriminating response.",other,NA,NA,NA,NA,NA,NA,NA,NA,NA,protected,NA,NA
SCOT-21-0000581_Hawaii_2024/06/20,SCOT-21-0000581,Surface Water Use Permit Applications,Hawaii,2024-06-20,Government Structure,https://statecourtreport.org/sites/default/files/fastcase/converted/Surface%20Water%20Use%20Permit%20Applications%2C%20Haw.%20SCOT-21-0000581.pdf,"Whether the Commission on Water Resource Management's decisions regarding instream flow standards and surface water use permits for Nā Wai 'Ehā complied with constitutional and statutory mandates, protected Native Hawaiian rights, and avoided unlawful delegation of authority.","The appellants (MMK, Hui/MTF, OHA, Mahi Pono, WWC) argued that the Commission failed to restore stream flows, did not justify its IIFS decisions, unlawfully delegated public trust duties, and violated due process rights in water allocations.","The Commission contended that it properly set the IIFS, made reasonable water allocations, did not violate due process rights, and did not unlawfully delegate its authority.","The court vacated and remanded the Commission's decision regarding the Interim Instream Flow Standards (IIFS) and the unlawful delegation of public trust duties, but affirmed the Commission's decisions on MMK's water allocation, Mahi Pono's due process rights, WWC's due process rights, and the Public Utilities Commission's jurisdiction.",other,protected,protected,NA,protected,NA,protected,NA,NA,NA,NA,NA,NA
23-0000063_Hawaii_2024/06/04,23-0000063,State v. Tran,Hawaii,2024-06-04,Criminal Law,https://statecourtreport.org/sites/default/files/fastcase/converted/State%20v.%20Tran%2C%20Haw.%20SCAP-23-0000063.pdf,Whether Hawai'i's statute on continuous sexual assault of a minor and its related constitutional provision violate the U.S. Constitution's Sixth and Fourteenth Amendments regarding jury unanimity on specific predicate acts and the sufficiency of the indictment.,"The State argued that the circuit court erred in dismissing the indictment, that the Motta/Wells liberal construction standard should apply, and that the state's constitutional and statutory provisions do not violate the U.S. Constitution's Sixth and Fourteenth Amendments regarding jury unanimity on specific predicate acts.","Tran argued that the state's constitutional and statutory provisions are unconstitutional under Ramos v. Louisiana because they permit non-unanimous jury verdicts on specific acts, and that the indictment was insufficiently specific under Jardine, thus violating his Sixth and Fourteenth Amendment rights, and should have been dismissed with prejudice.","The court vacated the circuit court's order granting in part and denying in part Tran's motion to dismiss, affirmed the circuit court's denial of Tran's supplemented new trial motion, and remanded the case for further proceedings.",plaintiff,NA,NA,NA,protected,NA,protected,NA,NA,NA,NA,NA,NA
