case_id,name,description,ruling
113_New-York_2026/02/19,"HALLIGAN, J.","Concurred, argued that the defendant's arrest was an unlawful ""constructive entry"" violating Payton and the State Constitution, and that the Appellate Division must re-evaluate the voluntariness of the third-party consent using the correct legal standard for the weapon possession charge.",concur
113_New-York_2026/02/19,Chief Judge Wilson,Concurred with majority opinion.,concur
113_New-York_2026/02/19,Judge Rivera,Concurred with majority opinion.,concur
113_New-York_2026/02/19,Judge Troutman,Concurred with majority opinion.,concur
113_New-York_2026/02/19,"SINGAS, J.","Dissented, argued that the Appellate Division correctly found the tenant's consent voluntary, that attenuation analysis is not applicable to third-party consent following a Payton violation, and that the majority's new ""constructive entry"" rule and State Constitution analysis are unpreserved and legally unsound.",dissent
113_New-York_2026/02/19,Judge Garcia,Dissented with Judge Singas's opinion.,dissent
113_New-York_2026/02/19,Judge Cannataro,Dissented with Judge Singas's opinion.,dissent
84_New-York_2025/11/20,"WILSON, Chief Judge","Concurred, argued that political subdivisions generally lack the capacity to challenge state laws, and Newburgh failed to meet the narrow 'dilemma' exception for facial constitutional challenges.",concur
84_New-York_2025/11/20,Judge Rivera,Concurred with majority opinion.,concur
84_New-York_2025/11/20,Judge Singas,Concurred with majority opinion.,concur
84_New-York_2025/11/20,Judge Cannataro,Concurred with majority opinion.,concur
84_New-York_2025/11/20,Judge Troutman,Concurred with majority opinion.,concur
84_New-York_2025/11/20,Judge Kern,Concurred with majority opinion.,concur
84_New-York_2025/11/20,Judge Kennedy,Concurred with majority opinion.,concur
84_New-York_2025/11/20,Judge Garcia,Took no part.,other
84_New-York_2025/11/20,Judge Halligan,Took no part.,other
95_New-York_2025/11/20,"TROUTMAN, J.","Concurred, argued that a defendant can forfeit the constitutional right to a trial by a jury of 12 through egregious misconduct, especially when no alternate jurors are available and the misconduct affects a deliberating juror, thereby protecting the integrity of the justice system.",concur
95_New-York_2025/11/20,Chief Judge Wilson,Concurred with majority opinion.,concur
95_New-York_2025/11/20,Judge Rivera,Concurred with majority opinion.,concur
95_New-York_2025/11/20,Judge Garcia,Concurred with majority opinion.,concur
95_New-York_2025/11/20,Judge Singas,Concurred with majority opinion.,concur
95_New-York_2025/11/20,Judge Cannataro,Concurred with majority opinion.,concur
95_New-York_2025/11/20,Judge Halligan,Concurred with majority opinion.,concur
66_New-York_2025/10/16,"GARCIA, J.","Concurred, argued that Article IX of the State Constitution does not expressly or implicitly limit the legislature's plenary authority to mandate the timing of certain elections, and therefore the Even Year Election Law is a proper exercise of that authority.",concur
66_New-York_2025/10/16,Chief Judge Wilson,Concurred with majority opinion.,concur
66_New-York_2025/10/16,Judge Rivera,Concurred with majority opinion.,concur
66_New-York_2025/10/16,Judge Singas,Concurred with majority opinion.,concur
66_New-York_2025/10/16,Judge Cannataro,Concurred with majority opinion.,concur
66_New-York_2025/10/16,Judge Troutman,Concurred with majority opinion.,concur
