case_id,name,description,ruling
31131_South-Dakota_2026/04/22,GUSINSKY,"Concurred, argued that law enforcement officers qualify as victims under Marsy's Law and are entitled to request redaction of their names and initials from public filings, but a balancing test is required against other constitutional rights.",concur
31131_South-Dakota_2026/04/22,"JENSEN, Chief Justice",Concurred with majority opinion,concur
31131_South-Dakota_2026/04/22,SALTER,Concurred with majority opinion,concur
31131_South-Dakota_2026/04/22,DEVANEY,Concurred with majority opinion,concur
31131_South-Dakota_2026/04/22,MYREN,Concurred with majority opinion,concur
31355_South-Dakota_2026/02/18,Steven R. Jensen,Concurred with majority opinion.,concur
31355_South-Dakota_2026/02/18,Mark E. Salter,Concurred with majority opinion.,concur
31355_South-Dakota_2026/02/18,Patricia J. DeVaney,Concurred with majority opinion.,concur
31355_South-Dakota_2026/02/18,Scott P. Myren,Concurred with majority opinion.,concur
31355_South-Dakota_2026/02/18,Robert Gusinsky,Concurred with majority opinion.,concur
30400-r-JMK_South-Dakota_2025/03/05,"KERN, JUSTICE","Concurred, argued that the jury district combining Buffalo and Brule Counties did not violate the state or federal constitutions regarding a fair cross-section of the community or the ""county or district"" requirement.",concur
30400-r-JMK_South-Dakota_2025/03/05,"DEVANEY, Justice",Concurred with majority opinion.,concur
30400-r-JMK_South-Dakota_2025/03/05,"MYREN, Justice",Concurred with majority opinion.,concur
30400-r-JMK_South-Dakota_2025/03/05,"HENDRICKSON, Circuit Court Judge",Concurred with majority opinion.,concur
30400-r-JMK_South-Dakota_2025/03/05,"SALTER, Justice","Concurred, argued that the court should reach the merits of the case despite the unusual procedural posture regarding defaulted habeas claims, reserving the procedural default issue for future consideration.",concur
30343-r-PJD_South-Dakota_2024/11/13,"DEVANEY, Justice","Concurred, argued that the circuit court erred by not applying the Nixon factors to the subpoena duces tecum and that E.H. did not waive her right to privacy, as the subpoena lacked the necessary specificity.",concur
30343-r-PJD_South-Dakota_2024/11/13,"JENSEN, Chief Justice",Concurred with majority opinion.,concur
30343-r-PJD_South-Dakota_2024/11/13,"KERN, Justice",Concurred with majority opinion.,concur
30343-r-PJD_South-Dakota_2024/11/13,"SALTER, Justice",Concurred with majority opinion.,concur
30343-r-PJD_South-Dakota_2024/11/13,"MYREN, Justice",Concurred with majority opinion.,concur
30488_South-Dakota_2024/02/09,"SALTER, Justice","Concurred, argued that the court's prior decisions in Asphalt Surfacing and Pitts were incorrect because general appropriation bills do not authorize specific contracts, and overruling them provides a more textually sound and workable interpretation of Article III, § 12.",concur
30488_South-Dakota_2024/02/09,"JENSEN, Chief Justice",Concurred with majority opinion.,concur
30488_South-Dakota_2024/02/09,"DEVANEY, Justice",Concurred with majority opinion.,concur
30488_South-Dakota_2024/02/09,"MYREN, Justice",Concurred with majority opinion.,concur
30488_South-Dakota_2024/02/09,"KERN, Justice","Dissented, argued that the majority opinion wrongly overrules established precedent by exempting general appropriations from Article III, § 12, disregards constitutional text, and creates uncertainty regarding the definition of ""interested"" in contracts, also questioning if the Governor's request truly implicated executive power.",dissent
30488_South-Dakota_2024/02/09_1,"SALTER, Justice","Concurred, argued that general appropriation bills only allocate money and do not authorize specific contracts, thus overruling prior precedent that broadly prohibited legislators from contracts funded by such bills.",concur
30488_South-Dakota_2024/02/09_1,"JENSEN, Chief Justice",Concurred with majority opinion.,concur
30488_South-Dakota_2024/02/09_1,"DEVANEY, Justice",Concurred with majority opinion.,concur
30488_South-Dakota_2024/02/09_1,"MYREN, Justice",Concurred with majority opinion.,concur
30488_South-Dakota_2024/02/09_1,"KERN, Justice","Dissented, argued that the majority opinion wrongly overrules established precedent by exempting general appropriations from Article III, § 12, which disregards constitutional text and may be difficult to interpret, and that the original public meaning of 'any law' includes general appropriations.",dissent
"29546,-29547_South-Dakota_2021/11/24","JENSEN, Chief Justice",Concurred with majority opinion,concur
"29546,-29547_South-Dakota_2021/11/24","KERN, Justice",Concurred with majority opinion,concur
"29546,-29547_South-Dakota_2021/11/24","DEVANEY, Justice",Concurred with majority opinion,concur
"29546,-29547_South-Dakota_2021/11/24","SALTER, Justice","Concurred specially, arguing that while Amendment A violated the single-subject rule, the court should leave open the question of whether such a violation always renders an entire amendment void, suggesting separability might be appropriate in some cases.",concur
"29546,-29547_South-Dakota_2021/11/24","MYREN, Justice","Dissented in part, arguing that Amendment A contained a single subject because its propositions were incidental to and necessarily connected with the comprehensive plan for legalizing, regulating, and taxing marijuana and related substances, and therefore did not violate Article XXIII, § 1.",dissent
28671_South-Dakota_2021/02/10,"JENSEN, Chief Justice","Concurred in part and dissented in part. Argued that property damage from police power is not a compensable taking, and that the unlawful entry claim should proceed. Dissented from dismissing the excessive force claim.",concur
28671_South-Dakota_2021/02/10,"KERN, Justice",Concurred in part and dissented in part. Agreed that property damage from police power is not a compensable taking and that the unlawful entry claim should proceed. Dissented from dismissing the excessive force claim.,concur
28671_South-Dakota_2021/02/10,"SALTER, Justice",Concurred with the majority opinion on all issues.,concur
28671_South-Dakota_2021/02/10,"DEVANEY, Justice",Concurred in part and dissented in part. Agreed that property damage from police power is not a compensable taking and that the unlawful entry claim should proceed. Dissented from dismissing the excessive force claim.,concur
28671_South-Dakota_2021/02/10,"GILBERTSON, Retired Chief Justice","Concurred in part and dissented in part. Agreed that property damage from police power is not a compensable taking. Dissented on the unlawful entry claim, arguing that qualified immunity should have been decided as a matter of law by the circuit court.",dissent
28671_South-Dakota_2021/02/10,"MYREN, Justice",Did not participate in the case.,other
