case_id,name,description,ruling
A22-1579_Minnesota_2026/04/15_1,"Hennesy, J.","Concurred, argued that the Minnesota Constitution provides a reasonable expectation of privacy in cell phone location data, requiring a warrant, and while geofence warrants are not per se unconstitutional and probable cause existed, this specific warrant failed the particularity requirement due to unchecked police discretion in step two.",concur
A22-1579_Minnesota_2026/04/15_1,"Hudson, C.J.","Concurred, argued that the court should have stayed the case pending the Supreme Court's decision in Chatrie but joined the majority opinion otherwise.",concur
A22-1579_Minnesota_2026/04/15_1,"McKeig, J.","Dissented, argued that the court should have waited for the Supreme Court's guidance in Chatrie and that the majority failed to establish an adequate and independent state ground for its decision, relying too heavily on federal precedent.",dissent
A22-1579_Minnesota_2026/04/15_1,"Moore, III, J.","Dissented, argued that he joined in the dissent of Justice McKeig.",dissent
A22-1579_Minnesota_2026/04/15_1,"Gaïtas, J.","Other, argued that she took no part in the consideration or decision of this case.",other
A23-1544_Minnesota_2025/12/24_9,"Moore, III, J.","Concurred, argued that the punishment for unemployment benefit misrepresentation is not grossly disproportional to the offense and therefore does not violate the Excessive Fines Clauses.",concur
A23-1544_Minnesota_2025/12/24_9,"Hennesy, Justice","Dissented, argued that courts must consider a person's ability to pay a fine when analyzing claims under the Excessive Fines Clause and that the case should be remanded to develop an evidentiary record on Thigpen's ability to pay.",dissent
A23-1544_Minnesota_2025/12/24_9,"Procaccini, Justice","Dissented, joined Justice Hennesy's dissent regarding the Minnesota Constitution's Excessive Fines Clause requiring consideration of an individual's ability to pay and that remand is appropriate.",dissent
A24-0507_Minnesota_2025/06/25_81,"HUDSON, Chief Justice","Concurred, argued that the 2024 amendment to attorney fee caps does not apply retroactively, the WCCA did not err in denying automatic approval of excess fees, the statutory fee cap does not violate the Contracts Clause, and the WCCA properly affirmed the denial of excess fees based on the Irwin factors.",concur
"A25-0066,-A25-0068_Minnesota_2025/03/05_195","PROCACCINI, J.",Recused from the consideration or decision of this case.,other
A22-1840_Minnesota_2024/10/23_278,"Procaccini, J.","Concurred, argued that Minnesota Statutes section 253D.20 establishes a waivable right to counsel for civilly committed persons, provided the waiver is knowing and intelligent.",concur
