case_id,name,description,ruling
SC2025-0794_Florida_2025/06/17,PER CURIAM,"Concurred, argued that Gudinas's claims for postconviction relief based on mental illness, age, and constitutional challenges to the conformity clause and procedural bars were procedurally barred or lacked merit, and that his demand for clemency-related public records was properly denied as confidential and not relevant.",concur
SC2025-0794_Florida_2025/06/17,"MUNIZ, CJ",Concurred with majority opinion,concur
SC2025-0794_Florida_2025/06/17,"CANADY, J",Concurred with majority opinion,concur
SC2025-0794_Florida_2025/06/17,"COURIEL, J",Concurred with majority opinion,concur
SC2025-0794_Florida_2025/06/17,"GROSSHANS, J",Concurred with majority opinion,concur
SC2025-0794_Florida_2025/06/17,"FRANCIS, J",Concurred with majority opinion,concur
SC2025-0794_Florida_2025/06/17,"SASSO, J",Concurred with majority opinion,concur
SC2025-0794_Florida_2025/06/17,"LABARGA, J","Concurred in the result, but did not necessarily agree with the reasoning.",concur
SC2023-0095_Florida_2025/06/05,"MUNIZ, C.J.","Concurred, arguing that the Legislature did not grant irrevocable property rights in PTC-issued certificates and permits, thus the repeal did not constitute a taking under the Florida Constitution.",concur
SC2023-0095_Florida_2025/06/05,"CANADY, J.",Concurred with majority opinion.,concur
SC2023-0095_Florida_2025/06/05,"LABARGA, J.",Concurred with majority opinion.,concur
SC2023-0095_Florida_2025/06/05,"FRANCIS, J.",Concurred with majority opinion.,concur
SC2023-0095_Florida_2025/06/05,"COURIEL, J.","Concurred, arguing that the Florida Takings Clause should be interpreted independently based on its unique text and history, rather than merely coextensively with the federal Takings Clause.",concur
SC2023-0095_Florida_2025/06/05,"GROSSHANS, J.",Concurred with the majority opinion and also with Justice Couriel's separate opinion.,concur
SC2023-0095_Florida_2025/06/05,"SASSO, J.",Concurred with the majority opinion and also with Justice Couriel's separate opinion.,concur
SC2023-1298_Florida_2025/12/18,"MUÑIZ, C.J.",Concurred with majority opinion.,concur
SC2023-1298_Florida_2025/12/18,"CANADY, J.",Concurred with majority opinion.,concur
SC2023-1298_Florida_2025/12/18,"COURIEL, J.",Concurred with majority opinion.,concur
SC2023-1298_Florida_2025/12/18,"GROSSHANS, J.",Concurred with majority opinion.,concur
SC2023-1298_Florida_2025/12/18,"FRANCIS, J.",Concurred with majority opinion.,concur
SC2023-1298_Florida_2025/12/18,"SASSO, J.",Concurred with majority opinion.,concur
