case_id,docket_no,title,state,date,type,opinion_link,description,plaintiff_argument,defendant_argument,decision_outcome,decision_winner,environment,consumers,reproductive_rights,democratic_norms,free_press,public_health,separation_church_state,voting_access,public_education,free_speech,privacy,worker_rights
SJC-13824_Massachusetts_2026/03/16,SJC-13824,Committee for Public Counsel Services v. Middlesex and Suffolk County District Courts,Massachusetts,2026-03-16,Criminal Law,https://statecourtreport.org/sites/default/files/2026-03/w13824_massachusetts_public_counsel_services.pdf,"Whether State court judges are authorized to increase compensation rates for bar advocates above levels set by the Legislature, with the plaintiff arguing for judicial authority to increase rates and the defendant arguing against it due to separation of powers.",The Committee for Public Counsel Services (CPCS) contended that the court should order increased compensation rates for bar advocates due to a recent shortage of counsel for indigent criminal defendants.,"The Middlesex and Suffolk County District Courts and the intervener (Boston Municipal Court and district attorney for the Suffolk district) opposed judicially ordered compensation rates, arguing that such an order would violate the separation of powers doctrine.","The court denied the petitioner's request for judicially ordered increased compensation rates for bar advocates, concluding that the Legislature's actions and existing protocols were sufficient to address the counsel shortage and that extraordinary circumstances justifying judicial intervention were not demonstrated.",defendant,NA,NA,NA,protected,NA,NA,NA,NA,NA,NA,NA,NA
SJC-13816_Massachusetts_2026/04/15,SJC-13816,Commonwealth v. Arias,Massachusetts,2026-04-15,Criminal Law,https://statecourtreport.org/sites/default/files/2026-04/arias.pdf,Whether a 24-hour delay in conducting a motor vehicle stop after observing a civil traffic infraction is reasonable under the Fourth Amendment and art. 14 of the Massachusetts Declaration of Rights.,The Commonwealth argued that the delay was reasonable because the officer could not safely stop the defendant at the time of the infraction and did not maintain immediate surveillance.,"The defendant argued that the 24-hour delay was unreasonable, violating constitutional protections against unreasonable searches and seizures, especially given the pretextual nature of the stop.","The court reversed the lower court's denial of the defendant's motion to suppress, vacated the conviction, and remanded the case, finding the 24-hour delayed traffic stop unreasonable.",defendant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,protected,NA
SJC-13641_Massachusetts_2025/09/10,SJC-13641,Tran v. Commonwealth,Massachusetts,2025-09-10,Government Structure,https://statecourtreport.org/sites/default/files/2025-09/supreme_judicial_court_of_massachusetts-opinion.pdf,"Whether a former State senator is immune from criminal prosecution for misusing public resources for reelection campaigns under legislative immunity and separation of powers principles, and whether the grand jury process was impaired by the prosecutor's exclusion of a grand juror.","The Commonwealth argued that the defendant's actions were not protected by legislative immunity or separation of powers, and that the grand jury process was not impaired.","The defendant argued he was immune from prosecution under legislative immunity (Art. 21) and separation of powers (Arts. 10 and 11) for using staff for campaign activities, and that the prosecutor's exclusion of a grand juror impaired the grand jury proceedings.","The court denied the defendant's motion to dismiss, ruling that he is not immune from prosecution and that the grand jury proceedings were not impaired to warrant dismissal.",plaintiff,NA,NA,NA,protected,NA,NA,NA,NA,NA,NA,NA,NA
SJC-13646_Massachusetts_2025/08/07,SJC-13646,Raftery v. State Board of Retirement,Massachusetts,2025-08-07,Economic and Labor Rights,https://statecourtreport.org/sites/default/files/2025-08/massachusetts_supreme_judicial_court-opinion.pdf,"Whether the mandatory forfeiture of a public employee's pension benefits, following a criminal conviction related to their office, constitutes an excessive fine or cruel and unusual punishment under Article 26 of the Massachusetts Declaration of Rights.","The plaintiff argued that the total forfeiture of his pension and health insurance benefits, as mandated by law, violated Article 26's prohibitions against excessive fines and cruel or unusual punishment, asserting Article 26 provides greater protection than the Eighth Amendment.","The defendant, the State Board of Retirement, argued that the pension forfeiture was a lawful consequence of the plaintiff's criminal conviction involving his office and did not constitute an excessive fine or cruel and unusual punishment under Article 26.","The court affirmed the retirement board's decision, ruling that the pension forfeiture does not violate Article 26's excessive fines or cruel and unusual punishment provisions.",defendant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,infringed
SJC-13672_Massachusetts_2025/05/15,SJC-13672,Care and Prevention of Eve,Massachusetts,2025-05-15,Speech and Religion,https://statecourtreport.org/sites/default/files/2025-05/supreme_judicial_court_of_massachusetts-opinion.pdf,"Whether the Department of Children and Families (DCF) can vaccinate a child in its temporary custody against the religious objections of the parents, with parents arguing against vaccination based on religious freedom and DCF arguing for vaccination based on the child's best interest and public health.","The parents, practicing Rastafarians, argued that vaccinating their child over their sincerely held religious objections, while they only temporarily lost custody, violates their constitutional rights to direct their child's religious upbringing, especially given existing state religious exemptions and DCF's inconsistent application of vaccination requirements.","The Department of Children and Families (DCF) and the child's counsel argued that vaccinations are medically necessary for the child's best interest and public health, and that their authority includes routine medical care for children in their custody. They contended that the parents' objections should be balanced against the child's interests and the Commonwealth's interest in keeping all children safe.","The court reversed the lower court's order, ruling that the Department of Children and Families failed to demonstrate that allowing the child to remain unvaccinated would substantially hinder the state's compelling public health interests, thereby upholding the parents' religious freedom rights.",plaintiff,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,protected,NA
SJC-13600_Massachusetts_2025/06/04,SJC-13600,Commonwealth v. Govan,Massachusetts,2025-06-04,Criminal Law,https://statecourtreport.org/sites/default/files/2025-06/supreme_judicial_court_of_massachusetts-opinion.pdf,"Whether the initial imposition of GPS monitoring as a condition of pretrial release constitutes a constitutional search under art. 14 of the Massachusetts Declaration of Rights, and whether the subsequent warrantless retrieval and review of GPS location data for a criminal investigation is also a search under art. 14.","The Commonwealth argued that the initial GPS monitoring was a constitutional search due to the defendant's consent and legitimate governmental interests, and that the subsequent data retrieval was not a search under art. 14.",The defendant argued that both the initial imposition of GPS monitoring and the subsequent retrieval of location data constituted unconstitutional searches under art. 14.,"The court affirmed the motion judge's order denying the defendant's motion to suppress, ruling that the initial imposition of GPS monitoring was a reasonable and constitutional search, and the subsequent retrieval and review of GPS location data was not a search under art. 14.",plaintiff,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,infringed,NA
SJC-13547_Massachusetts_2024/09/06,SJC-13547,Commonwealth v. Dilworth,Massachusetts,2024-09-06,Civil Rights,https://statecourtreport.org/sites/default/files/2024-11/supreme_judicial_court_of_massachusetts-opinion.pdf,"Whether a Superior Court judge abused discretion in dismissing indictments with prejudice as a sanction for the Commonwealth's refusal to comply with a discovery order, which was sought by the defendant to challenge alleged discriminatory social media monitoring practices on equal protection grounds.","The Commonwealth argued that the dismissal was an inappropriate sanction, the judge applied the wrong legal standard for equal protection discovery, and the requested information (undercover Snapchat usernames and profile images) was privileged, thus shielding it from disclosure.","The defendant argued that the discovery was relevant and material to challenge a discriminatory investigatory practice on equal protection grounds, and that the Commonwealth's deliberate refusal to produce court-ordered discovery warranted dismissal.","The Supreme Judicial Court affirmed the Superior Court judge's decision to dismiss the indictments with prejudice, finding no abuse of discretion.",defendant,NA,NA,NA,protected,NA,NA,NA,NA,NA,NA,NA,NA
SJC-13495_Massachusetts_2024/05/13,SJC-13495,Commonwealth v. Hastings,Massachusetts,2024-05-13,Civil Rights,https://statecourtreport.org/sites/default/files/fastcase/converted/Commonwealth%20v.%20Hastings%2C%20Mass.%20SJC-13495.pdf,"Whether the constitutionally mandated exception to the indigency statute, carved out in Diatchenko II, authorizes a judge to allow an indigent prisoner's motion for funds to retain an expert witness for an upcoming parole hearing.","Hastings argued that the indigency statute's exception, which allows funds for expert witnesses, should apply to his case to fund a social services advocate for his parole hearing, as it implicates his constitutional right to reasonable disability accommodations.","The motion judge argued that the indigency statute only applies to pending court proceedings and appeals, and the Diatchenko II exception does not extend to statutory parole hearings, which arise by statute, not constitutional mandate.","The court reversed the lower court's decision, ruling that the constitutionally mandated exception to the indigency statute applies, authorizing funds for a social services advocate for Hastings's parole hearing.",plaintiff,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SJC-12405_Massachusetts_2024/02/22,SJC-12405,Commonwealth v. Shepherd,Massachusetts,2024-02-22,Criminal Law,https://statecourtreport.org/sites/default/files/fastcase/converted/Commonwealth%20v.%20Shepherd%2C%20Mass.%20SJC-12405.pdf,"Whether the abolition of felony-murder as an independent theory of liability should apply retroactively to the defendant's case, given claims of equal protection violations due to racial disparities in its application.","The Commonwealth argues that the decision in Brown to abolish felony-murder as an independent theory of liability should apply only prospectively, as previously determined and reaffirmed, and that this prospective application does not violate equal protection principles because it was a neutral decision without discriminatory purpose and does not burden a fundamental right.","The defendant argues that the decision in Brown should apply retroactively to his case because the prospective application violates equal protection principles, citing data showing racial disparities in felony-murder convictions that disproportionately affect Black persons.","The defendant's conviction of murder in the first degree is affirmed, and the orders denying his motions for a new trial are also affirmed.",plaintiff,NA,NA,NA,infringed,NA,NA,NA,NA,NA,NA,NA,NA
SJC-13434-_Massachusetts_2024/03/08,SJC-13434 ,"Six Brothers, Inc. v. Town of Brookline",Massachusetts,2024-03-08,Judicial Interpretation,https://statecourtreport.org/sites/default/files/2024-03/sjc-opinion-six-brothers.pdf,"Whether the town of Brookline's bylaw, which incrementally prohibits tobacco sales based on birth year, is preempted by the state Tobacco Act or violates the State Constitution's equal protection provisions.","The plaintiff retailers argued that the bylaw is preempted by the state Tobacco Act because it sets a different minimum sales age standard, and it violates the State Constitution's equal protection provisions by discriminating based on birth year.","The defendant, the Town of Brookline, argued that the bylaw is not preempted by the state Tobacco Act as it augments, rather than conflicts with, the state's minimum age standard, and it is rationally related to the legitimate government interest of public health, thus not violating equal protection.","The court affirmed the dismissal of the retailers' complaint, ruling that the bylaw is not preempted by the state Tobacco Act and does not violate the State Constitution's equal protection provisions.",defendant,NA,NA,NA,NA,NA,protected,NA,NA,NA,NA,NA,NA
