case_id,docket_no,title,state,date,type,opinion_link,description,plaintiff_argument,defendant_argument,decision_outcome,decision_winner,environment,consumers,reproductive_rights,democratic_norms,free_press,public_health,separation_church_state,voting_access,public_education,free_speech,privacy,worker_rights
242A23-_North-Carolina_2025/08/22,242A23 ,"North Carolina Department of Revenue v. Philip Morris U.S., Inc.",North Carolina,2025-08-22,Government Structure,https://statecourtreport.org/sites/default/files/fastcase/converted/N.C.%20Dep%27t%20of%20Revenue%20v.%20Philip%20Morris%20U.S.%2C%20Inc.%2C%20N.C.%20242A23.pdf,"Whether the Office of Administrative Hearings (OAH) has subject matter jurisdiction over as-applied constitutional challenges to tax statutes, with the plaintiff arguing it does and the defendant arguing it does not.","Philip Morris argued that N.C. G.S. § 105-241.17(3) allows the OAH to consider as-applied constitutional challenges to tax statutes, distinguishing them from facial challenges.","The Department of Revenue argued that the OAH lacks subject matter jurisdiction over constitutional claims, citing N.C. G.S. § 105-241.17, which reserves such challenges for the Superior Court.","The court affirmed the Business Court's decision, ruling that N.C. G.S. § 105-241.17 does not grant the OAH subject matter jurisdiction over as-applied constitutional challenges to tax statutes, and therefore the OAH lacked jurisdiction over Philip Morris's petition.",defendant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
377PA22_North-Carolina_2025/10/17,377PA22,State v. Rogers,North Carolina,2025-10-17,Criminal Law,https://statecourtreport.org/sites/default/files/2025-10/supreme_court_of_north_carolina-opinion_0.pdf,"Whether the good faith exception to the exclusionary rule applies to cell-site location information (CSLI) obtained under an order later found to lack probable cause, and whether North Carolina's state constitution includes a good faith exception to its exclusionary rule.","The State argued that the statutory good faith exception under N.C.G.S. § 15A-974 applies, and that the Court should overrule State v. Carter to adopt a good faith exception for the state constitution, making the CSLI admissible.","The defendant argued that the CSLI was obtained in violation of his constitutional rights, and the good faith exception should not apply because the officer's reliance on the order was objectively unreasonable, thus the evidence should be suppressed.","The Supreme Court reversed the Court of Appeals' decision, upholding the trial court's denial of the defendant's motion to suppress, thereby allowing the cell-site location information (CSLI) to be admitted as evidence.",plaintiff,NA,NA,NA,infringed,NA,NA,NA,NA,NA,NA,infringed,NA
COA24-454_North-Carolina_2025/08/20,COA24-454,Mohebali v. Hayes,North Carolina,2025-08-20,Reproductive Rights,https://statecourtreport.org/sites/default/files/2025-09/north_carolina_court_of_appeals-opinion.pdf,"Whether a legislative cap imposed by the trial judge on noneconomic damages awarded by the jury in a medical malpractice action violates the plaintiff's right to a jury trial under Article I, Section 25 of the North Carolina Constitution.","The plaintiff argues that the legislative cap on noneconomic damages is unconstitutional, violating her right to a jury trial.",The defendant (supported by amicus curiae) argues that the legislative cap is constitutional and does not violate the right to a jury trial.,"The court affirmed the trial court's decision to apply the Legislative Cap, concluding that the cap is constitutional and does not violate the plaintiff's right to a jury trial.",defendant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
442PA20_North-Carolina_2025/12/12,442PA20,State v. Kelliher,North Carolina,2025-12-12,Criminal Law,https://statecourtreport.org/sites/default/files/2026-01/supreme_court_of_north_carolina-opinion.pdf,"Whether a resentencing court, following a mandate to impose concurrent life sentences for murder, retains de novo authority to determine if ancillary convictions for robbery and conspiracy should run consecutively or concurrently.","The State argued that the resentencing court possessed de novo authority under N.C.G.S. § 15A-1354(a) to determine the consecutive or concurrent nature of all sentences, including ancillary convictions, as the prior mandate only addressed the murder convictions and did not limit this discretion.","Kelliher argued that the resentencing court exceeded its authority, as the prior mandate from Kelliher I only pertained to the murder convictions, thereby limiting the court's jurisdiction and discretion solely to those sentences and not the ancillary robbery and conspiracy convictions.","The Supreme Court reversed the judgment of the Court of Appeals and reinstated the resentencing court's judgments, affirming its discretion to run ancillary sentences consecutively.",plaintiff,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56PA24_North-Carolina_2025/05/23,56PA24,State of North Carolina v. Chambers,North Carolina,2025-05-23,Criminal Law,https://statecourtreport.org/sites/default/files/2025-06/supreme_court_of_north_carolina-opinion_0.pdf,Whether a statute that allows a juror to be excused and substituted by an alternate after the jury in a criminal trial has begun to deliberate violates the state constitutional right to a twelve-person jury.,"The State argued that the statute allowing mid-deliberation juror substitution is constitutional, especially with the instruction to restart deliberations, and that the defendant waived his challenge by not objecting at trial.",The defendant argued that the trial court's substitution of an alternate juror during deliberations violated his state constitutional right to a twelve-person jury.,"The Supreme Court reversed the decision of the Court of Appeals, holding that the statute allowing mid-deliberation juror substitution with an instruction to restart deliberations does not violate the state constitutional right to a jury of twelve.",plaintiff,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
COA22-571_North-Carolina_2025/08/22,COA22-571,Howell v. Cooper; North Carolina Bar and Tavern Association v. Stein,North Carolina,2025-08-22,Civil Due Process,https://statecourtreport.org/sites/default/files/2025-08/supreme_court_of_north_carolina-opinion_stein.pdf,"Whether Governor Cooper's executive orders restricting bar operations during the COVID-19 pandemic violated the plaintiffs' constitutional rights under the Fruits of Labor and Equal Protection Clauses, and statutory rights under the Emergency Management Act and Public Records Act.","The plaintiffs, bar owners and employees, argued that the Governor's executive orders arbitrarily restricted their businesses for over 400 days without sufficient scientific justification, violating their fundamental right to earn a living and equal protection, and statutory rights.","Governor Cooper contended that the executive orders were necessary public health measures based on science and data to slow the spread of COVID-19, and that sovereign immunity precluded some of the plaintiffs' claims.","The court modified and affirmed in part the Court of Appeals' decision on the Fruits of Labor claim, remanding it for further factual discovery, reversed the Court of Appeals' Equal Protection determination, and affirmed the dismissal of plaintiffs' statutory claims.",other,NA,NA,NA,protected,NA,NA,NA,NA,NA,NA,NA,protected
86PA24-_North-Carolina_2025/03/21,86PA24 ,Happel v. Board of Education,North Carolina,2025-03-21,Government Structure,https://statecourtreport.org/sites/default/files/2025-05/supreme_court_of_north_carolina-opinion.pdf,Whether the federal Public Readiness and Emergency Preparedness (PREP) Act immunizes state actors from liability for battery and violations of state constitutional rights when they forcibly vaccinate a child without consent.,"The PREP Act's immunity only covers tort injuries and does not preempt state constitutional claims, nor does it immunize unconstitutional conduct.","The PREP Act completely immunizes them from all state law claims, including battery and state constitutional rights violations, as it preempts all such claims.","The Court of Appeals' decision is affirmed regarding the battery claim, but reversed regarding the state constitutional claims, and the case is remanded for further proceedings on the constitutional claims.",plaintiff,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,protected,NA
18CVS009806-910_North-Carolina_2022/08/19,18CVS009806-910,North Carolina NAACP v. Moore,North Carolina,2022-08-19,Voting Rights and Elections,https://statecourtreport.org/sites/default/files/fastcase/converted/N.C.%20State%20Conference%20of%20The%20Nat%27l%20Ass%27n%20v.%20Moore%2C%20N.C.%20261A18-3.pdf,Whether legislators elected from unconstitutionally racially gerrymandered districts possess the authority to initiate the process of changing the North Carolina Constitution by proposing constitutional amendments.,"The plaintiff argued that the General Assembly, being illegally composed of legislators elected from unconstitutionally gerrymandered districts, lacked the legitimate authority to propose constitutional amendments, viewing these legislators as 'usurpers' whose actions should be void.","The defendant argued that the legislators, even if elected from unconstitutionally gerrymandered districts, were at a minimum 'de facto officers' and retained full legislative authority, and that invalidating their actions would cause chaos and confusion without a principled distinction between types of legislative acts.","The Supreme Court reversed the Court of Appeals' decision, which had reversed the trial court's order declaring the Voter ID and Tax Cap Amendments void, and remanded the case to the superior court for further proceedings to determine if the amendments should be invalidated based on specific criteria.",plaintiff,NA,NA,NA,protected,NA,NA,NA,protected,protected,NA,NA,NA
320P24-_North-Carolina_2025/04/04,320P24 ,Griffin v. State Board of Elections,North Carolina,2025-04-04,Voting Rights and Elections,https://statecourtreport.org/sites/default/files/2025-04/north_carolina_court_of_appeals-opinion.pdf,"Whether the North Carolina State Board of Elections properly dismissed election protests challenging votes based on incomplete voter registrations, lack of photo identification for military and overseas voters, and eligibility of ""Never Residents"", with the plaintiff arguing these votes are unlawful and the defendant arguing the protests lacked proper notice and probable cause.","Griffin argued that ballots with incomplete voter registrations, those from military and overseas voters lacking photo ID, and votes from ""Never Residents"" were unlawful and should not be counted, and that the Board's dismissal of his protests was erroneous.","The North Carolina State Board of Elections argued that Griffin's protests were properly dismissed due to inadequate notice to affected voters and failure to establish probable cause of an election law violation, and that its existing rules and statutes were correctly applied.","The Court of Appeals reversed the Superior Court's orders affirming the Board's dismissal of the protests and remanded the case, instructing the Board to allow a cure period for incomplete registrations and photo ID issues, and to remove votes from ""Never Residents"" from the final count.",plaintiff,NA,NA,NA,protected,NA,NA,NA,infringed,NA,NA,NA,NA
267PA21_North-Carolina_2025/01/31,267PA21,State v. Francisco Edgar Tirado,North Carolina,2025-01-31,Criminal Law,https://statecourtreport.org/sites/default/files/2025-02/supreme_court_of_north_carolina-opinion.pdf,"Whether the Court of Appeals denied merits review of the defendant's constitutional challenge to his consecutive sentences of life imprisonment without parole under Article I, Section 27 of the North Carolina Constitution, and whether those sentences comply with State v. Kelliher.","The State argued that the Court of Appeals properly reviewed the defendant's constitutional challenge, that the sentences are constitutionally compliant under both state and federal law, and that the resentencing order did not run afoul of Kelliher.","The defendant argued that the Court of Appeals failed to provide merits review of his constitutional challenge under the North Carolina Constitution, which he contended offers broader protections than the Eighth Amendment, and that the Court of Appeals misapplied Jones. He conceded his sentence complied with Kelliher.","The Supreme Court affirmed the decision of the Court of Appeals, upholding the defendant's consecutive sentences of life imprisonment without parole.",plaintiff,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
