case_id,docket_no,title,state,date,type,opinion_link,description,plaintiff_argument,defendant_argument,decision_outcome,decision_winner,environment,consumers,reproductive_rights,democratic_norms,free_press,public_health,separation_church_state,voting_access,public_education,free_speech,privacy,worker_rights
24SC394_Colorado_2025/02/24,24SC394,League of Women Voters of Greeley v. Board of County Commissioners of City of Weld,Colorado,2025-02-24,Government Structure,https://statecourtreport.org/sites/default/files/2025-12/supreme_court_of_colorado-opinion.pdf,"Whether home rule counties, like Weld, must comply with Colorado's redistricting statutes, with the plaintiffs arguing they must and the defendant arguing they are exempt.","The Board of County Commissioners must comply with the state's redistricting statutes, as these statutes apply to home rule counties and provide a private right of action for citizens to enforce them.","Weld County, as a home rule county, is exempt from the state's redistricting statutes, and the plaintiffs lack standing to sue because they have not suffered concrete harm.","The court affirmed the district court's summary judgment in favor of the Voters, ruling that Weld County must comply with the state's redistricting statutes and must draw and approve a new county commissioner district map in time for the 2026 election.",plaintiff,NA,NA,NA,protected,NA,NA,NA,protected,NA,NA,NA,NA
2023SC116_Colorado_2024/10/08,2023SC116,Masterpiece Cakeshop v. Scardina,Colorado,2024-10-08,Civil Rights,https://statecourtreport.org/sites/default/files/2024-12/supreme_court_of_colorado-opinion.pdf,Whether the district court had the statutory authority to hear Autumn Scardina's discrimination claim under the Colorado Anti-Discrimination Act (CADA) given the procedural history of her case.,"Scardina argued that she had exhausted her administrative remedies and was therefore permitted to file her discrimination claim anew in district court, as the Commission's closure order effectively allowed her to proceed.","Masterpiece Cakeshop, Inc. and Jack Phillips argued that the district court lacked authority to hear Scardina's claim because she failed to exhaust administrative remedies by not appealing the Commission's dismissal to the court of appeals, and she did not meet any statutory conditions for filing in district court.","The supreme court vacated the decisions of the lower courts and dismissed the case, concluding that the district court did not have the statutory authority to hear Scardina's claim.",defendant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22SC759_Colorado_2024/08/19,22SC759,People v. Lopez,Colorado,2024-08-19,Criminal Law,https://statecourtreport.org/sites/default/files/fastcase/converted/People%20v.%20Lopez%2C%20Colo.%20No.%2022SC759.pdf,"Whether a defendant who argues that his constitutional right to conflict-free counsel was violated by the simultaneous prosecution of defense counsel and defendant by the same prosecutor must prove that an actual conflict of interest adversely affected his representation, or if the prior standard of automatic reversal without showing prejudice (Edebohls) applies.","The People argued that the Edebohls standard, which mandated reversal without a showing of prejudice for actual conflicts of interest, has been superseded by subsequent case law and that defendants must now prove both a conflict of interest and an adverse effect on representation.","Lopez argued that the Edebohls standard should still apply to personal conflicts of interest, requiring automatic reversal without a showing of prejudice, and that he did not knowingly, voluntarily, or intelligently waive his right to conflict-free counsel.","The court reversed the judgment of the division below, concluding that the Edebohls standard has been superseded, and remanded the case for further factual development to determine if Lopez can show an actual conflict of interest adversely affected his representation under the new standard.",plaintiff,NA,NA,NA,infringed,NA,NA,NA,NA,NA,NA,NA,NA
24SA75_Colorado_2024/09/09,24SA75,People v. Lewis,Colorado,2024-09-09,Criminal Law,https://statecourtreport.org/sites/default/files/2024-11/colorado_supreme_court-opinion.pdf,"Whether a county court, after finding a convicted defendant poses a danger to the community, can grant that defendant an appeal bond, or if existing statutes require both a stay of execution and an appeal bond.","The plaintiff argued that the defendant posed a community safety risk and, under section 16-4-201.5(2)(a), an appeal bond was prohibited unless the court found the defendant was not a danger and unlikely to flee.","The defendant argued that the county court erred by denying his appeal bond request, contending that his appeal was governed by section 16-2-114(6) and People v. Steen, which he claimed required the court to stay his sentence and grant an appeal bond.","The supreme court held that a county court cannot grant an appeal bond to a convicted defendant found to pose a danger to an individual or the community, affirming the denial of the appeal bond while clarifying that a stay of execution pending appeal is still required upon request.",plaintiff,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22SC738_Colorado_2024/09/30,22SC738,Sellers v. People,Colorado,2024-09-30,Criminal Law,https://statecourtreport.org/sites/default/files/2024-10/colorado_supreme_court-opinion.pdf,"Whether a life without the possibility of parole (LWOP) sentence for felony murder is categorically unconstitutional or grossly disproportionate to the offense, especially after the General Assembly's 2021 reclassification of felony murder.","The plaintiff, Wayne Tc Sellers IV, argued that his LWOP sentence for felony murder is categorically unconstitutional or grossly disproportionate, particularly given the General Assembly's 2021 reclassification of felony murder.","The defendant, The People of the State of Colorado, argued that the LWOP sentence for felony murder is constitutional and not grossly disproportionate, and that the 2021 reclassification does not apply retroactively to Sellers's offense.","The court affirmed the judgment of the division below, concluding that an LWOP sentence for felony murder for an adult offender is not categorically unconstitutional and that Sellers's LWOP sentence was not grossly disproportionate.",defendant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
No.-08SA402_Colorado_2024/02/24,No. 08SA402,Owens v. People,Colorado,2024-02-24,Criminal Law,https://statecourtreport.org/sites/default/files/2024-02/owens-v-people.pdf,"Whether the trial court committed constitutional or reversible errors by preventing voir dire on racial issues, rejecting Batson challenges, admitting prior shooting evidence, denying mistrial motions, and excluding impeachment evidence, thereby denying the defendant a fair trial.","The People of the State of Colorado argued that the trial court did not commit any constitutional or reversible errors in its handling of jury selection, evidence admission, mistrial motions, or witness impeachment, and therefore the defendant received a fair trial.","Sir Mario Owens argued that the trial court made multiple errors, including preventing voir dire on racial bias, improperly overruling Batson challenges, admitting excessive evidence of prior shootings, erroneously denying mistrial motions, and improperly excluding extrinsic impeachment evidence, which cumulatively denied him a fair trial.","The court affirmed the judgment of conviction, finding no individual errors or cumulative error warranting reversal.",plaintiff,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23SA133_Colorado_2023/12/04,23SA133,Antero Treatment LLC v. Veolia Water Technologies,Colorado,2023-12-04,Government Structure,https://statecourtreport.org/sites/default/files/fastcase/converted/Antero%20Treatment%20LLC%20v.%20Veolia%20Water%20Techs.%2C%20Colo.%2023SA133.pdf,"Whether the $25,000,000 supersedeas bond cap set by state statute is unconstitutional, either by infringing on the court's rulemaking authority or violating equal protection principles.","Antero argued that the statutory bond cap is unconstitutional because it conflicts with the judicial rule requiring a 125% bond, thereby violating separation of powers, and also violates equal protection by treating judgment-creditors differently based on judgment size. Antero also sought additional security and post-judgment discovery.","Veolia argued that the statute is constitutional, does not irreconcilably conflict with the judicial rule, and addresses a substantive matter within the legislature's authority. Veolia also provided a parent company guarantee and an affidavit regarding asset dissipation.","The court concluded that the supersedeas bond cap statute is constitutional, does not unconstitutionally infringe on the court's rulemaking authority, and does not violate equal protection principles. The court also found the trial court did not abuse its discretion in refusing additional discovery or security.",defendant,NA,NA,NA,protected,NA,NA,NA,NA,NA,NA,NA,NA
2023SA12_Colorado_2023/10/16,2023SA12,Colorado v. Seymour,Colorado,2023-10-16,Criminal Law,https://statecourtreport.org/sites/default/files/2023-10/Colorado%20v.%20Seymour%20-%20Opinion%20-%2010.20.2023.pdf,"Whether a ""reverse keyword warrant"" violates the Fourth Amendment of the United States Constitution and Article II, Section 7 of the Colorado Constitution.","The reverse-keyword warrant is constitutional, adequately particularized, and supported by probable cause, making the evidence obtained admissible.","The reverse-keyword warrant is unconstitutional because it lacked particularity and individualized probable cause, thus the evidence should be suppressed.","The court discharged the rule to show cause, affirming the trial court's denial of Seymour's motion to suppress evidence, thereby allowing the evidence obtained via the reverse-keyword warrant.",plaintiff,NA,NA,NA,NA,NA,NA,NA,NA,NA,infringed,infringed,NA
22SC824_Colorado_2023/06/20,22SC824,Aurora Public Schools. v. A.S.,Colorado,2023-06-20,Torts and Liability,https://statecourtreport.org/sites/default/files/2023-09/Aurora%20Public%20Schools%20v%20A.S.%20-%20Opinion.pdf,Whether the Child Sexual Abuse Accountability Act (CSAAA) violates the constitutional prohibition on retrospective legislation by creating a new cause of action for conduct that predates the Act and for which any previously available claims would be time-barred.,"The plaintiffs argue that the CSAAA is constitutional and allows them to pursue claims for past sexual misconduct, even if previously time-barred, as it creates a new right for relief.",The defendants argue that the CSAAA violates Colorado's constitutional prohibition on retrospective legislation because it creates a new obligation and attaches a new disability to past transactions by reviving time-barred claims.,"The supreme court holds that the Child Sexual Abuse Accountability Act (CSAAA) is unconstitutionally retrospective as applied to claims for conduct that predates the Act and for which previously available claims were time-barred, thereby affirming the district court's order granting the defendants' motions to dismiss.",defendant,NA,NA,NA,protected,NA,NA,NA,NA,NA,NA,NA,NA
23SA2_Colorado_2023/06/20,23SA2,People v. Smith,Colorado,2023-06-20,Criminal Law,https://statecourtreport.org/sites/default/files/fastcase/converted/People%20v.%20Smith%2C%20Colo.%2023SA2.pdf,"Whether a first-degree murder charge, after the legislative abolition of the death penalty, still constitutes a ""capital offense"" under the Colorado Constitution, thereby allowing for the denial of bail.","The People argued that first-degree murder remains a ""capital offense"" based on classification, not penalty, citing prior precedent that defined a class of crimes permitting bail denial, and contended that the legislature's non-amendment of relevant statutes after abolishing the death penalty meant the exception still applied.","Smith argued that he was entitled to bail because first-degree murder is no longer a ""capital offense"" since the death penalty, which defines such offenses, was repealed in Colorado, rendering the ""capital offense"" exception to the constitutional right to bail obsolete.","The court ruled that the district court abused its discretion by treating first-degree murder as a capital offense and denying bail, concluding that ""capital offenses"" unambiguously refer to offenses for which the death penalty is statutorily authorized, and the death penalty has been abolished for offenses charged after July 1, 2020.",defendant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22SA384_Colorado_2023/04/24,22SA384,People v. Platteel,Colorado,2023-04-24,Criminal Law,https://statecourtreport.org/sites/default/files/fastcase/converted/People%20v.%20Platteel%2C%20Colo.%2022SA384.pdf,"Whether defense counsel may call an unsubpoenaed victim, who is present at a preliminary hearing, to testify, or if the Victim Rights Act (VRA) requires a subpoena to compel such testimony.","The VRA protects a victim's right to be present at critical stages of a case without being compelled to testify if not subpoenaed, and compelling testimony without a subpoena would undermine this right and subject victims to harassment.","Based on McDonald v. District Court, if an eyewitness victim is available in court and the prosecution's case relies heavily on hearsay, the defense has a right to call that victim to testify at a preliminary hearing.","The court ruled that defense counsel may not call an unsubpoenaed victim who is in attendance at a preliminary hearing to the witness stand, making the rule absolute.",plaintiff,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20SC865_Colorado_2022/12/12,20SC865,Woo v. El Paso County Sheriff's Office,Colorado,2022-12-12,Civil Due Process,https://statecourtreport.org/sites/default/files/fastcase/converted/Woo%20v.%20El%20Paso%20Cnty.%20Sheriff%27s%20Office%2C%20Colo.%2020SC865.pdf,"Whether a criminal defendant, after conviction and sentencing, has a constitutionally adequate remedy to seek the return of lawfully seized property, and if the Colorado Governmental Immunity Act (CGIA) unconstitutionally bars a civil replevin action for such property.","The plaintiff argued that if the CGIA bars his civil replevin action for the return of lawfully seized property, he is left without a remedy, which violates his federal and state constitutional rights to procedural due process.",The defendants argued that the CGIA barred the plaintiff's civil replevin action and that the plaintiff had an adequate remedy available in his criminal case to seek the return of his property.,"The court affirmed the court of appeals' judgment, concluding that the CGIA's bar of Woo's replevin in detention action does not render the CGIA unconstitutional as applied to him, because Woo has a constitutionally adequate post-sentence remedy in his criminal case to seek the return of his lawfully seized property.",defendant,NA,NA,NA,protected,NA,NA,NA,NA,NA,NA,NA,NA
"22SA101,-22SA142,-22SA155_Colorado_2022/06/27","22SA101, 22SA142, 22SA155",Fine v. Ward (In re Titles),Colorado,2022-06-27,Voting Rights and Elections,https://statecourtreport.org/sites/default/files/fastcase/converted/Fine%20v.%20Ward%20%28In%20re%20Titles%29%2C%20Colo.%2022SA101.pdf,"Whether three proposed initiatives, which include provisions to allow food retailers to sell wine and authorize third-party delivery services for alcohol, violate the single-subject requirement of the Colorado Constitution.","The plaintiff argued that the proposed initiatives contain multiple subjects, specifically combining wine sales in grocery stores with third-party alcohol delivery, thereby violating the single-subject requirement of the Colorado Constitution.","The defendants argued that the initiatives' central focus is broadly ""expanding the retail sale of alcohol beverages,"" and both provisions serve this single goal, making them sufficiently connected.","The court ruled that the initiatives violate the single-subject requirement of the Colorado Constitution because they combine two distinct and unrelated subjects, and therefore reversed the Title Board's actions to set titles for them.",plaintiff,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21SA208_Colorado_2021/11/01,21SA208,In re Colorado Independent Congressional Redistricting Commission,Colorado,2021-11-01,Voting Rights and Elections,https://statecourtreport.org/sites/default/files/2023-08/In%20re%20Colorado%20Independent%20Congressional%20Redistricting%20Commn%20-%20Opinion%20-%2011.01.2021.pdf,"Whether the Colorado Constitution's prohibition on diluting minority electoral influence (Article V, section 44.3(4)(b)) imposes protections beyond those provided by Section 2 of the federal Voting Rights Act.","The opposers (plaintiffs) contend that the Colorado Constitution's language prohibiting the dilution of minority electoral influence imposes additional protections beyond the federal Voting Rights Act, and that the Commission's plan impermissibly dilutes Hispanic voters' electoral influence.",The Colorado Independent Congressional Redistricting Commission (defendant) argues that its plan complies with the Voting Rights Act and that the state constitutional provision on minority vote dilution merely incorporates existing federal protections as interpreted by U.S. Supreme Court case law.,"The court approved the congressional redistricting plan, concluding that the Colorado Independent Congressional Redistricting Commission did not abuse its discretion in applying the substantive criteria of Article V, section 44.3 of the Colorado Constitution.",defendant,NA,NA,NA,protected,NA,NA,NA,protected,NA,NA,NA,NA
21SA147_Colorado_2021/09/13,21SA147,Francis v. Wegener,Colorado,2021-09-13,Civil Due Process,https://statecourtreport.org/sites/default/files/fastcase/converted/Francis%20v.%20Wegener%2C%20Colo.%20Supreme%20Court%20Case%20No.%2021SA147.pdf,"Whether an individual who has repeatedly filed frivolous and vexatious pro se lawsuits, despite warnings and sanctions, should be permanently enjoined from proceeding pro se in state courts.","Francis argued that the requested injunction was an overreach, that his cases were distinguishable from precedents cited for such injunctions, and that it infringed upon his constitutional right to access the courts.","The Petitioners argued that Francis had abused the judicial process for over a decade by filing numerous duplicative and baseless pro se lawsuits, harassing adversaries, and straining judicial resources, necessitating a permanent injunction.","The court made the rule to show cause absolute, permanently enjoining Robert A. Francis from proceeding pro se as a proponent of any claim in any present or future litigation in Colorado state courts.",defendant,NA,NA,NA,protected,NA,NA,NA,NA,NA,NA,NA,NA
21SA146_Colorado_2021/06/01,21SA146,In re Interrogatories on Senate Bill 21-247 Submitted by the Colorado General Assembly,Colorado,2021-06-01,Voting Rights and Elections,https://statecourtreport.org/sites/default/files/fastcase/converted/In%20re%20Interrogatories%20on%20Senate%20Bill%2021-247%20Submitted%20by%20the%20Colo.%20Gen.%20Assembly%2C%20Colo.%20Supreme%20Court%20Case%20No.%2021SA146.pdf,"Whether Senate Bill 21-247, which seeks to direct independent redistricting commissions on data use and impose a ""substantial compliance"" standard for judicial review, is constitutional.","The General Assembly argued that SB 21-247 is a well-intentioned bill to help redistricting commissions handle unforeseen census data delays and fill gaps in Amendments Y and Z, and is therefore constitutional.","The court's interpretation of Amendments Y and Z argued that the General Assembly lacks the authority to direct independent commissions or dictate judicial standards, as these powers were vested in the independent commissions and the judiciary by the constitutional amendments.","The court ruled that the provisions of Senate Bill 21-247, which attempt to direct the independent redistricting commissions and their nonpartisan staff, and define the standard courts should apply for compliance, would be unconstitutional if enacted.",other,NA,NA,NA,protected,NA,NA,NA,protected,NA,NA,NA,NA
