case_id,name,description,ruling
"9,-10,-2_Maryland_2025/02/03","Fader, C.J.","Concurred, argued that the 2017 Act's Subsection (d) was an ordinary statute of limitations, not a statute of repose, and therefore the 2023 Act's retroactive elimination of it is constitutional as it did not abrogate vested rights.",concur
"9,-10,-2_Maryland_2025/02/03",Watts,Concurred with majority opinion.,concur
"9,-10,-2_Maryland_2025/02/03",Booth,Concurred with majority opinion.,concur
"9,-10,-2_Maryland_2025/02/03",Killough,Concurred with majority opinion.,concur
"9,-10,-2_Maryland_2025/02/03","Biran, J.","Dissented, argued that the 2017 Act's Subsection (d) was clearly a statute of repose, which creates vested rights that cannot be retroactively abrogated by the 2023 Act without violating the Maryland Constitution, and that the majority failed to interpret the 2017 Act as written.",dissent
"9,-10,-2_Maryland_2025/02/03","Eaves, J.","Dissented, joined Justice Biran's and Justice McDonald's opinions.",dissent
"9,-10,-2_Maryland_2025/02/03","McDonald, Robert N.","Dissented, joined Justice Biran's opinion and further argued that the majority's interpretation renders Subsection (d) meaningless and improperly discounts the significance of the bill's title.",dissent
SCM-REG-0007-2023_Maryland_2023/03/28,"Graeff, J.","Concurred, argued that the State's nolle prosequi was void because it circumvented the victim's right to appeal, and the circuit court violated the victim's rights to sufficient notice and in-person attendance at the vacatur hearing.",concur
SCM-REG-0007-2023_Maryland_2023/03/28,"Wells, C.J.",Concurred with majority opinion.,concur
SCM-REG-0007-2023_Maryland_2023/03/28,"Berger, J.","Dissented, argued that the appeal was moot due to the State's nolle prosequi, and that the victim's rights to notice and attendance were satisfied by electronic participation, even if the notice period was short.",dissent
25-2022_Maryland_2023/08/31,"Watts, J.","Concurred, argued that trial counsel's failure to object to the no-communication order constituted an actual denial of assistance of counsel, presuming prejudice under the Sixth Amendment and Maryland Declaration of Rights.",concur
25-2022_Maryland_2023/08/31,"Biran, J.","Concurred, argued that the Majority was correct to base its holding on Articles 21 and 24 of the Maryland Declaration of Rights, even without full briefing, due to the Supreme Court's failure to conclusively answer the Sixth Amendment question.",concur
25-2022_Maryland_2023/08/31,"Hotten, J.",Concurred with majority opinion.,concur
25-2022_Maryland_2023/08/31,"Eaves, J.",Concurred with majority opinion.,concur
25-2022_Maryland_2023/08/31,"Fader, C.J.","Dissented, argued that the Appellate Court's decision should be affirmed under federal constitutional law and that the Majority improperly ruled on Maryland constitutional law without proper briefing.",dissent
25-2022_Maryland_2023/08/31,"Booth, J.",Dissented with majority opinion.,dissent
25-2022_Maryland_2023/08/31,"Gould, J.","Dissented, argued that prejudice should not be presumed for ineffective assistance of counsel claims unless the defendant proves actual deprivation, which requires showing a desire to communicate with counsel.",dissent
21-2022_Maryland_2023/03/29,"FADER, C.J.","Concurred, delivering the majority opinion that the statute is constitutional and emergency circumstances existed.",concur
21-2022_Maryland_2023/03/29,WATTS,Concurred with majority opinion.,concur
21-2022_Maryland_2023/03/29,HOTTEN,Concurred with majority opinion.,concur
21-2022_Maryland_2023/03/29,BOOTH,Concurred with majority opinion.,concur
21-2022_Maryland_2023/03/29,"BIRAN, J.","Concurred, arguing that while the statute is constitutional, the specific October 1 start date for canvassing might not have been strictly necessary for planning, emphasizing that remedies must be narrowly tailored.",concur
21-2022_Maryland_2023/03/29,EAVES,Concurred with majority opinion.,concur
21-2022_Maryland_2023/03/29,ADKINS,Concurred with majority opinion.,concur
21-2022_Maryland_2023/03/29,"SALLY, D. (Senior Justice, Specially Assigned)",Concurred with majority opinion.,concur
"Misc.-Nos.-21,-24,-25,-26,-27_Maryland_2022/08/31",Robert N. McDonald,"Concurred, arguing that petitioners did not provide compelling evidence of constitutional violations and the Court's role is limited to assessing compliance, not creating a ""better"" plan.",concur
"Misc.-Nos.-21,-24,-25,-26,-27_Maryland_2022/08/31",Joseph M. Getty,"Dissented, arguing that the legislative redistricting plan was an ""extreme partisan gerrymander"" due to lack of compactness and transparency, and that the Court failed its constitutional duty to ensure fair districts.",dissent
"Misc.-Nos.-21,-24,-25,-26,-27_Maryland_2022/08/31","Gould, J.","Dissented, arguing that the majority misapplied legislative privilege and burdens of proof, and the State should have been compelled to disclose information on the map-drawing process.",dissent
"Misc.-Nos.-21,-24,-25,-26,-27_Maryland_2022/08/31","Biran, J.","Dissented, joining Chief Judge Getty's and Judge Gould's dissenting opinions.",dissent
