case_id,docket_no,title,state,date,type,opinion_link,description,plaintiff_argument,defendant_argument,decision_outcome,decision_winner,environment,consumers,reproductive_rights,democratic_norms,free_press,public_health,separation_church_state,voting_access,public_education,free_speech,privacy,worker_rights
24-0353_Iowa_2026/03/17,24-0353,State v. Pagliai,Iowa,2026-03-17,Criminal Law,https://statecourtreport.org/sites/default/files/2026-05/supreme_court_of_iowa-opinion.pdf,"Whether parties in a criminal case can, by plea agreement, confer on the district court the authority to assess costs in dismissed cases, with the State arguing such agreements are permissible based on precedent, and the defendant arguing the court lacks statutory authority for such assessments.","The State argued that its precedents (State v. Petrie and State v. McMurry) allow parties to bargain for the assessment of costs in dismissed cases, and that Pagliai waived any challenge by entering the plea agreement.","Pagliai argued that the district court lacked statutory authority to assess costs in dismissed cases, making the dispositional orders invalid, and that such an unauthorized disposition cannot be cured by contract, waiver, or estoppel.","The court conditionally vacated the convictions, sentences, and dispositional orders, and remanded the case, allowing the State to either vacate only the cost assessment or vacate the entire plea bargain and reinstate all charges.",defendant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25-0011_Iowa_2026/01/30,25-0011,State Public Defender v. Iowa District Court for Scott County,Iowa,2026-01-30,Government Structure,https://statecourtreport.org/sites/default/files/2026-02/supreme_court_of_iowa-opinion.pdf,"Whether a district court has a role in determining if a local public defender is experiencing a temporary overload of cases, thereby allowing it to return cases to the court.","The local public defender has sole authority to determine if it has a temporary overload and can return cases to the court, which the court must accept.","The district court has a role in determining if a temporary overload exists before a local public defender can return cases, especially when no other attorneys are available.","The court sustained the State Public Defender's writ of certiorari, vacating the district court's orders and ruling that the district court exceeded its limited role by requiring an evidentiary hearing on the public defender's workload.",plaintiff,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23-2016_Iowa_2026/03/13,23-2016,State v. Hidlebaugh,Iowa,2026-03-13,Civil Rights,https://statecourtreport.org/sites/default/files/2026-03/232016_33f48422ba221.pdf,Whether sentencing a defendant to prison based on their financial inability to fulfill a plea agreement's condition (purchasing a home) despite good faith efforts violates constitutional rights to equal protection and due process.,"The State argued that the district court's sentence was proper, the plea agreement should be enforced, and considering Hidlebaugh's financial circumstances was a permissible sentencing factor.","Hidlebaugh argued that his prison sentence was unconstitutional because it was imposed due to his financial inability to purchase a home, despite his best efforts, violating his Fourteenth Amendment rights to equal protection and due process.","The Iowa Supreme Court vacated the Court of Appeals decision, vacated Hidlebaugh's sentence, and remanded the case for resentencing, ruling that sentencing based on financial inability despite good faith efforts is unconstitutional.",defendant,NA,NA,NA,protected,NA,NA,NA,NA,NA,NA,NA,NA
24-0261_Iowa_2025/06/27,24-0261,State v. Woods,Iowa,2025-06-27,Criminal Law,https://statecourtreport.org/sites/default/files/fastcase/converted/State%20v.%20Woods%2C%20Iowa%2024-0261.pdf,Whether there is a federal or state constitutional right to carry a firearm while simultaneously in the illegal possession of a controlled substance or while committing an indictable offense.,"The State of Iowa argued that there is no federal or state constitutional right to carry a firearm while committing a crime, specifically while illegally possessing a controlled substance or committing an indictable offense.","Kevin Dwayne Woods, Jr. argued that his conviction for carrying a dangerous weapon while illegally possessing a controlled substance violates his federal and state constitutional right to keep and bear arms.","The court affirmed Kevin Woods's conviction for violating Iowa Code section 724.8B, ruling that there is no constitutional right to carry a firearm while committing a crime.",plaintiff,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23-1218_Iowa_2025/06/20,23-1218,State v. Scullark,Iowa,2025-06-20,Criminal Law,https://statecourtreport.org/sites/default/files/fastcase/converted/State%20v.%20Scullark%2C%20Iowa%2023-1218.pdf,"Whether the search of a defendant's fanny pack, which he attempted to pass to another person before being handcuffed, violated his constitutional rights against unreasonable searches and seizures under the United States and Iowa Constitutions.","The search was a valid search incident to arrest because the fanny pack was immediately associated with Scullark's person at the time of arrest, making it subject to a categorical rule allowing full searches without additional justification.","The search violated his constitutional rights because he was unable to access the fanny pack when it was searched, and the search did not serve the purposes of officer safety or evidence preservation, thus the ""reaching-distance"" rule should apply.","The court vacated the court of appeals decision and affirmed the district court order denying Scullark's motion to suppress, thereby upholding the search of the fanny pack.",plaintiff,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,infringed,NA
23–1391_Iowa_2025/08/26,23–1391,State v. Cole,Iowa,2025-08-26,Civil Rights,https://statecourtreport.org/sites/default/files/2025-11/supreme_court_of_iowa-opinion.pdf,"Whether the firearm prohibition under Iowa Code section 724.26(2)(a) for individuals subject to a domestic violence protective order violates the Second Amendment to the United States Constitution and article I, section 1A of the Iowa Constitution.","The plaintiff (State of Iowa) argued that Jordan Kevin Cole waived his Second Amendment and article I, section 1A rights by consenting to the protective order that prohibited him from possessing firearms.","The defendant (Jordan Kevin Cole) argued that the firearm prohibition was unconstitutional under the Second Amendment and article I, section 1A of the Iowa Constitution, and that his sentencing order was unlawful.","The court affirmed Jordan Kevin Cole's convictions for possession of firearms while under a domestic violence protective order, but remanded the case for entry of a corrected sentencing order regarding consecutive prison sentences upon probation revocation.",plaintiff,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23–1766_Iowa_2025/06/27,23–1766,Sikora v. Iowa,Iowa,2025-06-27,Criminal Law,https://statecourtreport.org/sites/default/files/2025-07/supreme_court_of_iowa-opinion.pdf,Whether sovereign immunity bars a former prisoner's state-law tort claims for money damages arising from wrongful imprisonment by state officials.,"Eugene Sikora claims he was wrongfully imprisoned for nearly five months due to a miscalculation of his release date and seeks money damages, arguing that sovereign immunity should not bar his constitutional tort claims or common law claims against individual state employees.","The State of Iowa and its Department of Corrections director argue that sovereign immunity generally precludes state-law tort claims for money damages arising from wrongful imprisonment, and no exception applies, especially after the Burnett decision overruled Godfrey.","The court affirmed the district court's dismissal of Eugene Sikora's tort damages suit for wrongful imprisonment, ruling that sovereign immunity bars such claims against the state and its employees.",defendant,NA,NA,NA,infringed,NA,NA,NA,NA,NA,NA,NA,NA
23-2114_Iowa_2025/06/13,23-2114,State v. Amble,Iowa,2025-06-13,Criminal Law,https://statecourtreport.org/sites/default/files/2025-06/supreme_court_of_iowa-opinion.pdf,"Whether police officers need a warrant to search garbage bags placed curbside for collection, with the State arguing no based on a new statute defining such garbage as abandoned property, and the defendants arguing yes based on constitutional privacy rights and prior precedent.","The State argues that Iowa Code section 808.16 is constitutional and that its provision deeming curbside garbage as abandoned property eliminates any reasonable expectation of privacy, thus allowing warrantless searches.","The defendants argue that Iowa Code section 808.16 is unconstitutional because it violates the separation of powers by attempting to redefine constitutional rights, and that they maintain a reasonable expectation of privacy in their trash.","The court reversed the district court's ruling, finding that Iowa Code section 808.16(3) is constitutional and lawfully authorized the warrantless trash pulls, and remanded the case for further proceedings.",plaintiff,NA,NA,NA,infringed,NA,protected,NA,NA,NA,NA,infringed,NA
23-1829_Iowa_2025/02/28,23-1829,Rivas v. Brownell,Iowa,2025-02-28,Government Structure,https://statecourtreport.org/sites/default/files/fastcase/converted/Rivas%20v.%20Brownell%2C%20Iowa%2023-1829.pdf,"Whether the supreme court possessed emergency powers to toll the statute of limitations during the COVID-19 pandemic, with the plaintiff arguing it did and the defendants arguing it did not.",The plaintiff argued that the supreme court possessed emergency powers to toll the statute of limitations during the pandemic and that the district court erred in ruling otherwise.,"The defendants argued that the lawsuit was time-barred because the supreme court lacked the power to toll the statute of limitations, violating separation of powers and due process rights.","The court reversed the district court's dismissal, holding that the supreme court's tolling provision was valid and the plaintiff's lawsuit was timely filed.",plaintiff,NA,NA,NA,protected,NA,NA,NA,NA,NA,NA,NA,NA
23-1414_Iowa_2025/05/09,23-1414,League of United Latin American Citizens of Iowa v. Pate,Iowa,2025-05-09,Voting Rights and Elections,https://statecourtreport.org/sites/default/files/2025-05/iowa_supreme_court-opinion.pdf,Whether the League of United Latin American Citizens of Iowa (LULAC) has standing to challenge a thirteen-year-old permanent injunction and seek an interpretation of the Iowa English Language Reaffirmation Act regarding non-English voting materials.,"LULAC argued it had organizational standing because the King injunction and the Secretary's interpretation of the Act impaired its voter mobilization efforts, diverted resources, and caused monetary costs, and that the Act's ""rights exception"" allowed non-English voting materials.","The Secretary argued LULAC lacked standing because its alleged injuries were not legally cognizable and it was not a regulated party, and that the Act required all voting materials to be in English without the ""rights exception"" applying.","The Iowa Supreme Court reversed the district court's ruling, concluding that LULAC lacked standing to bring the suit, and remanded the case for dismissal.",defendant,NA,NA,NA,NA,NA,NA,NA,infringed,NA,NA,NA,NA
